phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.351191e+01,3.653440e-04,6.528000e-05,2.104800e-04,5.430400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-10,2.107029e+01,4.076800e-04,6.800000e-05,2.413600e-04,6.164800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-11,2.077111e+01,4.135520e-04,7.038400e-05,2.401120e-04,6.467200e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.857299e+01,4.624960e-04,8.064000e-05,2.701760e-04,7.100800e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,1.822929e+01,4.712160e-04,8.454400e-05,2.727840e-04,7.283200e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,1.791899e+01,4.793760e-04,8.697600e-05,2.741280e-04,7.596800e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,1.639050e+01,5.240800e-04,9.038400e-05,3.065280e-04,8.308800e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,1.579636e+01,5.437920e-04,1.055360e-04,3.059680e-04,8.670400e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-17,1.549098e+01,5.545120e-04,1.110720e-04,3.065920e-04,9.035200e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-18,1.434755e+01,5.987040e-04,1.157120e-04,3.375040e-04,9.686400e-05,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-19,1.411333e+01,6.086400e-04,1.216160e-04,3.375360e-04,9.913600e-05,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-20,1.407521e+01,6.102880e-04,1.191520e-04,3.389280e-04,1.015040e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.109264e+01,4.072480e-04,1.079360e-04,2.103840e-04,5.358400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-10,1.909825e+01,4.497760e-04,1.126400e-04,2.393920e-04,6.052800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-11,1.872653e+01,4.587040e-04,1.155200e-04,2.411840e-04,6.444800e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,1.713928e+01,5.011840e-04,1.188640e-04,2.711360e-04,7.036800e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,1.690080e+01,5.082560e-04,1.215680e-04,2.717120e-04,7.272000e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,1.659006e+01,5.177760e-04,1.253120e-04,2.742080e-04,7.571200e-05,1.638400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,1.523557e+01,5.638080e-04,1.311200e-04,3.051680e-04,8.308800e-05,1.651200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,1.464540e+01,5.865280e-04,1.471360e-04,3.064000e-04,8.609600e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-17,1.439024e+01,5.969280e-04,1.532480e-04,3.065600e-04,8.945600e-05,1.843200e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-18,1.342110e+01,6.400320e-04,1.581760e-04,3.368160e-04,9.564800e-05,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-19,1.319417e+01,6.510400e-04,1.624320e-04,3.382240e-04,9.924800e-05,2.048000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-20,1.296257e+01,6.626720e-04,1.688640e-04,3.388800e-04,1.030720e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.169526e+01,3.959360e-04,9.294400e-05,1.835200e-04,8.294400e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-10,2.053515e+01,4.183040e-04,1.003360e-04,1.920960e-04,8.912000e-05,1.433600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-11,1.770215e+01,4.852480e-04,1.337280e-04,2.115520e-04,1.001920e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.672287e+01,5.136640e-04,1.450880e-04,2.219520e-04,1.060160e-04,1.638400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-13,1.442503e+01,5.954880e-04,1.921280e-04,2.436800e-04,1.161760e-04,1.836800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-14,1.375076e+01,6.246880e-04,2.051840e-04,2.519680e-04,1.230080e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-15,1.282417e+01,6.698240e-04,2.183680e-04,2.722400e-04,1.330720e-04,1.843200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-16,1.221383e+01,7.032960e-04,2.315840e-04,2.817280e-04,1.413440e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-17,1.149592e+01,7.472160e-04,2.440800e-04,3.016960e-04,1.515040e-04,2.048000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-18,1.084040e+01,7.924000e-04,2.687200e-04,3.127520e-04,1.587680e-04,2.256000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-19,9.921843e+00,8.657600e-04,3.186560e-04,3.213920e-04,1.725920e-04,2.252800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-20,9.152249e+00,9.385600e-04,3.564160e-04,3.445120e-04,1.832800e-04,2.252800e-05,
