phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,4.621027e+01,1.858880e-04,4.752000e-05,8.723200e-05,2.164800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,3.750670e+01,2.290240e-04,5.302400e-05,1.161280e-04,3.057600e-05,1.001600e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.118623e+01,2.754400e-04,6.068800e-05,1.464960e-04,3.753600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-6,2.696353e+01,3.185760e-04,6.451200e-05,1.771520e-04,4.560000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.600489e+01,3.303200e-04,6.780800e-05,1.807200e-04,4.800000e-05,1.196800e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.277579e+01,3.771520e-04,7.462400e-05,2.120320e-04,5.505600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.207528e+01,3.891200e-04,7.824000e-05,2.148160e-04,5.964800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.989811e+01,4.316960e-04,8.184000e-05,2.443680e-04,6.801600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.943917e+01,4.418880e-04,8.513600e-05,2.453120e-04,7.091200e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.773139e+01,4.844480e-04,8.902400e-05,2.753120e-04,7.844800e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-3,3.620412e+01,2.372640e-04,1.000320e-04,8.696000e-05,2.166400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.069412e+01,2.798560e-04,1.049440e-04,1.159680e-04,2.884800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.659488e+01,3.229920e-04,1.098080e-04,1.452800e-04,3.676800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.358421e+01,3.642240e-04,1.118560e-04,1.749280e-04,4.513600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.285335e+01,3.758720e-04,1.162560e-04,1.784000e-04,4.804800e-05,1.040000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.025928e+01,4.240000e-04,1.218880e-04,2.114240e-04,5.542400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.966128e+01,4.368960e-04,1.256960e-04,2.142880e-04,5.960000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.790346e+01,4.797920e-04,1.304000e-04,2.446720e-04,6.644800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.758445e+01,4.884960e-04,1.325760e-04,2.451840e-04,7.016000e-05,1.409600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.611064e+01,5.331840e-04,1.375360e-04,2.763200e-04,7.715200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-3,4.841473e+01,1.774240e-04,6.131200e-05,6.166400e-05,2.684800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-4,3.951939e+01,2.173600e-04,6.604800e-05,8.291200e-05,3.932800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,3.350836e+01,2.563520e-04,7.145600e-05,1.053280e-04,4.934400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,2.860870e+01,3.002560e-04,8.120000e-05,1.280160e-04,5.801600e-05,1.196800e-05,
-1.000000,1024,1024,OS2-f8-fast-7,2.499399e+01,3.436800e-04,9.088000e-05,1.493600e-04,6.884800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-8,2.229160e+01,3.853440e-04,1.010240e-04,1.688000e-04,8.017600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.004446e+01,4.285440e-04,1.115200e-04,1.906560e-04,8.841600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.875859e+01,4.579200e-04,1.215520e-04,1.993760e-04,9.806400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.718592e+01,4.998240e-04,1.312480e-04,2.208480e-04,1.068960e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.612516e+01,5.327040e-04,1.415040e-04,2.315200e-04,1.165920e-04,1.606400e-05,
-1.000000,1024,1024,OS2-f8-accu-3,4.153098e+01,2.068320e-04,8.667200e-05,6.244800e-05,2.908800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,3.501408e+01,2.453280e-04,9.251200e-05,8.408000e-05,3.929600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,3.028378e+01,2.836480e-04,9.680000e-05,1.055360e-04,5.017600e-05,1.030400e-05,
-1.000000,1024,1024,OS2-f8-accu-6,2.614546e+01,3.285440e-04,1.075040e-04,1.281120e-04,5.995200e-05,1.177600e-05,
-1.000000,1024,1024,OS2-f8-accu-7,2.295301e+01,3.742400e-04,1.179520e-04,1.503840e-04,7.040000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-8,2.064332e+01,4.161120e-04,1.275520e-04,1.724800e-04,7.942400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.859036e+01,4.620640e-04,1.392960e-04,1.937280e-04,9.062400e-05,1.254400e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.758733e+01,4.884160e-04,1.490560e-04,2.008480e-04,9.844800e-05,1.425600e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.622064e+01,5.295680e-04,1.582720e-04,2.222400e-04,1.082400e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.532691e+01,5.604480e-04,1.692800e-04,2.325760e-04,1.169920e-04,1.433600e-05,
-1.000000,1024,1024,BF16x9,4.565229e+01,1.881600e-04,,,,,
-1.000000,1024,1024,CHEMM,4.555158e+01,1.885760e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,2.219736e+02,3.095840e-04,1.149760e-04,1.201600e-04,3.323200e-05,2.428800e-05,
-1.000000,2048,2048,OS2-i8-fast-4,1.842622e+02,3.729440e-04,1.245280e-04,1.607520e-04,4.372800e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-5,1.560104e+02,4.404800e-04,1.346400e-04,2.045120e-04,5.636800e-05,2.448000e-05,
-1.000000,2048,2048,OS2-i8-fast-6,1.353854e+02,5.075840e-04,1.444320e-04,2.439680e-04,7.078400e-05,2.660800e-05,
-1.000000,2048,2048,OS2-i8-fast-7,1.249409e+02,5.500160e-04,1.535200e-04,2.644000e-04,8.070400e-05,2.851200e-05,
-1.000000,2048,2048,OS2-i8-fast-8,1.089983e+02,6.304640e-04,1.780800e-04,3.040800e-04,9.476800e-05,3.072000e-05,
-1.000000,2048,2048,OS2-i8-fast-9,1.022368e+02,6.721600e-04,1.902720e-04,3.199520e-04,1.053600e-04,3.262400e-05,
-1.000000,2048,2048,OS2-i8-fast-10,9.276587e+01,7.407840e-04,2.031520e-04,3.595520e-04,1.177760e-04,3.481600e-05,
-1.000000,2048,2048,OS2-i8-fast-11,8.762736e+01,7.842240e-04,2.151840e-04,3.737280e-04,1.323200e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-fast-12,8.073095e+01,8.512160e-04,2.273600e-04,4.151040e-04,1.423520e-04,3.881600e-05,
-1.000000,2048,2048,OS2-i8-accu-3,1.752976e+02,3.920160e-04,1.967840e-04,1.201920e-04,3.361600e-05,2.278400e-05,
-1.000000,2048,2048,OS2-i8-accu-4,1.503261e+02,4.571360e-04,2.084640e-04,1.603520e-04,4.473600e-05,2.451200e-05,
-1.000000,2048,2048,OS2-i8-accu-5,1.319498e+02,5.208000e-04,2.166240e-04,2.006560e-04,5.785600e-05,2.454400e-05,
-1.000000,2048,2048,OS2-i8-accu-6,1.168349e+02,5.881760e-04,2.265280e-04,2.416000e-04,7.201600e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-7,1.092311e+02,6.291200e-04,2.343360e-04,2.613920e-04,8.220800e-05,2.851200e-05,
-1.000000,2048,2048,OS2-i8-accu-8,9.695623e+01,7.087680e-04,2.579680e-04,3.010880e-04,9.601600e-05,3.072000e-05,
-1.000000,2048,2048,OS2-i8-accu-9,9.160447e+01,7.501760e-04,2.697760e-04,3.185280e-04,1.054880e-04,3.254400e-05,
-1.000000,2048,2048,OS2-i8-accu-10,8.404859e+01,8.176160e-04,2.822720e-04,3.558400e-04,1.191520e-04,3.481600e-05,
-1.000000,2048,2048,OS2-i8-accu-11,7.942759e+01,8.651840e-04,2.958400e-04,3.748320e-04,1.309920e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-accu-12,7.368907e+01,9.325600e-04,3.092000e-04,4.152480e-04,1.417600e-04,3.878400e-05,
