phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,4.638995e+01,1.851680e-04,4.812800e-05,8.691200e-05,2.166400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,3.757232e+01,2.286240e-04,5.420800e-05,1.159680e-04,2.974400e-05,9.968000e-06,
-1.000000,1024,1024,OS2-i8-fast-5,3.128801e+01,2.745440e-04,6.113600e-05,1.454400e-04,3.787200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-6,2.714348e+01,3.164640e-04,6.475200e-05,1.745280e-04,4.590400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.614546e+01,3.285440e-04,6.784000e-05,1.787040e-04,4.790400e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.283003e+01,3.762560e-04,7.478400e-05,2.106560e-04,5.537600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.216002e+01,3.876320e-04,7.851200e-05,2.137440e-04,5.899200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.989590e+01,4.317440e-04,8.220800e-05,2.451200e-04,6.736000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.945890e+01,4.414400e-04,8.552000e-05,2.445760e-04,7.121600e-05,1.406400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.775602e+01,4.837760e-04,8.913600e-05,2.745120e-04,7.828800e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-3,3.589189e+01,2.393280e-04,1.014720e-04,8.723200e-05,2.169600e-05,1.012800e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.081569e+01,2.787520e-04,1.044000e-04,1.160160e-04,2.900800e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.660015e+01,3.229280e-04,1.092960e-04,1.451680e-04,3.801600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.359665e+01,3.640320e-04,1.117440e-04,1.748480e-04,4.534400e-05,1.030400e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.285919e+01,3.757760e-04,1.153440e-04,1.780480e-04,4.803200e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.022722e+01,4.246720e-04,1.225120e-04,2.108480e-04,5.542400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.968074e+01,4.364640e-04,1.248320e-04,2.140960e-04,6.004800e-05,1.228800e-05,
