phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.279803e+01,3.767840e-04,6.403200e-05,2.166080e-04,5.809600e-05,1.408000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.046626e+01,4.197120e-04,6.699200e-05,2.466880e-04,6.604800e-05,1.404800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.987160e+01,4.322720e-04,7.014400e-05,2.495360e-04,7.081600e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.775660e+01,4.837600e-04,8.104000e-05,2.823200e-04,7.729600e-05,1.624000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.763065e+01,4.872160e-04,8.395200e-05,2.788320e-04,7.971200e-05,1.628800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.731339e+01,4.961440e-04,8.768000e-05,2.782080e-04,8.420800e-05,1.811200e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.588611e+01,5.407200e-04,9.076800e-05,3.104160e-04,9.105600e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.524076e+01,5.636160e-04,1.088640e-04,3.117760e-04,9.388800e-05,1.827200e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.503756e+01,5.712320e-04,1.129760e-04,3.118720e-04,9.609600e-05,1.852800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.392408e+01,6.169120e-04,1.168960e-04,3.438720e-04,1.038240e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.370373e+01,6.268320e-04,1.226720e-04,3.446240e-04,1.066720e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.369499e+01,6.272320e-04,1.171040e-04,3.453280e-04,1.099040e-04,2.041600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.992913e+01,4.310240e-04,1.207200e-04,2.146880e-04,5.731200e-05,1.408000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.811061e+01,4.743040e-04,1.239040e-04,2.468320e-04,6.417600e-05,1.411200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.776072e+01,4.836480e-04,1.262880e-04,2.464160e-04,6.873600e-05,1.612800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.627473e+01,5.278080e-04,1.305760e-04,2.778720e-04,7.593600e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.600736e+01,5.366240e-04,1.343520e-04,2.784960e-04,7.964800e-05,1.628800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.571590e+01,5.465760e-04,1.387200e-04,2.790240e-04,8.321600e-05,1.664000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.452258e+01,5.914880e-04,1.427040e-04,3.091840e-04,9.094400e-05,1.820800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.394796e+01,6.158560e-04,1.618880e-04,3.119200e-04,9.339200e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.372826e+01,6.257120e-04,1.677600e-04,3.111680e-04,9.600000e-05,1.862400e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.281284e+01,6.704160e-04,1.724800e-04,3.409920e-04,1.040640e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.264743e+01,6.791840e-04,1.759840e-04,3.434720e-04,1.064000e-04,2.027200e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.242555e+01,6.913120e-04,1.801600e-04,3.451680e-04,1.103200e-04,2.046400e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.032601e+01,4.226080e-04,1.009440e-04,1.942080e-04,8.937600e-05,1.422400e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.918287e+01,4.477920e-04,1.095200e-04,2.022080e-04,9.779200e-05,1.424000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.649626e+01,5.207200e-04,1.471680e-04,2.233600e-04,1.078240e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.553536e+01,5.529280e-04,1.606080e-04,2.316160e-04,1.160000e-04,1.656000e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.335234e+01,6.433280e-04,2.196800e-04,2.536000e-04,1.250720e-04,1.820800e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.260349e+01,6.815520e-04,2.387360e-04,2.625120e-04,1.333760e-04,1.824000e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.168432e+01,7.351680e-04,2.582560e-04,2.853920e-04,1.431040e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.113124e+01,7.716960e-04,2.771680e-04,2.939360e-04,1.491520e-04,2.032000e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.040589e+01,8.254880e-04,2.955360e-04,3.161920e-04,1.611040e-04,2.048000e-05,
-1.000000,1024,1024,OS2-f8-fast-18,9.805862e+00,8.760000e-04,3.265120e-04,3.240000e-04,1.699520e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,9.006692e+00,9.537280e-04,3.815680e-04,3.315520e-04,1.854400e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-fast-20,8.270495e+00,1.038624e-03,4.311680e-04,3.542560e-04,1.960320e-04,2.262400e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.835707e+01,4.679360e-04,1.460000e-04,1.926720e-04,9.032000e-05,1.427200e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.734864e+01,4.951360e-04,1.553600e-04,2.012320e-04,9.894400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.580194e+01,5.436000e-04,1.669440e-04,2.227360e-04,1.105760e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.509761e+01,5.689600e-04,1.773760e-04,2.307040e-04,1.169120e-04,1.638400e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.308739e+01,6.563520e-04,2.305120e-04,2.535360e-04,1.261120e-04,1.820800e-05,
-1.000000,1024,1024,OS2-f8-accu-14,1.245785e+01,6.895200e-04,2.462880e-04,2.621440e-04,1.342880e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-accu-15,1.158948e+01,7.411840e-04,2.636160e-04,2.859360e-04,1.432800e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-accu-16,1.105788e+01,7.768160e-04,2.828800e-04,2.930080e-04,1.500320e-04,2.028800e-05,
-1.000000,1024,1024,OS2-f8-accu-17,1.033896e+01,8.308320e-04,3.020640e-04,3.145600e-04,1.617760e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-accu-18,9.895691e+00,8.680480e-04,3.189760e-04,3.241120e-04,1.691360e-04,2.236800e-05,
-1.000000,1024,1024,OS2-f8-accu-19,9.544202e+00,9.000160e-04,3.277760e-04,3.309280e-04,1.844000e-04,2.233600e-05,
