phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.260414e+01,3.800160e-04,6.624000e-05,2.161920e-04,5.921600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.033448e+01,4.224320e-04,6.916800e-05,2.468480e-04,6.716800e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.980489e+01,4.337280e-04,7.265600e-05,2.484480e-04,7.112000e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.782440e+01,4.819200e-04,8.264000e-05,2.782880e-04,7.777600e-05,1.635200e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.755570e+01,4.892960e-04,8.593600e-05,2.790560e-04,8.044800e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.715626e+01,5.006880e-04,8.942400e-05,2.810720e-04,8.531200e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.585046e+01,5.419360e-04,9.235200e-05,3.095360e-04,9.171200e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.516799e+01,5.663200e-04,1.104480e-04,3.116160e-04,9.459200e-05,1.843200e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.495837e+01,5.742560e-04,1.146560e-04,3.116160e-04,9.747200e-05,1.849600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.388375e+01,6.187040e-04,1.190720e-04,3.413600e-04,1.049760e-04,2.030400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.359580e+01,6.318080e-04,1.245920e-04,3.454080e-04,1.075360e-04,2.044800e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.358548e+01,6.322880e-04,1.204320e-04,3.449120e-04,1.119040e-04,2.048000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.982756e+01,4.332320e-04,1.207200e-04,2.155040e-04,5.812800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.806977e+01,4.753760e-04,1.241920e-04,2.448640e-04,6.636800e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.768408e+01,4.857440e-04,1.272800e-04,2.459360e-04,7.004800e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.624863e+01,5.286560e-04,1.307200e-04,2.774720e-04,7.681600e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.594508e+01,5.387200e-04,1.353280e-04,2.788480e-04,8.017600e-05,1.612800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.570119e+01,5.470880e-04,1.382400e-04,2.793440e-04,8.363200e-05,1.651200e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.450924e+01,5.920320e-04,1.423520e-04,3.096000e-04,9.065600e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.389058e+01,6.184000e-04,1.622560e-04,3.121760e-04,9.440000e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.369080e+01,6.274240e-04,1.679680e-04,3.105440e-04,9.736000e-05,1.859200e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.278508e+01,6.718720e-04,1.724640e-04,3.410400e-04,1.051520e-04,2.044800e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.255838e+01,6.840000e-04,1.767040e-04,3.433920e-04,1.091520e-04,2.044800e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.238314e+01,6.936800e-04,1.817120e-04,3.446240e-04,1.117760e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.015281e+01,4.262400e-04,1.026400e-04,1.939840e-04,9.152000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.911321e+01,4.494240e-04,1.108320e-04,2.015200e-04,9.766400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.647955e+01,5.212480e-04,1.479040e-04,2.232320e-04,1.070560e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.543309e+01,5.565920e-04,1.639040e-04,2.322880e-04,1.168800e-04,1.649600e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.320586e+01,6.504640e-04,2.249600e-04,2.538720e-04,1.260320e-04,1.819200e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.251331e+01,6.864640e-04,2.437600e-04,2.619200e-04,1.330720e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.161254e+01,7.397120e-04,2.639680e-04,2.837280e-04,1.434560e-04,1.844800e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.105856e+01,7.767680e-04,2.844320e-04,2.928640e-04,1.484640e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.031789e+01,8.325280e-04,3.050240e-04,3.151520e-04,1.596480e-04,2.048000e-05,
-1.000000,1024,1024,OS2-f8-fast-18,9.679105e+00,8.874720e-04,3.383840e-04,3.256960e-04,1.681760e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,8.888003e+00,9.664640e-04,3.948800e-04,3.306720e-04,1.855360e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-fast-20,8.200509e+00,1.047488e-03,4.434560e-04,3.514880e-04,1.941600e-04,2.276800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.829888e+01,4.694240e-04,1.464160e-04,1.929920e-04,9.152000e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.729777e+01,4.965920e-04,1.559040e-04,2.014080e-04,9.889600e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.587436e+01,5.411200e-04,1.668480e-04,2.231840e-04,1.083680e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.501653e+01,5.720320e-04,1.800800e-04,2.314400e-04,1.164800e-04,1.638400e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.300118e+01,6.607040e-04,2.348000e-04,2.525440e-04,1.268160e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-accu-14,1.235919e+01,6.950240e-04,2.504160e-04,2.632320e-04,1.335520e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-accu-15,1.154238e+01,7.442080e-04,2.688640e-04,2.829280e-04,1.438080e-04,1.840000e-05,
