phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.162796e+01,3.971680e-04,8.377600e-05,2.154880e-04,5.913600e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.952968e+01,4.398400e-04,8.737600e-05,2.458880e-04,6.750400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.903190e+01,4.513440e-04,9.147200e-05,2.470400e-04,7.120000e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.740883e+01,4.934240e-04,9.537600e-05,2.769280e-04,7.796800e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.708420e+01,5.028000e-04,9.912000e-05,2.793440e-04,7.950400e-05,1.612800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.669063e+01,5.146560e-04,1.030880e-04,2.809440e-04,8.446400e-05,1.667200e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.545708e+01,5.557280e-04,1.069760e-04,3.084480e-04,9.144000e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.484299e+01,5.787200e-04,1.251680e-04,3.102560e-04,9.438400e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.459999e+01,5.883520e-04,1.298080e-04,3.100000e-04,9.787200e-05,1.851200e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.354059e+01,6.343840e-04,1.349760e-04,3.428480e-04,1.029760e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.328658e+01,6.465120e-04,1.409440e-04,3.437280e-04,1.084320e-04,2.044800e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.310208e+01,6.556160e-04,1.453120e-04,3.443040e-04,1.109120e-04,2.048000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.928554e+01,4.454080e-04,1.326080e-04,2.147520e-04,5.924800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.762486e+01,4.873760e-04,1.356320e-04,2.454240e-04,6.640000e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.720906e+01,4.991520e-04,1.408160e-04,2.456000e-04,6.979200e-05,1.635200e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.585374e+01,5.418240e-04,1.448160e-04,2.758880e-04,7.699200e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.556148e+01,5.520000e-04,1.492320e-04,2.787360e-04,7.955200e-05,1.635200e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.525895e+01,5.629440e-04,1.528320e-04,2.794240e-04,8.448000e-05,1.649600e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.415202e+01,6.069760e-04,1.572960e-04,3.099840e-04,9.096000e-05,1.843200e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.364972e+01,6.293120e-04,1.749120e-04,3.108960e-04,9.464000e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.340702e+01,6.407040e-04,1.812800e-04,3.105920e-04,9.718400e-05,1.859200e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.251360e+01,6.864480e-04,1.869120e-04,3.406560e-04,1.042880e-04,2.030400e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.229353e+01,6.987360e-04,1.914080e-04,3.443040e-04,1.087520e-04,2.044800e-05,
