phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,5.290932e+01,1.623520e-04,2.166400e-05,8.750400e-05,2.060800e-05,1.328000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,4.227330e+01,2.032000e-04,2.582400e-05,1.159040e-04,2.812800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.513093e+01,2.445120e-04,2.769600e-05,1.451520e-04,3.593600e-05,1.529600e-05,
-1.000000,1024,1024,OS2-i8-fast-6,3.016298e+01,2.847840e-04,2.988800e-05,1.756320e-04,4.276800e-05,1.523200e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.905303e+01,2.956640e-04,3.212800e-05,1.777760e-04,4.668800e-05,1.731200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.508274e+01,3.424640e-04,3.806400e-05,2.091840e-04,5.446400e-05,1.734400e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.429830e+01,3.535200e-04,4.035200e-05,2.124640e-04,5.801600e-05,1.844800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.168124e+01,3.961920e-04,4.260800e-05,2.432320e-04,6.625600e-05,1.942400e-05,
-1.000000,1024,1024,OS2-i8-fast-11,2.114248e+01,4.062880e-04,4.500800e-05,2.436800e-04,6.980800e-05,2.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.868807e+01,4.596480e-04,5.889600e-05,2.742080e-04,7.638400e-05,2.329600e-05,
-1.000000,1024,1024,OS2-i8-accu-3,4.018194e+01,2.137760e-04,7.292800e-05,8.683200e-05,2.240000e-05,1.321600e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.354605e+01,2.560640e-04,7.545600e-05,1.168480e-04,2.995200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.876197e+01,2.986560e-04,8.076800e-05,1.458080e-04,3.627200e-05,1.526400e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.539958e+01,3.381920e-04,8.283200e-05,1.752640e-04,4.313600e-05,1.523200e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.458425e+01,3.494080e-04,8.465600e-05,1.798080e-04,4.606400e-05,1.724800e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.161229e+01,3.974560e-04,9.200000e-05,2.106720e-04,5.321600e-05,1.740800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.103973e+01,4.082720e-04,9.451200e-05,2.116960e-04,5.856000e-05,1.920000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.905284e+01,4.508480e-04,9.635200e-05,2.433440e-04,6.561600e-05,1.945600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.852301e+01,4.637440e-04,1.011040e-04,2.449280e-04,6.940800e-05,2.252800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.705218e+01,5.037440e-04,1.017920e-04,2.745760e-04,7.649600e-05,2.329600e-05,
-1.000000,1024,1024,OS2-f8-fast-3,5.607592e+01,1.531840e-04,3.192000e-05,6.265600e-05,2.680000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-4,4.476162e+01,1.919040e-04,3.606400e-05,8.339200e-05,3.795200e-05,1.532800e-05,
-1.000000,1024,1024,OS2-f8-fast-5,3.748052e+01,2.291840e-04,3.803200e-05,1.054240e-04,4.964800e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-6,3.115546e+01,2.757120e-04,4.646400e-05,1.301600e-04,6.076800e-05,1.740800e-05,
-1.000000,1024,1024,OS2-f8-fast-7,2.660806e+01,3.228320e-04,6.076800e-05,1.502400e-04,7.044800e-05,1.916800e-05,
-1.000000,1024,1024,OS2-f8-fast-8,2.388322e+01,3.596640e-04,6.262400e-05,1.735040e-04,8.075200e-05,1.939200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.134676e+01,4.024000e-04,7.075200e-05,1.951040e-04,9.113600e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,2.019526e+01,4.253440e-04,7.737600e-05,2.017760e-04,9.657600e-05,2.342400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.653488e+01,5.195040e-04,1.366400e-04,2.226560e-04,1.079680e-04,2.534400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.561125e+01,5.502400e-04,1.487040e-04,2.311840e-04,1.175680e-04,2.659200e-05,
-1.000000,1024,1024,OS2-f8-accu-3,4.738072e+01,1.812960e-04,5.721600e-05,6.257600e-05,2.907200e-05,1.433600e-05,
