phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,4.757385e+01,1.805600e-04,4.228800e-05,8.662400e-05,2.067200e-05,1.321600e-05,
-1.000000,1024,1024,OS2-i8-fast-4,3.748313e+01,2.291680e-04,5.067200e-05,1.168000e-04,2.876800e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.118623e+01,2.754400e-04,5.915200e-05,1.458240e-04,3.510400e-05,1.520000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,2.694865e+01,3.187520e-04,6.451200e-05,1.747040e-04,4.267200e-05,1.523200e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.579250e+01,3.330400e-04,6.788800e-05,1.789280e-04,4.654400e-05,1.724800e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.282906e+01,3.762720e-04,7.227200e-05,2.101600e-04,5.281600e-05,1.724800e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.203180e+01,3.898880e-04,7.680000e-05,2.135680e-04,5.641600e-05,1.929600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.983782e+01,4.330080e-04,8.038400e-05,2.434400e-04,6.396800e-05,1.932800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.941667e+01,4.424000e-04,8.352000e-05,2.431840e-04,6.838400e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.768058e+01,4.858400e-04,8.667200e-05,2.735200e-04,7.483200e-05,2.342400e-05,
-1.000000,1024,1024,OS2-i8-accu-3,3.688313e+01,2.328960e-04,9.134400e-05,8.748800e-05,2.252800e-05,1.324800e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.137761e+01,2.737600e-04,9.387200e-05,1.175200e-04,2.940800e-05,1.334400e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.719435e+01,3.158720e-04,9.793600e-05,1.454240e-04,3.628800e-05,1.518400e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.413337e+01,3.559360e-04,9.979200e-05,1.753920e-04,4.409600e-05,1.520000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.328653e+01,3.688800e-04,1.025600e-04,1.795040e-04,4.700800e-05,1.721600e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.083075e+01,4.123680e-04,1.071200e-04,2.100800e-04,5.361600e-05,1.724800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.027458e+01,4.236800e-04,1.102560e-04,2.131200e-04,5.721600e-05,1.929600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.831137e+01,4.691040e-04,1.162880e-04,2.434720e-04,6.369600e-05,1.942400e-05,
