phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.160707e+01,3.975520e-04,8.430400e-05,2.136640e-04,5.638400e-05,1.929600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.947301e+01,4.411200e-04,8.849600e-05,2.429920e-04,6.443200e-05,1.961600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.905487e+01,4.508000e-04,9.187200e-05,2.440000e-04,6.752000e-05,2.134400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.737615e+01,4.943520e-04,9.569600e-05,2.743520e-04,7.457600e-05,2.336000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.699012e+01,5.055840e-04,9.932800e-05,2.768000e-04,7.790400e-05,2.342400e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.660699e+01,5.172480e-04,1.032160e-04,2.776480e-04,8.192000e-05,2.550400e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.528415e+01,5.620160e-04,1.075360e-04,3.078080e-04,8.940800e-05,2.748800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.474556e+01,5.825440e-04,1.228320e-04,3.088960e-04,9.184000e-05,2.755200e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.441729e+01,5.958080e-04,1.291360e-04,3.096000e-04,9.590400e-05,2.950400e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.341104e+01,6.405120e-04,1.344160e-04,3.391040e-04,1.032480e-04,3.072000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.315538e+01,6.529600e-04,1.414240e-04,3.419360e-04,1.055360e-04,3.158400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.290152e+01,6.658080e-04,1.475520e-04,3.421280e-04,1.084000e-04,3.376000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.984735e+01,4.328000e-04,1.184800e-04,2.147840e-04,5.635200e-05,1.931200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.806916e+01,4.753920e-04,1.228320e-04,2.433600e-04,6.440000e-05,1.966400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.771676e+01,4.848480e-04,1.258240e-04,2.443680e-04,6.756800e-05,2.134400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.622702e+01,5.293600e-04,1.302240e-04,2.745600e-04,7.422400e-05,2.329600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.583783e+01,5.423680e-04,1.362080e-04,2.754240e-04,7.844800e-05,2.339200e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.549500e+01,5.543680e-04,1.397280e-04,2.778880e-04,8.233600e-05,2.547200e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.436329e+01,5.980480e-04,1.440960e-04,3.077920e-04,8.974400e-05,2.747200e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.390065e+01,6.179520e-04,1.592000e-04,3.076160e-04,9.227200e-05,2.753600e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.359821e+01,6.316960e-04,1.657600e-04,3.090880e-04,9.595200e-05,2.950400e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.263999e+01,6.795840e-04,1.729920e-04,3.399360e-04,1.032160e-04,3.072000e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.245929e+01,6.894400e-04,1.786080e-04,3.407360e-04,1.052800e-04,3.155200e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.218859e+01,7.047520e-04,1.849600e-04,3.423040e-04,1.088000e-04,3.377600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,1.933416e+01,4.442880e-04,1.103520e-04,1.961760e-04,9.204800e-05,2.124800e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.826278e+01,4.703520e-04,1.189920e-04,2.043200e-04,9.969600e-05,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.675732e+01,5.126080e-04,1.272960e-04,2.256480e-04,1.102560e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.604084e+01,5.355040e-04,1.346240e-04,2.346560e-04,1.159520e-04,2.454400e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.412893e+01,6.079680e-04,1.691520e-04,2.569120e-04,1.273600e-04,2.672000e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.352763e+01,6.349920e-04,1.781440e-04,2.650720e-04,1.342720e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.258488e+01,6.825600e-04,1.876320e-04,2.887360e-04,1.450720e-04,3.078400e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.233704e+01,6.962720e-04,1.947840e-04,2.909600e-04,1.484320e-04,3.145600e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.160601e+01,7.401280e-04,2.044320e-04,3.135680e-04,1.579680e-04,3.356800e-05,
-1.000000,1024,1024,OS2-f8-fast-18,1.118015e+01,7.683200e-04,2.144800e-04,3.224640e-04,1.650720e-04,3.481600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,1.064122e+01,8.072320e-04,2.253600e-04,3.328000e-04,1.801920e-04,3.686400e-05,
-1.000000,1024,1024,OS2-f8-fast-20,1.009668e+01,8.507680e-04,2.349440e-04,3.523040e-04,1.907360e-04,3.968000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.885676e+01,4.555360e-04,1.279200e-04,1.929920e-04,8.958400e-05,2.118400e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.789987e+01,4.798880e-04,1.356480e-04,2.013920e-04,9.606400e-05,2.134400e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.645783e+01,5.219360e-04,1.434080e-04,2.226080e-04,1.076480e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.570946e+01,5.468000e-04,1.514080e-04,2.305440e-04,1.137920e-04,2.336000e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.392192e+01,6.170080e-04,1.856960e-04,2.527200e-04,1.236480e-04,2.748800e-05,
