phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.401677e+01,3.576640e-04,4.510400e-05,2.118400e-04,5.707200e-05,1.932800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.155762e+01,3.984640e-04,4.699200e-05,2.423040e-04,6.436800e-05,1.953600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,2.105128e+01,4.080480e-04,4.918400e-05,2.435200e-04,6.822400e-05,2.134400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.858071e+01,4.623040e-04,6.577600e-05,2.736000e-04,7.472000e-05,2.163200e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.799527e+01,4.773440e-04,6.910400e-05,2.776800e-04,7.918400e-05,2.358400e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.773607e+01,4.843200e-04,7.142400e-05,2.767360e-04,8.160000e-05,2.547200e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.626487e+01,5.281280e-04,7.401600e-05,3.077760e-04,8.880000e-05,2.752000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.560580e+01,5.504320e-04,8.940800e-05,3.084000e-04,9.249600e-05,2.956800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.536375e+01,5.591040e-04,9.363200e-05,3.093120e-04,9.569600e-05,2.956800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.420970e+01,6.045120e-04,9.720000e-05,3.394080e-04,1.044640e-04,3.158400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.398684e+01,6.141440e-04,1.028320e-04,3.412320e-04,1.050560e-04,3.169600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.406415e+01,6.107680e-04,8.987200e-05,3.442240e-04,1.095040e-04,3.376000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.097316e+01,4.095680e-04,9.662400e-05,2.125760e-04,5.710400e-05,1.926400e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.891323e+01,4.541760e-04,1.008000e-04,2.426400e-04,6.473600e-05,2.134400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.856593e+01,4.626720e-04,1.030240e-04,2.448000e-04,6.769600e-05,2.134400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.704244e+01,5.040320e-04,1.055200e-04,2.733280e-04,7.507200e-05,2.339200e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.660597e+01,5.172800e-04,1.100000e-04,2.769440e-04,7.787200e-05,2.366400e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.634808e+01,5.254400e-04,1.118080e-04,2.770720e-04,8.172800e-05,2.547200e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.496463e+01,5.740160e-04,1.176000e-04,3.089600e-04,8.939200e-05,2.752000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.436559e+01,5.979520e-04,1.366560e-04,3.086560e-04,9.256000e-05,2.955200e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.413004e+01,6.079200e-04,1.412160e-04,3.090560e-04,9.614400e-05,2.956800e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.315054e+01,6.532000e-04,1.453600e-04,3.398240e-04,1.031520e-04,3.161600e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.302516e+01,6.594880e-04,1.479040e-04,3.406720e-04,1.057760e-04,3.164800e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.276380e+01,6.729920e-04,1.523200e-04,3.431360e-04,1.090400e-04,3.372800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.001308e+01,4.292160e-04,9.760000e-05,1.955040e-04,9.076800e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.970819e+01,4.358560e-04,8.731200e-05,2.046080e-04,9.772800e-05,2.249600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.627918e+01,5.276640e-04,1.441920e-04,2.257760e-04,1.086560e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.523341e+01,5.638880e-04,1.591360e-04,2.364320e-04,1.173600e-04,2.454400e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.300811e+01,6.603520e-04,2.183520e-04,2.586880e-04,1.274720e-04,2.737600e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.242095e+01,6.915680e-04,2.358720e-04,2.640320e-04,1.336960e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.149518e+01,7.472640e-04,2.527520e-04,2.888320e-04,1.439200e-04,3.174400e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.098569e+01,7.819200e-04,2.697600e-04,2.964640e-04,1.527680e-04,3.161600e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.027170e+01,8.362720e-04,2.855040e-04,3.217920e-04,1.631520e-04,3.376000e-05,
-1.000000,1024,1024,OS2-f8-fast-18,9.632045e+00,8.918080e-04,3.254240e-04,3.296000e-04,1.698080e-04,3.558400e-05,
-1.000000,1024,1024,OS2-f8-fast-19,8.511358e+00,1.009232e-03,4.139680e-04,3.381760e-04,1.861440e-04,3.699200e-05,
-1.000000,1024,1024,OS2-f8-fast-20,7.746161e+00,1.108928e-03,4.786080e-04,3.601440e-04,1.974400e-04,3.968000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.904743e+01,4.509760e-04,1.196160e-04,1.950720e-04,9.110400e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.797719e+01,4.778240e-04,1.287200e-04,2.038560e-04,9.867200e-05,2.249600e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.641405e+01,5.233280e-04,1.383200e-04,2.264160e-04,1.094880e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.568697e+01,5.475840e-04,1.470720e-04,2.320800e-04,1.172000e-04,2.454400e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.380841e+01,6.220800e-04,1.877760e-04,2.541440e-04,1.248960e-04,2.737600e-05,
-1.000000,1024,1024,OS2-f8-accu-14,1.322440e+01,6.495520e-04,1.985440e-04,2.617920e-04,1.308160e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-accu-15,1.230452e+01,6.981120e-04,2.119680e-04,2.843200e-04,1.397120e-04,3.152000e-05,
-1.000000,1024,1024,OS2-f8-accu-16,1.182848e+01,7.262080e-04,2.250400e-04,2.910880e-04,1.482560e-04,3.164800e-05,
