phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.154983e+01,3.986080e-04,8.520000e-05,2.122400e-04,5.846400e-05,1.916800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.933694e+01,4.442240e-04,8.796800e-05,2.435360e-04,6.689600e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.893658e+01,4.536160e-04,9.211200e-05,2.448320e-04,6.907200e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.730725e+01,4.963200e-04,9.520000e-05,2.745120e-04,7.668800e-05,2.326400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.688326e+01,5.087840e-04,9.944000e-05,2.760960e-04,8.049600e-05,2.528000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.654966e+01,5.190400e-04,1.039680e-04,2.781280e-04,8.332800e-05,2.560000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.527110e+01,5.624960e-04,1.070880e-04,3.077760e-04,9.124800e-05,2.752000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.466500e+01,5.857440e-04,1.236320e-04,3.076000e-04,9.473600e-05,2.940800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.440452e+01,5.963360e-04,1.289920e-04,3.089280e-04,9.760000e-05,2.969600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.336364e+01,6.427840e-04,1.344480e-04,3.399040e-04,1.052480e-04,3.148800e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.312450e+01,6.544960e-04,1.407840e-04,3.406720e-04,1.084480e-04,3.174400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.282631e+01,6.697120e-04,1.470880e-04,3.433920e-04,1.105440e-04,3.484800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.996322e+01,4.302880e-04,1.172320e-04,2.128160e-04,5.734400e-05,1.921600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.807038e+01,4.753600e-04,1.202080e-04,2.432960e-04,6.544000e-05,2.121600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.763123e+01,4.872000e-04,1.256960e-04,2.445440e-04,6.921600e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.619667e+01,5.303520e-04,1.291040e-04,2.748480e-04,7.622400e-05,2.329600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.578800e+01,5.440800e-04,1.352640e-04,2.762880e-04,7.974400e-05,2.531200e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.545264e+01,5.558880e-04,1.395520e-04,2.773440e-04,8.377600e-05,2.560000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.433759e+01,5.991200e-04,1.440160e-04,3.068320e-04,9.097600e-05,2.758400e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.383617e+01,6.208320e-04,1.583520e-04,3.082720e-04,9.436800e-05,2.944000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.357380e+01,6.328320e-04,1.652000e-04,3.095040e-04,9.657600e-05,2.966400e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.261030e+01,6.811840e-04,1.726400e-04,3.394080e-04,1.053280e-04,3.155200e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.237229e+01,6.942880e-04,1.782720e-04,3.406080e-04,1.088320e-04,3.193600e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.213542e+01,7.078400e-04,1.857440e-04,3.432160e-04,1.105440e-04,3.384000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,1.939633e+01,4.428640e-04,1.100480e-04,1.954400e-04,9.212800e-05,2.148800e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.836712e+01,4.676800e-04,1.185600e-04,2.032960e-04,9.854400e-05,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.687053e+01,5.091680e-04,1.265920e-04,2.243520e-04,1.090560e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.599735e+01,5.369600e-04,1.337440e-04,2.348640e-04,1.177600e-04,2.403200e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.415090e+01,6.070240e-04,1.691200e-04,2.553120e-04,1.278720e-04,2.667200e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.347635e+01,6.374080e-04,1.779840e-04,2.650400e-04,1.361120e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.259639e+01,6.819360e-04,1.871520e-04,2.882400e-04,1.444960e-04,3.174400e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.212172e+01,7.086400e-04,1.971200e-04,2.953120e-04,1.525760e-04,3.273600e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.156227e+01,7.429280e-04,2.046560e-04,3.152320e-04,1.588000e-04,3.360000e-05,
-1.000000,1024,1024,OS2-f8-fast-18,1.118971e+01,7.676640e-04,2.140160e-04,3.221120e-04,1.640960e-04,3.558400e-05,
-1.000000,1024,1024,OS2-f8-fast-19,1.063027e+01,8.080640e-04,2.254080e-04,3.312640e-04,1.811520e-04,3.760000e-05,
-1.000000,1024,1024,OS2-f8-fast-20,1.009820e+01,8.506400e-04,2.345120e-04,3.518720e-04,1.900640e-04,3.968000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.886273e+01,4.553920e-04,1.266720e-04,1.931360e-04,9.056000e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.787008e+01,4.806880e-04,1.363200e-04,2.013440e-04,9.644800e-05,2.137600e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.643768e+01,5.225760e-04,1.437600e-04,2.223520e-04,1.063520e-04,2.326400e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.573064e+01,5.460640e-04,1.499360e-04,2.312000e-04,1.142720e-04,2.332800e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.390065e+01,6.179520e-04,1.860960e-04,2.527200e-04,1.236000e-04,2.662400e-05,
-1.000000,1024,1024,OS2-f8-accu-14,1.329217e+01,6.462400e-04,1.940320e-04,2.618080e-04,1.314560e-04,2.940800e-05,
-1.000000,1024,1024,OS2-f8-accu-15,1.245091e+01,6.899040e-04,2.038080e-04,2.829760e-04,1.411680e-04,3.152000e-05,
-1.000000,1024,1024,OS2-f8-accu-16,1.203531e+01,7.137280e-04,2.130080e-04,2.912960e-04,1.469120e-04,3.161600e-05,
