phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.891377e+01,1.485440e-04,1.326400e-05,8.646400e-05,2.080000e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.319698e+01,1.851520e-04,1.364800e-05,1.147680e-04,2.760000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.922615e+01,2.233920e-04,1.489600e-05,1.442880e-04,3.454400e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.635306e+01,2.626400e-04,1.548800e-05,1.740480e-04,4.216000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.597450e+01,2.688640e-04,1.708800e-05,1.749760e-04,4.531200e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.394905e+01,3.079040e-04,1.992000e-05,2.035840e-04,5.203200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.353684e+01,3.172800e-04,2.227200e-05,2.043360e-04,5.766400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.211844e+01,3.544160e-04,2.353600e-05,2.318080e-04,6.500800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.186088e+01,3.621120e-04,2.520000e-05,2.331200e-04,6.832000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.066574e+01,4.026880e-04,3.096000e-05,2.619360e-04,7.356800e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.248015e+01,1.910560e-04,5.753600e-05,8.604800e-05,1.990400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.845171e+01,2.327680e-04,6.040000e-05,1.159520e-04,2.731200e-05,1.025600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.577084e+01,2.723360e-04,6.241600e-05,1.452000e-04,3.481600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.394832e+01,3.079200e-04,6.116800e-05,1.742720e-04,4.129600e-05,1.025600e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.360821e+01,3.156160e-04,6.600000e-05,1.742400e-04,4.393600e-05,1.024000e-05,
