phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.759978e+01,1.556160e-04,2.112000e-05,8.656000e-05,2.051200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.228050e+01,1.927680e-04,2.176000e-05,1.148000e-04,2.700800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.851790e+01,2.319360e-04,2.329600e-05,1.442400e-04,3.446400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.583223e+01,2.712800e-04,2.548800e-05,1.731520e-04,4.208000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.538577e+01,2.791520e-04,2.828800e-05,1.746080e-04,4.510400e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.345204e+01,3.192800e-04,3.312000e-05,2.023680e-04,5.160000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.308420e+01,3.282560e-04,3.800000e-05,2.018560e-04,5.526400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.168177e+01,3.676640e-04,4.156800e-05,2.305440e-04,6.139200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.142230e+01,3.760160e-04,4.358400e-05,2.322240e-04,6.510400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.032961e+01,4.157920e-04,4.576000e-05,2.614720e-04,7.260800e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.141487e+01,2.005600e-04,6.641600e-05,8.604800e-05,1.990400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.785760e+01,2.405120e-04,6.830400e-05,1.160800e-04,2.729600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.530943e+01,2.805440e-04,7.150400e-05,1.448320e-04,3.475200e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.345204e+01,3.192800e-04,7.307200e-05,1.739040e-04,4.126400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.326000e+01,3.239040e-04,7.422400e-05,1.740800e-04,4.393600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.182066e+01,3.633440e-04,7.696000e-05,2.019840e-04,5.152000e-05,1.006400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.165084e+01,3.686400e-04,7.848000e-05,2.020160e-04,5.452800e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.035591e+01,4.147360e-04,8.710400e-05,2.312800e-04,6.228800e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.029711e+01,4.171040e-04,8.456000e-05,2.319680e-04,6.592000e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-12,9.282321e+00,4.627040e-04,9.137600e-05,2.616160e-04,7.286400e-05,1.011200e-05,
-1.000000,1024,1024,OS2-f8-fast-3,2.234169e+01,1.922400e-04,3.187200e-05,1.044960e-04,2.704000e-05,1.027200e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.772085e+01,2.423680e-04,3.566400e-05,1.416960e-04,3.622400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.476056e+01,2.909760e-04,3.784000e-05,1.776320e-04,4.545600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.262572e+01,3.401760e-04,4.107200e-05,2.134400e-04,5.444800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,1.095387e+01,3.920960e-04,4.494400e-05,2.516000e-04,6.395200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,9.680327e+00,4.436800e-04,4.982400e-05,2.878400e-04,7.315200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.680209e+00,4.948000e-04,5.348800e-05,3.250560e-04,8.254400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,8.324870e+00,5.159200e-04,5.707200e-05,3.361440e-04,8.784000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.561136e+00,5.680320e-04,6.169600e-05,3.727200e-04,9.752000e-05,1.027200e-05,
-1.000000,1024,1024,OS2-f8-fast-12,7.253836e+00,5.920960e-04,6.620800e-05,3.857280e-04,1.020800e-04,1.052800e-05,
-1.000000,1024,1024,OS2-f8-accu-3,2.010150e+01,2.136640e-04,5.347200e-05,1.047520e-04,2.704000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.627572e+01,2.638880e-04,5.651200e-05,1.413120e-04,3.625600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.380202e+01,3.111840e-04,5.838400e-05,1.765280e-04,4.548800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.196770e+01,3.588800e-04,5.993600e-05,2.124800e-04,5.472000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,1.039601e+01,4.131360e-04,6.592000e-05,2.510080e-04,6.403200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,9.261185e+00,4.637600e-04,6.876800e-05,2.879200e-04,7.347200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-accu-9,8.307609e+00,5.169920e-04,7.542400e-05,3.242880e-04,8.262400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,8.003920e+00,5.366080e-04,7.723200e-05,3.364800e-04,8.758400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,7.268764e+00,5.908800e-04,8.296000e-05,3.732000e-04,9.768000e-05,1.033600e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.997796e+00,6.137600e-04,8.712000e-05,3.854560e-04,1.022240e-04,1.228800e-05,
-1.000000,1024,1024,BF16x9,3.691357e+01,1.163520e-04,,,,,
-1.000000,1024,1024,CHERK,3.684264e+01,1.165760e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.352320e+02,2.540800e-04,6.652800e-05,1.160960e-04,3.174400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-4,1.115634e+02,3.079840e-04,7.080000e-05,1.539520e-04,4.201600e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-5,9.454449e+01,3.634240e-04,7.600000e-05,1.926720e-04,5.260800e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-6,8.228222e+01,4.175840e-04,8.064000e-05,2.310720e-04,6.288000e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-7,7.701767e+01,4.461280e-04,8.465600e-05,2.479200e-04,6.932800e-05,2.272000e-05,
-1.000000,2048,2048,OS2-i8-fast-8,6.786599e+01,5.062880e-04,9.422400e-05,2.853440e-04,7.998400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-9,6.400083e+01,5.368640e-04,1.008640e-04,3.022880e-04,8.638400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-10,5.801501e+01,5.922560e-04,1.069280e-04,3.405440e-04,9.633600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-11,5.492988e+01,6.255200e-04,1.133280e-04,3.576960e-04,1.034400e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-12,5.037258e+01,6.821120e-04,1.200800e-04,3.956640e-04,1.138240e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-3,1.123455e+02,3.058400e-04,1.189760e-04,1.160000e-04,3.145600e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-accu-4,9.561370e+01,3.593600e-04,1.223520e-04,1.539840e-04,4.232000e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-accu-5,8.345576e+01,4.117120e-04,1.256800e-04,1.920000e-04,5.184000e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-accu-6,7.339817e+01,4.681280e-04,1.316800e-04,2.303680e-04,6.294400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-accu-7,6.894894e+01,4.983360e-04,1.383520e-04,2.470720e-04,6.873600e-05,2.259200e-05,
-1.000000,2048,2048,OS2-i8-accu-8,6.183190e+01,5.556960e-04,1.449280e-04,2.845760e-04,7.929600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-9,5.846675e+01,5.876800e-04,1.524800e-04,3.015360e-04,8.539200e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-10,5.328215e+01,6.448640e-04,1.610400e-04,3.399680e-04,9.553600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-11,5.066732e+01,6.781440e-04,1.680000e-04,3.567360e-04,1.024160e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-12,4.691287e+01,7.324160e-04,1.728000e-04,3.943520e-04,1.126720e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-3,7.702872e+01,4.460640e-04,7.814400e-05,2.716960e-04,5.561600e-05,2.252800e-05,
-1.000000,2048,2048,OS2-f8-fast-4,6.078185e+01,5.652960e-04,8.652800e-05,3.629120e-04,7.484800e-05,2.252800e-05,
-1.000000,2048,2048,OS2-f8-fast-5,5.012098e+01,6.855360e-04,9.478400e-05,4.538560e-04,9.459200e-05,2.252800e-05,
-1.000000,2048,2048,OS2-f8-fast-6,4.258937e+01,8.067680e-04,1.049280e-04,5.443200e-04,1.137280e-04,2.256000e-05,
-1.000000,2048,2048,OS2-f8-fast-7,3.679403e+01,9.338400e-04,1.187360e-04,6.363520e-04,1.317920e-04,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-8,3.218988e+01,1.067408e-03,1.400320e-04,7.288480e-04,1.508480e-04,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-9,2.879320e+01,1.193328e-03,1.518400e-04,8.209600e-04,1.704960e-04,2.481600e-05,
