phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.340702e+01,3.203520e-04,2.449600e-05,2.047040e-04,5.758400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.191828e+01,3.603680e-04,2.600000e-05,2.335200e-04,6.552000e-05,1.036800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.168889e+01,3.674400e-04,2.768000e-05,2.342240e-04,6.824000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.046491e+01,4.104160e-04,3.588800e-05,2.618240e-04,7.422400e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.026286e+01,4.184960e-04,3.600000e-05,2.659040e-04,7.713600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.009535e+01,4.254400e-04,3.787200e-05,2.673600e-04,7.964800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,9.257353e+00,4.639520e-04,3.856000e-05,2.955200e-04,8.792000e-05,1.254400e-05,
-1.000000,1024,1024,OS2-i8-fast-16,9.037014e+00,4.752640e-04,4.625600e-05,2.965440e-04,8.878400e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-17,8.843787e+00,4.856480e-04,4.833600e-05,2.984800e-04,9.414400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-18,8.176031e+00,5.253120e-04,5.022400e-05,3.270080e-04,1.019520e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,8.081511e+00,5.314560e-04,5.278400e-05,3.288800e-04,1.032960e-04,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,8.054352e+00,5.332480e-04,4.792000e-05,3.297280e-04,1.076000e-04,1.446400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.168126e+01,3.676800e-04,7.520000e-05,2.028960e-04,5.619200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.053266e+01,4.077760e-04,7.697600e-05,2.316320e-04,6.424000e-05,1.030400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.034673e+01,4.151040e-04,7.844800e-05,2.325600e-04,6.718400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,9.387824e+00,4.575040e-04,8.320000e-05,2.627360e-04,7.344000e-05,1.203200e-05,
-1.000000,1024,1024,OS2-i8-accu-13,9.197720e+00,4.669600e-04,8.438400e-05,2.648160e-04,7.812800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-14,9.118362e+00,4.710240e-04,8.289600e-05,2.665760e-04,8.088000e-05,1.224000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,8.405945e+00,5.109440e-04,8.518400e-05,2.958240e-04,8.785600e-05,1.259200e-05,
-1.000000,1024,1024,OS2-i8-accu-16,8.110322e+00,5.295680e-04,9.752000e-05,2.966560e-04,9.147200e-05,1.419200e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.966862e+00,5.391040e-04,9.961600e-05,2.990080e-04,9.590400e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-18,7.498197e+00,5.728000e-04,9.819200e-05,3.270240e-04,1.014720e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-19,7.424779e+00,5.784640e-04,9.907200e-05,3.290720e-04,1.033600e-04,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-20,7.321100e+00,5.866560e-04,1.020000e-04,3.287520e-04,1.067840e-04,1.449600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.890652e+00,4.830880e-04,4.118400e-05,3.250880e-04,8.289600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,8.464791e+00,5.073920e-04,4.403200e-05,3.390080e-04,8.817600e-05,1.128000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.328095e+00,5.860960e-04,7.368000e-05,3.764160e-04,9.817600e-05,1.216000e-05,
-1.000000,1024,1024,OS2-f8-fast-12,7.036685e+00,6.103680e-04,8.104000e-05,3.877920e-04,1.020480e-04,1.216000e-05,
-1.000000,1024,1024,OS2-f8-fast-13,6.252281e+00,6.869440e-04,1.113600e-04,4.235200e-04,1.120320e-04,1.224000e-05,
-1.000000,1024,1024,OS2-f8-fast-14,5.993602e+00,7.165920e-04,1.196480e-04,4.372960e-04,1.175040e-04,1.257600e-05,
-1.000000,1024,1024,OS2-f8-fast-15,5.547448e+00,7.742240e-04,1.283360e-04,4.731520e-04,1.282720e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-16,5.376990e+00,7.987680e-04,1.363840e-04,4.837600e-04,1.331200e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-17,5.030744e+00,8.537440e-04,1.455680e-04,5.206400e-04,1.420640e-04,1.417600e-05,
-1.000000,1024,1024,OS2-f8-fast-18,4.802323e+00,8.943520e-04,1.648320e-04,5.337440e-04,1.488640e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,4.396617e+00,9.768800e-04,2.094400e-04,5.629920e-04,1.549600e-04,1.628800e-05,
-1.000000,1024,1024,OS2-f8-fast-20,4.057613e+00,1.058496e-03,2.427200e-04,5.999680e-04,1.643840e-04,1.628800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,8.346874e+00,5.145600e-04,7.164800e-05,3.250240e-04,8.334400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.977754e+00,5.383680e-04,7.547200e-05,3.382880e-04,8.812800e-05,1.196800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,7.241117e+00,5.931360e-04,8.059200e-05,3.759040e-04,9.739200e-05,1.219200e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.971444e+00,6.160800e-04,8.622400e-05,3.867200e-04,1.031040e-04,1.225600e-05,
-1.000000,1024,1024,OS2-f8-accu-13,6.275962e+00,6.843520e-04,1.069120e-04,4.247680e-04,1.121120e-04,1.225600e-05,
-1.000000,1024,1024,OS2-f8-accu-14,6.050477e+00,7.098560e-04,1.127200e-04,4.365600e-04,1.183520e-04,1.251200e-05,
-1.000000,1024,1024,OS2-f8-accu-15,5.619214e+00,7.643360e-04,1.192480e-04,4.728480e-04,1.284480e-04,1.424000e-05,
-1.000000,1024,1024,OS2-f8-accu-16,5.457336e+00,7.870080e-04,1.252160e-04,4.834880e-04,1.331360e-04,1.425600e-05,
-1.000000,1024,1024,OS2-f8-accu-17,5.092686e+00,8.433600e-04,1.324000e-04,5.223680e-04,1.422720e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.955884e+00,8.666400e-04,1.384480e-04,5.324960e-04,1.482400e-04,1.435200e-05,
-1.000000,1024,1024,OS2-f8-accu-19,4.671123e+00,9.194720e-04,1.495200e-04,5.642400e-04,1.563200e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-accu-20,4.418109e+00,9.721280e-04,1.550240e-04,6.002400e-04,1.653600e-04,1.632000e-05,
-1.000000,1024,1024,OS1-6,2.453482e+01,1.750560e-04,,,,,
-1.000000,1024,1024,OS1-7,2.452585e+01,1.751200e-04,,,,,
-1.000000,1024,1024,OS1-8,2.453258e+01,1.750720e-04,,,,,
-1.000000,1024,1024,OS1-9,2.447442e+01,1.754880e-04,,,,,
-1.000000,1024,1024,ZHERK,2.456176e+01,1.748640e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,6.710677e+01,5.120160e-04,7.008000e-05,3.029280e-04,8.848000e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-10,6.066681e+01,5.663680e-04,7.449600e-05,3.412160e-04,9.939200e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-11,5.755786e+01,5.969600e-04,7.828800e-05,3.577920e-04,1.070880e-04,2.867200e-05,
