phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.346756e+01,3.189120e-04,2.508800e-05,2.042080e-04,5.638400e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.206343e+01,3.560320e-04,2.566400e-05,2.323040e-04,6.304000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.174875e+01,3.655680e-04,2.755200e-05,2.348960e-04,6.664000e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.048658e+01,4.095680e-04,3.568000e-05,2.629760e-04,7.232000e-05,1.211200e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.035830e+01,4.146400e-04,3.585600e-05,2.648320e-04,7.491200e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.014687e+01,4.232800e-04,3.785600e-05,2.664320e-04,7.972800e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-fast-15,9.315177e+00,4.610720e-04,3.808000e-05,2.952320e-04,8.659200e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-fast-16,9.038535e+00,4.751840e-04,4.603200e-05,2.965440e-04,8.953600e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-17,8.885355e+00,4.833760e-04,4.809600e-05,2.978560e-04,9.331200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,8.214310e+00,5.228640e-04,5.001600e-05,3.266400e-04,1.000960e-04,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,8.094914e+00,5.305760e-04,5.228800e-05,3.285120e-04,1.030720e-04,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,8.104936e+00,5.299200e-04,4.692800e-05,3.291040e-04,1.067360e-04,1.420800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.169348e+01,3.672960e-04,7.739200e-05,2.027040e-04,5.414400e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.055586e+01,4.068800e-04,7.812800e-05,2.321600e-04,6.155200e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.034792e+01,4.150560e-04,7.953600e-05,2.326720e-04,6.550400e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,9.443972e+00,4.547840e-04,8.196800e-05,2.619360e-04,7.249600e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,9.261505e+00,4.637440e-04,8.316800e-05,2.643520e-04,7.680000e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-accu-14,9.168817e+00,4.684320e-04,8.358400e-05,2.657120e-04,7.931200e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-accu-15,8.454926e+00,5.079840e-04,8.571200e-05,2.956640e-04,8.612800e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,8.188252e+00,5.245280e-04,9.507200e-05,2.962240e-04,9.038400e-05,1.409600e-05,
-1.000000,1024,1024,OS2-i8-accu-17,8.020660e+00,5.354880e-04,9.769600e-05,2.982400e-04,9.515200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-18,7.478352e+00,5.743200e-04,1.003200e-04,3.274240e-04,1.004640e-04,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-19,7.416573e+00,5.791040e-04,1.010400e-04,3.293440e-04,1.024640e-04,1.420800e-05,
-1.000000,1024,1024,OS2-i8-accu-20,7.327695e+00,5.861280e-04,1.032640e-04,3.292320e-04,1.059840e-04,1.420800e-05,
