phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.738020e+01,1.568640e-04,2.176000e-05,8.707200e-05,2.048000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.165326e+01,1.983520e-04,2.590400e-05,1.157120e-04,2.803200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.799768e+01,2.386400e-04,2.676800e-05,1.462560e-04,3.548800e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.539547e+01,2.789760e-04,3.016000e-05,1.755840e-04,4.192000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.492220e+01,2.878240e-04,3.272000e-05,1.777760e-04,4.555200e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.297667e+01,3.309760e-04,3.856000e-05,2.078720e-04,5.160000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.261623e+01,3.404320e-04,4.080000e-05,2.116800e-04,5.470400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.129019e+01,3.804160e-04,4.300800e-05,2.421920e-04,6.065600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.106448e+01,3.881760e-04,4.505600e-05,2.428320e-04,6.484800e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.728390e+00,4.414880e-04,5.889600e-05,2.722400e-04,7.299200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.110673e+01,2.034880e-04,6.854400e-05,8.644800e-05,2.003200e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.765210e+01,2.433120e-04,7.022400e-05,1.157440e-04,2.744000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.491888e+01,2.878880e-04,7.681600e-05,1.451840e-04,3.497600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.316441e+01,3.262560e-04,7.916800e-05,1.740960e-04,4.144000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.265429e+01,3.394080e-04,8.592000e-05,1.768960e-04,4.385600e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.118574e+01,3.839680e-04,9.260800e-05,2.071200e-04,5.083200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.089695e+01,3.941440e-04,9.472000e-05,2.108480e-04,5.404800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.867137e+00,4.352800e-04,9.673600e-05,2.412800e-04,6.120000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.678581e+00,4.437600e-04,1.004640e-04,2.422080e-04,6.486400e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.870087e+00,4.842080e-04,1.025920e-04,2.722080e-04,7.166400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-f8-fast-3,2.198849e+01,1.953280e-04,3.176000e-05,1.088320e-04,2.680000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.725940e+01,2.488480e-04,3.604800e-05,1.467840e-04,3.632000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.433567e+01,2.996000e-04,3.804800e-05,1.849600e-04,4.560000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.207591e+01,3.556640e-04,4.697600e-05,2.222880e-04,5.465600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,1.031571e+01,4.163520e-04,6.030400e-05,2.602080e-04,6.339200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-8,9.147259e+00,4.695360e-04,6.276800e-05,3.002720e-04,7.332800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.166083e+00,5.259520e-04,7.092800e-05,3.374080e-04,8.276800e-05,1.022400e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.701491e+00,5.576800e-04,7.859200e-05,3.547680e-04,8.870400e-05,1.022400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.465364e+00,6.643040e-04,1.376320e-04,3.924000e-04,9.755200e-05,1.027200e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.177747e+00,6.952320e-04,1.492160e-04,4.036640e-04,1.030080e-04,1.123200e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.940965e+01,2.212800e-04,5.737600e-05,1.085440e-04,2.700800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.575880e+01,2.725440e-04,6.126400e-05,1.463040e-04,3.628800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.314185e+01,3.268160e-04,6.588800e-05,1.846720e-04,4.624000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.118341e+01,3.840480e-04,7.452800e-05,2.232320e-04,5.500800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.729095e+00,4.414560e-04,8.326400e-05,2.609440e-04,6.430400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-accu-8,8.515273e+00,5.043840e-04,9.652800e-05,3.004320e-04,7.379200e-05,1.022400e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.642290e+00,5.620000e-04,1.067040e-04,3.376320e-04,8.264000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.240531e+00,5.931840e-04,1.164960e-04,3.534400e-04,8.827200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.573822e+00,6.533440e-04,1.261600e-04,3.931840e-04,9.774400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.278017e+00,6.841280e-04,1.357600e-04,4.065760e-04,1.034880e-04,1.052800e-05,
-1.000000,1024,1024,BF16x9,2.731611e+01,1.572320e-04,,,,,
-1.000000,1024,1024,CHERKX,2.736066e+01,1.569760e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.308883e+02,2.625120e-04,7.401600e-05,1.163200e-04,3.172800e-05,2.265600e-05,
-1.000000,2048,2048,OS2-i8-fast-4,1.069198e+02,3.213600e-04,7.875200e-05,1.583200e-04,4.190400e-05,2.262400e-05,
-1.000000,2048,2048,OS2-i8-fast-5,9.261984e+01,3.709760e-04,7.601600e-05,1.988800e-04,5.257600e-05,2.281600e-05,
-1.000000,2048,2048,OS2-i8-fast-6,8.035486e+01,4.276000e-04,8.168000e-05,2.387200e-04,6.264000e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-7,7.439234e+01,4.618720e-04,8.832000e-05,2.566720e-04,7.024000e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-8,6.418829e+01,5.352960e-04,1.115520e-04,2.959040e-04,8.049600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-9,6.042952e+01,5.685920e-04,1.198880e-04,3.112960e-04,8.844800e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-10,5.487934e+01,6.260960e-04,1.287520e-04,3.496320e-04,9.857600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-11,5.187159e+01,6.624000e-04,1.362080e-04,3.679360e-04,1.077760e-04,2.460800e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.522446e+01,7.597600e-04,1.816960e-04,4.069600e-04,1.166720e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-3,1.047349e+02,3.280640e-04,1.392160e-04,1.175360e-04,3.131200e-05,2.256000e-05,
-1.000000,2048,2048,OS2-i8-accu-4,8.866205e+01,3.875360e-04,1.479680e-04,1.560960e-04,4.160000e-05,2.262400e-05,
-1.000000,2048,2048,OS2-i8-accu-5,7.691560e+01,4.467200e-04,1.564640e-04,1.959360e-04,5.212800e-05,2.272000e-05,
-1.000000,2048,2048,OS2-i8-accu-6,6.809194e+01,5.046080e-04,1.634560e-04,2.339040e-04,6.235200e-05,2.281600e-05,
-1.000000,2048,2048,OS2-i8-accu-7,6.363857e+01,5.399200e-04,1.706240e-04,2.529600e-04,6.905600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-8,5.585278e+01,6.151840e-04,1.941280e-04,2.923200e-04,8.062400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-9,5.291715e+01,6.493120e-04,2.022720e-04,3.102400e-04,8.822400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-10,4.845187e+01,7.091520e-04,2.114720e-04,3.493280e-04,9.795200e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.609323e+01,7.454400e-04,2.206560e-04,3.674240e-04,1.061600e-04,2.460800e-05,
-1.000000,2048,2048,OS2-i8-accu-12,4.256573e+01,8.072160e-04,2.296320e-04,4.065120e-04,1.164640e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-3,7.430996e+01,4.623840e-04,8.288000e-05,2.816320e-04,5.740800e-05,2.265600e-05,
-1.000000,2048,2048,OS2-f8-fast-4,5.813909e+01,5.909920e-04,9.995200e-05,3.738880e-04,7.408000e-05,2.284800e-05,
-1.000000,2048,2048,OS2-f8-fast-5,4.798524e+01,7.160480e-04,1.072480e-04,4.688320e-04,9.635200e-05,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-6,3.986715e+01,8.618560e-04,1.420480e-04,5.596640e-04,1.154560e-04,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-7,3.329226e+01,1.032064e-03,1.915520e-04,6.584480e-04,1.353600e-04,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-8,2.976209e+01,1.154480e-03,2.007360e-04,7.520320e-04,1.543200e-04,2.457600e-05,
