phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.478400e+01,1.732960e-04,3.891200e-05,8.611200e-05,1.987200e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.925511e+01,2.230560e-04,4.884800e-05,1.165120e-04,2.872000e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.620204e+01,2.650880e-04,5.598400e-05,1.444640e-04,3.438400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.388052e+01,3.094240e-04,6.332800e-05,1.737440e-04,4.073600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.336164e+01,3.214400e-04,6.723200e-05,1.787520e-04,4.352000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.169551e+01,3.672320e-04,7.316800e-05,2.092960e-04,5.131200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.140434e+01,3.766080e-04,7.628800e-05,2.112640e-04,5.520000e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.026640e+01,4.183520e-04,7.974400e-05,2.418880e-04,6.171200e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.006960e+01,4.265280e-04,8.339200e-05,2.424000e-04,6.470400e-05,1.016000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.134186e+00,4.702080e-04,8.651200e-05,2.730720e-04,7.296000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.940123e+01,2.213760e-04,8.595200e-05,8.657600e-05,2.035200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.659160e+01,2.588640e-04,8.568000e-05,1.159200e-04,2.803200e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.414158e+01,3.037120e-04,9.454400e-05,1.439040e-04,3.476800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.234470e+01,3.479200e-04,1.001760e-04,1.743840e-04,4.163200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.209169e+01,3.552000e-04,1.009600e-04,1.774400e-04,4.428800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.061513e+01,4.046080e-04,1.099520e-04,2.092640e-04,5.152000e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.045839e+01,4.106720e-04,1.099680e-04,2.110400e-04,5.484800e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.476646e+00,4.532160e-04,1.144320e-04,2.418560e-04,6.185600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.235694e+00,4.650400e-04,1.208640e-04,2.429920e-04,6.481600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.489151e+00,5.059360e-04,1.220960e-04,2.736800e-04,7.254400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.888529e+01,2.274240e-04,6.324800e-05,1.092640e-04,2.665600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.534969e+01,2.798080e-04,6.718400e-05,1.479680e-04,3.571200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.293166e+01,3.321280e-04,7.129600e-05,1.857120e-04,4.478400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.112778e+01,3.859680e-04,7.702400e-05,2.232000e-04,5.470400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.701668e+00,4.427040e-04,8.468800e-05,2.620480e-04,6.363200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.578405e+00,5.006720e-04,9.441600e-05,2.997280e-04,7.321600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.720318e+00,5.563200e-04,1.018240e-04,3.370880e-04,8.268800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.308145e+00,5.876960e-04,1.095200e-04,3.537600e-04,8.896000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.657460e+00,6.451360e-04,1.176640e-04,3.923520e-04,9.830400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.371447e+00,6.740960e-04,1.267520e-04,4.053760e-04,1.036320e-04,1.046400e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.810694e+01,2.372000e-04,7.169600e-05,1.096320e-04,2.707200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.478250e+01,2.905440e-04,7.624000e-05,1.483360e-04,3.649600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.248944e+01,3.438880e-04,8.262400e-05,1.858400e-04,4.544000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.079745e+01,3.977760e-04,8.768000e-05,2.235520e-04,5.475200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.401963e+00,4.568160e-04,9.780800e-05,2.627520e-04,6.414400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,8.353627e+00,5.141440e-04,1.076160e-04,2.996320e-04,7.331200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.544136e+00,5.693120e-04,1.148480e-04,3.375520e-04,8.260800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.149699e+00,6.007200e-04,1.230240e-04,3.535200e-04,8.900800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.543057e+00,6.564160e-04,1.302720e-04,3.920320e-04,9.808000e-05,1.027200e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.253738e+00,6.867840e-04,1.391200e-04,4.056640e-04,1.040960e-04,1.124800e-05,
-1.000000,1024,1024,BF16x9,4.108287e+01,1.045440e-04,,,,,
-1.000000,1024,1024,CHERKX,4.120900e+01,1.042240e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.073152e+02,3.201760e-04,1.285280e-04,1.192320e-04,3.174400e-05,2.259200e-05,
-1.000000,2048,2048,OS2-i8-fast-4,9.061877e+01,3.791680e-04,1.371840e-04,1.582080e-04,4.198400e-05,2.259200e-05,
-1.000000,2048,2048,OS2-i8-fast-5,7.801939e+01,4.404000e-04,1.461920e-04,1.987520e-04,5.217600e-05,2.272000e-05,
-1.000000,2048,2048,OS2-i8-fast-6,6.856151e+01,5.011520e-04,1.556480e-04,2.381120e-04,6.254400e-05,2.281600e-05,
-1.000000,2048,2048,OS2-i8-fast-7,6.400655e+01,5.368160e-04,1.640000e-04,2.566880e-04,6.956800e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-8,5.666184e+01,6.064000e-04,1.818720e-04,2.963040e-04,8.009600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-9,5.309902e+01,6.470880e-04,1.955200e-04,3.150400e-04,8.766400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-10,4.871676e+01,7.052960e-04,2.072480e-04,3.497440e-04,9.790400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.603493e+01,7.463840e-04,2.200480e-04,3.690720e-04,1.064480e-04,2.476800e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.236921e+01,8.109600e-04,2.335040e-04,4.073120e-04,1.166240e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-3,9.224586e+01,3.724800e-04,1.826560e-04,1.174720e-04,3.152000e-05,2.259200e-05,
