phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.701101e+01,1.590080e-04,2.214400e-05,8.704000e-05,2.131200e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.143882e+01,2.003360e-04,2.761600e-05,1.156800e-04,2.752000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.795075e+01,2.392640e-04,2.800000e-05,1.462080e-04,3.470400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.541492e+01,2.786240e-04,3.003200e-05,1.757600e-04,4.166400e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.492469e+01,2.877760e-04,3.283200e-05,1.781120e-04,4.481600e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.283643e+01,3.345920e-04,3.900800e-05,2.092000e-04,5.254400e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.257015e+01,3.416800e-04,4.064000e-05,2.115040e-04,5.542400e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.126318e+01,3.813280e-04,4.304000e-05,2.412160e-04,6.184000e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.103220e+01,3.893120e-04,4.494400e-05,2.431040e-04,6.563200e-05,1.006400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.731564e+00,4.413440e-04,5.856000e-05,2.720960e-04,7.337600e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.107029e+01,2.038400e-04,6.963200e-05,8.656000e-05,2.000000e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.709453e+01,2.512480e-04,7.780800e-05,1.164480e-04,2.742400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.482004e+01,2.898080e-04,7.985600e-05,1.452960e-04,3.414400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.298797e+01,3.306880e-04,8.305600e-05,1.750720e-04,4.118400e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.264654e+01,3.396160e-04,8.563200e-05,1.771040e-04,4.419200e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.116481e+01,3.846880e-04,9.227200e-05,2.072800e-04,5.153600e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.090270e+01,3.939360e-04,9.380800e-05,2.106400e-04,5.532800e-05,1.009600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.842535e+00,4.363680e-04,9.644800e-05,2.419680e-04,6.259200e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.662903e+00,4.444800e-04,9.982400e-05,2.418720e-04,6.609600e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.845827e+00,4.855360e-04,1.033600e-04,2.722720e-04,7.296000e-05,1.019200e-05,
-1.000000,1024,1024,OS2-f8-fast-3,2.195611e+01,1.956160e-04,3.179200e-05,1.095200e-04,2.704000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.730502e+01,2.481920e-04,3.600000e-05,1.468960e-04,3.640000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.440259e+01,2.982080e-04,3.788800e-05,1.843840e-04,4.564800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.210041e+01,3.549440e-04,4.636800e-05,2.228160e-04,5.483200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,1.027780e+01,4.178880e-04,6.036800e-05,2.615360e-04,6.358400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-fast-8,9.163496e+00,4.687040e-04,6.259200e-05,2.999200e-04,7.361600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.162110e+00,5.262080e-04,7.040000e-05,3.382880e-04,8.308800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.748173e+00,5.543200e-04,7.788800e-05,3.530560e-04,8.883200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.478940e+00,6.629120e-04,1.377600e-04,3.916000e-04,9.672000e-05,1.196800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.191997e+00,6.936320e-04,1.497760e-04,4.035680e-04,1.023680e-04,1.220800e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.927170e+01,2.228640e-04,5.755200e-05,1.097760e-04,2.694400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.557502e+01,2.757600e-04,6.267200e-05,1.475680e-04,3.644800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.309186e+01,3.280640e-04,6.638400e-05,1.857760e-04,4.572800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.116341e+01,3.847360e-04,7.592000e-05,2.225440e-04,5.494400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.684517e+00,4.434880e-04,8.548800e-05,2.620480e-04,6.428800e-05,1.014400e-05,
-1.000000,1024,1024,OS2-f8-accu-8,8.548628e+00,5.024160e-04,9.612800e-05,2.991360e-04,7.356800e-05,1.020800e-05,
