phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.474288e+01,1.735840e-04,3.931200e-05,8.608000e-05,1.984000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.941246e+01,2.212480e-04,4.684800e-05,1.163840e-04,2.841600e-05,1.016000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.611064e+01,2.665920e-04,5.598400e-05,1.445280e-04,3.580800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.374759e+01,3.124160e-04,6.449600e-05,1.735200e-04,4.268800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.328757e+01,3.232320e-04,6.814400e-05,1.784320e-04,4.460800e-05,1.009600e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.167669e+01,3.678240e-04,7.316800e-05,2.099840e-04,5.188800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.136716e+01,3.778400e-04,7.616000e-05,2.120640e-04,5.576000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.024719e+01,4.191360e-04,7.996800e-05,2.415200e-04,6.286400e-05,1.012800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.002710e+01,4.283360e-04,8.294400e-05,2.430080e-04,6.681600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.144454e+00,4.696800e-04,8.624000e-05,2.727840e-04,7.371200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.917122e+01,2.240320e-04,8.782400e-05,8.688000e-05,2.006400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.606244e+01,2.673920e-04,9.232000e-05,1.159360e-04,2.878400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.380486e+01,3.111200e-04,9.984000e-05,1.445440e-04,3.576000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.226629e+01,3.501440e-04,1.014400e-04,1.732800e-04,4.318400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.195650e+01,3.592160e-04,1.042080e-04,1.768640e-04,4.473600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.063363e+01,4.039040e-04,1.088000e-04,2.079200e-04,5.264000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.037031e+01,4.141600e-04,1.118720e-04,2.113760e-04,5.580800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.418127e+00,4.560320e-04,1.155200e-04,2.419040e-04,6.244800e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.280396e+00,4.628000e-04,1.170880e-04,2.428640e-04,6.660800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.453861e+00,5.080480e-04,1.230880e-04,2.730400e-04,7.424000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.894125e+01,2.267520e-04,6.337600e-05,1.088480e-04,2.659200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.538048e+01,2.792480e-04,6.744000e-05,1.476000e-04,3.556800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.294164e+01,3.318720e-04,7.120000e-05,1.858240e-04,4.483200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.115414e+01,3.850560e-04,7.659200e-05,2.232320e-04,5.443200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.722400e+00,4.417600e-04,8.483200e-05,2.614080e-04,6.374400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.600668e+00,4.993760e-04,9.411200e-05,2.989920e-04,7.342400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.724317e+00,5.560320e-04,1.018400e-04,3.377920e-04,8.262400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.320501e+00,5.867040e-04,1.097120e-04,3.534400e-04,8.848000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.683650e+00,6.426080e-04,1.177440e-04,3.897280e-04,9.825600e-05,1.036800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.375988e+00,6.736160e-04,1.268640e-04,4.049760e-04,1.036640e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.802790e+01,2.382400e-04,7.361600e-05,1.098720e-04,2.670400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.470154e+01,2.921440e-04,7.872000e-05,1.482560e-04,3.598400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.248711e+01,3.439520e-04,8.236800e-05,1.859040e-04,4.548800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.080397e+01,3.975360e-04,8.718400e-05,2.243840e-04,5.476800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.455615e+00,4.542240e-04,9.630400e-05,2.620320e-04,6.390400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,8.338577e+00,5.150720e-04,1.073120e-04,3.009440e-04,7.366400e-05,1.024000e-05,
