phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.117736e+01,3.842560e-04,8.540800e-05,2.104320e-04,5.464000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.007111e+01,4.264640e-04,8.811200e-05,2.408800e-04,6.160000e-05,1.046400e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.824883e+00,4.371520e-04,9.160000e-05,2.429440e-04,6.513600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.004275e+00,4.769920e-04,9.459200e-05,2.722560e-04,7.192000e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,8.805204e+00,4.877760e-04,9.905600e-05,2.736960e-04,7.588800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.603425e+00,4.992160e-04,1.026240e-04,2.756480e-04,8.012800e-05,1.227200e-05,
-1.000000,1024,1024,OS2-i8-fast-15,7.933897e+00,5.413440e-04,1.070720e-04,3.036320e-04,8.760000e-05,1.248000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.620162e+00,5.636320e-04,1.235520e-04,3.055520e-04,9.033600e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.464835e+00,5.753600e-04,1.282560e-04,3.081920e-04,9.396800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,6.961681e+00,6.169440e-04,1.343680e-04,3.367040e-04,9.985600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.801000e+00,6.315200e-04,1.410400e-04,3.390080e-04,1.037600e-04,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.691314e+00,6.418720e-04,1.472640e-04,3.397600e-04,1.063680e-04,1.443200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.030858e+01,4.166400e-04,1.171040e-04,2.103680e-04,5.500800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.298720e+00,4.618880e-04,1.235680e-04,2.412000e-04,6.112000e-05,1.052800e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.128905e+00,4.704800e-04,1.254080e-04,2.429280e-04,6.456000e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.364560e+00,5.134720e-04,1.287360e-04,2.727680e-04,7.257600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.202012e+00,5.236480e-04,1.342880e-04,2.733440e-04,7.627200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.032901e+00,5.346720e-04,1.397440e-04,2.748320e-04,8.009600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.447851e+00,5.766720e-04,1.429920e-04,3.038400e-04,8.723200e-05,1.257600e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.170325e+00,5.989920e-04,1.592000e-04,3.059680e-04,8.982400e-05,1.408000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.034472e+00,6.105600e-04,1.640000e-04,3.077920e-04,9.390400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.552160e+00,6.555040e-04,1.707360e-04,3.367040e-04,1.011680e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.436066e+00,6.673280e-04,1.771200e-04,3.385920e-04,1.040640e-04,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-20,6.333415e+00,6.781440e-04,1.842240e-04,3.393600e-04,1.056160e-04,1.443200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.589354e+00,5.659200e-04,1.105440e-04,3.383040e-04,8.251200e-05,1.019200e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.213292e+00,5.954240e-04,1.189120e-04,3.527680e-04,8.817600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.555360e+00,6.551840e-04,1.272800e-04,3.913280e-04,9.857600e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.290670e+00,6.827520e-04,1.343040e-04,4.047840e-04,1.045120e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-13,5.611344e+00,7.654080e-04,1.690240e-04,4.433440e-04,1.127200e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-14,5.392219e+00,7.965120e-04,1.779200e-04,4.579520e-04,1.196000e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-15,5.020582e+00,8.554720e-04,1.878240e-04,4.960640e-04,1.288800e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-16,4.837198e+00,8.879040e-04,1.978400e-04,5.096320e-04,1.351680e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-17,4.540749e+00,9.458720e-04,2.075200e-04,5.476000e-04,1.439200e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-18,4.398346e+00,9.764960e-04,2.174240e-04,5.614240e-04,1.494560e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,4.196796e+00,1.023392e-03,2.289600e-04,5.899520e-04,1.562560e-04,1.443200e-05,
-1.000000,1024,1024,OS2-f8-fast-20,3.966655e+00,1.082768e-03,2.387360e-04,6.292480e-04,1.640480e-04,1.462400e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.356210e+00,5.838560e-04,1.279680e-04,3.382080e-04,8.291200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-accu-10,6.991963e+00,6.142720e-04,1.358080e-04,3.532800e-04,8.881600e-05,1.038400e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.392690e+00,6.718560e-04,1.445120e-04,3.911200e-04,9.777600e-05,1.219200e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.136930e+00,6.998560e-04,1.514400e-04,4.044640e-04,1.048960e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-13,5.479393e+00,7.838400e-04,1.866240e-04,4.426080e-04,1.133280e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-14,5.270985e+00,8.148320e-04,1.949120e-04,4.586560e-04,1.193440e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-15,4.915050e+00,8.738400e-04,2.050400e-04,4.958080e-04,1.287680e-04,1.249600e-05,
-1.000000,1024,1024,OS2-f8-accu-16,4.743514e+00,9.054400e-04,2.145280e-04,5.096480e-04,1.354720e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-17,4.461803e+00,9.626080e-04,2.245920e-04,5.474560e-04,1.432800e-04,1.432000e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.324164e+00,9.932480e-04,2.341920e-04,5.614080e-04,1.499200e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-19,4.135120e+00,1.038656e-03,2.448640e-04,5.893120e-04,1.555840e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-20,3.903778e+00,1.100208e-03,2.544480e-04,6.291040e-04,1.659040e-04,1.622400e-05,
-1.000000,1024,1024,OS1-6,1.970892e+01,2.179200e-04,,,,,
-1.000000,1024,1024,OS1-7,1.970892e+01,2.179200e-04,,,,,
-1.000000,1024,1024,OS1-8,1.971471e+01,2.178560e-04,,,,,
-1.000000,1024,1024,OS1-9,1.970892e+01,2.179200e-04,,,,,
-1.000000,1024,1024,ZHERKX,1.970892e+01,2.179200e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,5.069243e+01,6.778080e-04,2.280160e-04,3.114560e-04,8.702400e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-10,4.640699e+01,7.404000e-04,2.418400e-04,3.494240e-04,9.732800e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.373605e+01,7.856160e-04,2.555520e-04,3.692800e-04,1.061120e-04,2.867200e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.038369e+01,8.508320e-04,2.694240e-04,4.079040e-04,1.162560e-04,2.899200e-05,
-1.000000,2048,2048,OS2-i8-fast-13,3.849986e+01,8.924640e-04,2.836480e-04,4.256320e-04,1.245280e-04,3.072000e-05,
-1.000000,2048,2048,OS2-i8-fast-14,3.674304e+01,9.351360e-04,2.967840e-04,4.450560e-04,1.326080e-04,3.084800e-05,
-1.000000,2048,2048,OS2-i8-fast-15,3.432624e+01,1.000976e-03,3.107200e-04,4.844640e-04,1.428640e-04,3.276800e-05,
-1.000000,2048,2048,OS2-i8-fast-16,3.150420e+01,1.090640e-03,3.741440e-04,5.014880e-04,1.495040e-04,3.481600e-05,
-1.000000,2048,2048,OS2-i8-fast-17,3.027439e+01,1.134944e-03,3.896800e-04,5.199840e-04,1.584320e-04,3.500800e-05,
-1.000000,2048,2048,OS2-i8-fast-18,2.859803e+01,1.201472e-03,4.060000e-04,5.578240e-04,1.685920e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-fast-19,2.750399e+01,1.249264e-03,4.274880e-04,5.745920e-04,1.764480e-04,3.702400e-05,
-1.000000,2048,2048,OS2-i8-fast-20,2.640944e+01,1.301040e-03,4.524160e-04,5.925440e-04,1.835680e-04,3.891200e-05,
-1.000000,2048,2048,OS2-i8-accu-9,4.655791e+01,7.380000e-04,2.887680e-04,3.104000e-04,8.774400e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-10,4.307545e+01,7.976640e-04,3.008960e-04,3.471520e-04,9.808000e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.069979e+01,8.442240e-04,3.146560e-04,3.672160e-04,1.062880e-04,2.867200e-05,
-1.000000,2048,2048,OS2-i8-accu-12,3.779118e+01,9.092000e-04,3.291520e-04,4.059040e-04,1.163680e-04,2.900800e-05,
-1.000000,2048,2048,OS2-i8-accu-13,3.618643e+01,9.495200e-04,3.419840e-04,4.234880e-04,1.246400e-04,3.072000e-05,
-1.000000,2048,2048,OS2-i8-accu-14,3.467095e+01,9.910240e-04,3.541440e-04,4.435040e-04,1.328640e-04,3.097600e-05,
