phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.233846e+01,3.480960e-04,4.552000e-05,2.125280e-04,5.582400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.098480e+01,3.909920e-04,4.827200e-05,2.433760e-04,6.331200e-05,1.196800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.077189e+01,3.987200e-04,5.051200e-05,2.448640e-04,6.624000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.499114e+00,4.521440e-04,6.668800e-05,2.733120e-04,7.366400e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.301620e+00,4.617440e-04,6.910400e-05,2.757440e-04,7.747200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,9.151001e+00,4.693440e-04,7.158400e-05,2.752960e-04,8.240000e-05,1.224000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.397530e+00,5.114560e-04,7.374400e-05,3.065600e-04,8.934400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-16,8.077863e+00,5.316960e-04,8.920000e-05,3.066880e-04,9.184000e-05,1.404800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.928507e+00,5.417120e-04,9.328000e-05,3.081760e-04,9.520000e-05,1.428800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.365091e+00,5.831520e-04,9.646400e-05,3.380800e-04,1.023040e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,7.221248e+00,5.947680e-04,1.022400e-04,3.412160e-04,1.045440e-04,1.427200e-05,
-1.000000,1024,1024,OS2-i8-fast-20,7.314517e+00,5.871840e-04,8.974400e-05,3.408480e-04,1.089920e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.076023e+01,3.991520e-04,9.862400e-05,2.119040e-04,5.545600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.717121e+00,4.420000e-04,1.007680e-04,2.423040e-04,6.304000e-05,1.200000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.503822e+00,4.519200e-04,1.040160e-04,2.436000e-04,6.665600e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.759805e+00,4.903040e-04,1.048160e-04,2.735840e-04,7.366400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.582520e+00,5.004320e-04,1.082080e-04,2.750560e-04,7.736000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.431821e+00,5.093760e-04,1.113600e-04,2.753920e-04,8.188800e-05,1.224000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.788639e+00,5.514400e-04,1.153600e-04,3.060320e-04,8.870400e-05,1.224000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.454263e+00,5.761760e-04,1.347520e-04,3.066240e-04,9.200000e-05,1.401600e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.304764e+00,5.879680e-04,1.395680e-04,3.084800e-04,9.507200e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.822780e+00,6.295040e-04,1.436960e-04,3.375840e-04,1.017120e-04,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.719117e+00,6.392160e-04,1.475360e-04,3.399360e-04,1.048160e-04,1.430400e-05,
