phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.111534e+01,3.864000e-04,8.443200e-05,2.123840e-04,5.510400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.007225e+01,4.264160e-04,8.811200e-05,2.412960e-04,6.147200e-05,1.040000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.829200e+00,4.369600e-04,9.180800e-05,2.424800e-04,6.576000e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,8.954116e+00,4.796640e-04,9.492800e-05,2.731360e-04,7.256000e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,8.791075e+00,4.885600e-04,9.915200e-05,2.732640e-04,7.612800e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.626927e+00,4.978560e-04,1.029600e-04,2.748160e-04,7.977600e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,7.952700e+00,5.400640e-04,1.072000e-04,3.040960e-04,8.670400e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.625141e+00,5.632640e-04,1.244960e-04,3.056320e-04,8.929600e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.492337e+00,5.732480e-04,1.284800e-04,3.068160e-04,9.304000e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,6.966197e+00,6.165440e-04,1.343040e-04,3.362560e-04,9.979200e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.836507e+00,6.282400e-04,1.407680e-04,3.385280e-04,1.024960e-04,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.717436e+00,6.393760e-04,1.468000e-04,3.396960e-04,1.049440e-04,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.022728e+01,4.199520e-04,1.189120e-04,2.123680e-04,5.526400e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.319058e+00,4.608800e-04,1.223680e-04,2.412640e-04,6.150400e-05,1.041600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.086570e+00,4.726720e-04,1.271840e-04,2.421920e-04,6.526400e-05,1.212800e-05,
