phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-12,1.011666e+01,2.122720e-04,3.545600e-05,8.798400e-05,5.481600e-05,1.020800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,9.744989e+00,2.203680e-04,3.712000e-05,8.907200e-05,5.785600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,9.586980e+00,2.240000e-04,3.788800e-05,8.937600e-05,6.027200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,8.705262e+00,2.466880e-04,4.001600e-05,1.023520e-04,6.614400e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,8.459456e+00,2.538560e-04,4.640000e-05,1.010880e-04,6.811200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,9.125491e+00,2.353280e-04,5.774400e-05,8.766400e-05,5.566400e-05,1.030400e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,8.900380e+00,2.412800e-04,5.971200e-05,8.760000e-05,5.785600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,8.742117e+00,2.456480e-04,6.041600e-05,8.814400e-05,6.025600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,8.007262e+00,2.681920e-04,6.278400e-05,1.009920e-04,6.659200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,7.750187e+00,2.770880e-04,7.004800e-05,1.005760e-04,6.801600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,7.150270e+00,3.003360e-04,5.118400e-05,1.436160e-04,6.881600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-13,6.611059e+00,3.248320e-04,6.692800e-05,1.472800e-04,7.331200e-05,1.228800e-05,
