phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,4.997402e+01,1.718880e-04,3.547200e-05,8.742400e-05,2.150400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-4,4.006499e+01,2.144000e-04,3.942400e-05,1.171840e-04,2.844800e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.358592e+01,2.557600e-04,4.240000e-05,1.462240e-04,3.729600e-05,9.984000e-06,
-1.000000,1024,1024,OS2-i8-fast-6,2.868053e+01,2.995040e-04,4.625600e-05,1.756640e-04,4.584000e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.777110e+01,3.093120e-04,4.915200e-05,1.779040e-04,4.832000e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.405228e+01,3.571360e-04,5.620800e-05,2.109120e-04,5.536000e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.338797e+01,3.672800e-04,5.921600e-05,2.137920e-04,5.798400e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.099284e+01,4.091840e-04,6.243200e-05,2.448320e-04,6.465600e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,2.062905e+01,4.164000e-04,6.555200e-05,2.444800e-04,6.782400e-05,1.251200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.848220e+01,4.647680e-04,7.432000e-05,2.747840e-04,7.416000e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-3,3.874366e+01,2.217120e-04,8.476800e-05,8.672000e-05,2.163200e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.227551e+01,2.661440e-04,9.072000e-05,1.170240e-04,2.899200e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.791115e+01,3.077600e-04,9.505600e-05,1.458880e-04,3.675200e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.439214e+01,3.521600e-04,1.009600e-04,1.751680e-04,4.476800e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.365383e+01,3.631520e-04,1.032160e-04,1.788640e-04,4.678400e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.082509e+01,4.124800e-04,1.128800e-04,2.104640e-04,5.400000e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.044366e+01,4.201760e-04,1.150880e-04,2.131040e-04,5.584000e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.852493e+01,4.636960e-04,1.194880e-04,2.447040e-04,6.240000e-05,1.216000e-05,
