phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,5.010929e+01,1.714240e-04,3.518400e-05,8.732800e-05,2.067200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,4.000827e+01,2.147040e-04,4.040000e-05,1.169760e-04,2.873600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.336882e+01,2.574240e-04,4.331200e-05,1.455840e-04,3.849600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-6,2.858890e+01,3.004640e-04,4.662400e-05,1.761120e-04,4.644800e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.766663e+01,3.104800e-04,4.900800e-05,1.777600e-04,4.947200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.398887e+01,3.580800e-04,5.659200e-05,2.099360e-04,5.622400e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.344517e+01,3.663840e-04,5.988800e-05,2.124320e-04,5.796800e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.102737e+01,4.085120e-04,6.291200e-05,2.434080e-04,6.508800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,2.050299e+01,4.189600e-04,6.582400e-05,2.445120e-04,6.905600e-05,1.404800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.847393e+01,4.649760e-04,7.449600e-05,2.741760e-04,7.483200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-3,3.857108e+01,2.227040e-04,8.521600e-05,8.756800e-05,2.153600e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.238063e+01,2.652800e-04,8.889600e-05,1.172160e-04,3.027200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.732167e+01,3.144000e-04,9.902400e-05,1.463360e-04,3.875200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.419863e+01,3.549760e-04,1.019360e-04,1.754720e-04,4.608000e-05,1.043200e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.348722e+01,3.657280e-04,1.044160e-04,1.788800e-04,4.795200e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.080976e+01,4.127840e-04,1.129760e-04,2.097760e-04,5.433600e-05,1.220800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.042266e+01,4.206080e-04,1.154400e-04,2.131360e-04,5.555200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.853964e+01,4.633280e-04,1.179200e-04,2.448000e-04,6.320000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.809840e+01,4.746240e-04,1.220800e-04,2.449920e-04,6.816000e-05,1.404800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.659365e+01,5.176640e-04,1.264160e-04,2.739840e-04,7.558400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-3,5.272227e+01,1.629280e-04,4.555200e-05,6.243200e-05,2.704000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-4,4.267654e+01,2.012800e-04,5.046400e-05,8.336000e-05,3.795200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-5,3.589189e+01,2.393280e-04,5.449600e-05,1.052160e-04,4.915200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,3.001291e+01,2.862080e-04,6.572800e-05,1.289280e-04,5.990400e-05,1.040000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,2.597469e+01,3.307040e-04,7.622400e-05,1.495040e-04,7.124800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-8,2.296381e+01,3.740640e-04,8.448000e-05,1.730720e-04,8.132800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.055008e+01,4.180000e-04,9.515200e-05,1.940320e-04,9.232000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.937113e+01,4.434400e-04,1.050080e-04,2.014560e-04,9.830400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.667767e+01,5.150560e-04,1.417280e-04,2.239360e-04,1.090880e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.576852e+01,5.447520e-04,1.549280e-04,2.317280e-04,1.167360e-04,1.436800e-05,
-1.000000,1024,1024,OS2-f8-accu-3,4.356658e+01,1.971680e-04,7.758400e-05,6.243200e-05,2.912000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-4,3.665649e+01,2.343360e-04,8.241600e-05,8.336000e-05,3.934400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-5,3.141066e+01,2.734720e-04,8.716800e-05,1.055360e-04,5.052800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,2.693513e+01,3.189120e-04,9.835200e-05,1.290080e-04,6.068800e-05,1.043200e-05,
-1.000000,1024,1024,OS2-f8-accu-7,2.359250e+01,3.640960e-04,1.088000e-04,1.498080e-04,7.163200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-accu-8,2.094616e+01,4.100960e-04,1.197920e-04,1.722240e-04,8.244800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.885809e+01,4.555040e-04,1.325280e-04,1.931200e-04,9.390400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.782203e+01,4.819840e-04,1.424960e-04,2.006400e-04,9.921600e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.623193e+01,5.292000e-04,1.548160e-04,2.229760e-04,1.107840e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.546198e+01,5.555520e-04,1.660640e-04,2.307360e-04,1.171040e-04,1.443200e-05,
-1.000000,1024,1024,BF16x9,4.590210e+01,1.871360e-04,,,,,
-1.000000,1024,1024,CSYMM,4.617847e+01,1.860160e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,2.488826e+02,2.761120e-04,8.401600e-05,1.171520e-04,3.328000e-05,2.425600e-05,
-1.000000,2048,2048,OS2-i8-fast-4,2.023828e+02,3.395520e-04,9.094400e-05,1.580160e-04,4.712000e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-5,1.739205e+02,3.951200e-04,9.499200e-05,1.978400e-04,5.768000e-05,2.454400e-05,
-1.000000,2048,2048,OS2-i8-fast-6,1.508435e+02,4.555680e-04,1.026560e-04,2.363680e-04,6.881600e-05,2.659200e-05,
-1.000000,2048,2048,OS2-i8-fast-7,1.383331e+02,4.967680e-04,1.108960e-04,2.546720e-04,8.051200e-05,2.852800e-05,
-1.000000,2048,2048,OS2-i8-fast-8,1.197137e+02,5.740320e-04,1.350240e-04,2.930880e-04,9.324800e-05,3.046400e-05,
-1.000000,2048,2048,OS2-i8-fast-9,1.108007e+02,6.202080e-04,1.449760e-04,3.129760e-04,1.062240e-04,3.276800e-05,
-1.000000,2048,2048,OS2-i8-fast-10,1.008871e+02,6.811520e-04,1.559840e-04,3.507520e-04,1.162880e-04,3.468800e-05,
-1.000000,2048,2048,OS2-i8-fast-11,9.486399e+01,7.244000e-04,1.650560e-04,3.682240e-04,1.289440e-04,3.660800e-05,
-1.000000,2048,2048,OS2-i8-fast-12,8.509604e+01,8.075520e-04,1.950560e-04,4.080480e-04,1.389120e-04,3.883200e-05,
-1.000000,2048,2048,OS2-i8-accu-3,1.909299e+02,3.599200e-04,1.686720e-04,1.170400e-04,3.304000e-05,2.283200e-05,
-1.000000,2048,2048,OS2-i8-accu-4,1.614953e+02,4.255200e-04,1.786720e-04,1.563200e-04,4.697600e-05,2.444800e-05,
-1.000000,2048,2048,OS2-i8-accu-5,1.412632e+02,4.864640e-04,1.873760e-04,1.961440e-04,5.841600e-05,2.454400e-05,
-1.000000,2048,2048,OS2-i8-accu-6,1.255692e+02,5.472640e-04,1.966720e-04,2.343200e-04,6.851200e-05,2.649600e-05,
