phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,4.687601e+01,1.832480e-04,4.681600e-05,8.704000e-05,2.137600e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-4,3.800587e+01,2.260160e-04,5.217600e-05,1.161920e-04,2.873600e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.180515e+01,2.700800e-04,5.692800e-05,1.468160e-04,3.598400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,2.752761e+01,3.120480e-04,6.019200e-05,1.778560e-04,4.265600e-05,1.036800e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.648337e+01,3.243520e-04,6.412800e-05,1.809440e-04,4.604800e-05,1.052800e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.294909e+01,3.743040e-04,7.340800e-05,2.112800e-04,5.476800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.233612e+01,3.845760e-04,7.729600e-05,2.128960e-04,5.838400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.010752e+01,4.272000e-04,8.172800e-05,2.434240e-04,6.472000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.968074e+01,4.364640e-04,8.531200e-05,2.430720e-04,6.904000e-05,1.342400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.784810e+01,4.812800e-04,8.870400e-05,2.744320e-04,7.726400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-3,3.710234e+01,2.315200e-04,9.539200e-05,8.660800e-05,2.137600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.107251e+01,2.764480e-04,1.020160e-04,1.164800e-04,2.867200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.687176e+01,3.196640e-04,1.077920e-04,1.456320e-04,3.587200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.362572e+01,3.635840e-04,1.118080e-04,1.764960e-04,4.331200e-05,1.036800e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.289331e+01,3.752160e-04,1.152320e-04,1.796160e-04,4.699200e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.036688e+01,4.217600e-04,1.211680e-04,2.117280e-04,5.342400e-05,1.211200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.988043e+01,4.320800e-04,1.265760e-04,2.124000e-04,5.620800e-05,1.203200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.812834e+01,4.738400e-04,1.300320e-04,2.427840e-04,6.364800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.769049e+01,4.855680e-04,1.338240e-04,2.444960e-04,6.820800e-05,1.264000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.618592e+01,5.307040e-04,1.382400e-04,2.752480e-04,7.576000e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-3,4.831017e+01,1.778080e-04,6.072000e-05,6.182400e-05,2.697600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,3.945260e+01,2.177280e-04,6.620800e-05,8.337600e-05,3.910400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,3.337089e+01,2.574080e-04,7.160000e-05,1.054720e-04,4.974400e-05,1.036800e-05,
-1.000000,1024,1024,OS2-f8-fast-6,2.860108e+01,3.003360e-04,8.076800e-05,1.281600e-04,5.936000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-7,2.503945e+01,3.430560e-04,9.043200e-05,1.492960e-04,6.921600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-8,2.223713e+01,3.862880e-04,1.005600e-04,1.692640e-04,8.089600e-05,1.228800e-05,
