phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.085289e+01,1.978720e-04,4.091200e-05,7.808000e-05,4.552000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.066490e+01,2.013600e-04,4.214400e-05,7.814400e-05,4.726400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.537251e+00,2.251680e-04,4.414400e-05,9.121600e-05,5.464000e-05,1.046400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.259588e+00,2.319200e-04,4.710400e-05,9.129600e-05,5.609600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.093958e+00,2.361440e-04,4.886400e-05,9.100800e-05,5.771200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.836509e+00,2.430240e-04,5.216000e-05,9.136000e-05,6.080000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.117190e+00,2.645600e-04,5.347200e-05,1.043520e-04,6.649600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.681876e+00,2.795520e-04,6.393600e-05,1.036800e-04,7.096000e-05,1.235200e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.413296e+00,2.896800e-04,6.584000e-05,1.072320e-04,7.235200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.353590e+00,2.920320e-04,6.782400e-05,1.064640e-04,7.339200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,7.188952e+00,2.987200e-04,6.988800e-05,1.073120e-04,7.620800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.692148e+00,3.208960e-04,7.123200e-05,1.206240e-04,8.278400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.544711e+00,2.249920e-04,6.811200e-05,7.796800e-05,4.547200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.381263e+00,2.289120e-04,6.982400e-05,7.768000e-05,4.776000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.500711e+00,2.526240e-04,7.152000e-05,9.113600e-05,5.456000e-05,1.052800e-05,
