phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.081355e+01,1.985920e-04,4.121600e-05,7.814400e-05,4.540800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.059669e+01,2.026560e-04,4.296000e-05,7.808000e-05,4.752000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.455948e+00,2.271040e-04,4.555200e-05,9.118400e-05,5.497600e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.223318e+00,2.328320e-04,4.670400e-05,9.110400e-05,5.707200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.112481e+00,2.356640e-04,4.880000e-05,9.099200e-05,5.769600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.815035e+00,2.436160e-04,5.168000e-05,9.155200e-05,6.131200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.096135e+00,2.652480e-04,5.420800e-05,1.044320e-04,6.630400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.679678e+00,2.796320e-04,6.348800e-05,1.040320e-04,7.136000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.474396e+00,2.873120e-04,6.572800e-05,1.059840e-04,7.188800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.342728e+00,2.924640e-04,6.750400e-05,1.066240e-04,7.404800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,7.192419e+00,2.985760e-04,6.972800e-05,1.074080e-04,7.628800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.696489e+00,3.206880e-04,7.076800e-05,1.204960e-04,8.320000e-05,1.436800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.545390e+00,2.249760e-04,6.793600e-05,7.800000e-05,4.555200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.325857e+00,2.302720e-04,7.060800e-05,7.774400e-05,4.790400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.481373e+00,2.532000e-04,7.284800e-05,9.083200e-05,5.462400e-05,1.033600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.278913e+00,2.593920e-04,7.385600e-05,9.075200e-05,5.710400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.156158e+00,2.632960e-04,7.683200e-05,9.065600e-05,5.742400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,7.908652e+00,2.715360e-04,7.897600e-05,9.163200e-05,6.166400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.360850e+00,2.917440e-04,8.016000e-05,1.041600e-04,6.656000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,6.989415e+00,3.072480e-04,9.126400e-05,1.039040e-04,7.096000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-17,6.800311e+00,3.157920e-04,9.321600e-05,1.063360e-04,7.206400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.672188e+00,3.218560e-04,9.558400e-05,1.069760e-04,7.435200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.575433e+00,3.265920e-04,9.692800e-05,1.070560e-04,7.704000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-20,6.177178e+00,3.476480e-04,9.793600e-05,1.195680e-04,8.316800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.033142e+00,2.673280e-04,5.977600e-05,1.172640e-04,5.526400e-05,1.209600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.269945e+00,2.953920e-04,6.337600e-05,1.326720e-04,6.297600e-05,1.212800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.932017e+00,3.097920e-04,6.790400e-05,1.381600e-04,6.699200e-05,1.209600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.342094e+00,3.386080e-04,7.196800e-05,1.549280e-04,7.380800e-05,1.217600e-05,
-1.000000,1024,1024,OS2-f8-fast-13,5.754243e+00,3.732000e-04,9.870400e-05,1.575520e-04,7.712000e-05,1.404800e-05,
-1.000000,1024,1024,OS2-f8-fast-14,5.504110e+00,3.901600e-04,1.058560e-04,1.591840e-04,8.305600e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-15,5.105471e+00,4.206240e-04,1.131360e-04,1.769440e-04,8.779200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-16,4.629954e+00,4.638240e-04,1.491200e-04,1.782720e-04,9.104000e-05,1.625600e-05,
-1.000000,1024,1024,OS2-f8-fast-17,4.473626e+00,4.800320e-04,1.565440e-04,1.802240e-04,9.665600e-05,1.628800e-05,
