phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.048658e+01,2.047840e-04,4.664000e-05,7.808000e-05,4.614400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.029751e+01,2.085440e-04,4.891200e-05,7.804800e-05,4.748800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.230295e+00,2.326560e-04,5.083200e-05,9.113600e-05,5.536000e-05,1.049600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.027289e+00,2.378880e-04,5.313600e-05,9.094400e-05,5.608000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,8.794242e+00,2.441920e-04,5.556800e-05,9.096000e-05,5.894400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.658091e+00,2.480320e-04,5.764800e-05,9.136000e-05,6.032000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,7.913781e+00,2.713600e-04,6.000000e-05,1.042240e-04,6.675200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.466080e+00,2.876320e-04,7.176000e-05,1.037920e-04,7.072000e-05,1.248000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.251093e+00,2.961600e-04,7.361600e-05,1.068480e-04,7.169600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.114265e+00,3.018560e-04,7.644800e-05,1.068800e-04,7.400000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.998526e+00,3.068480e-04,7.851200e-05,1.071200e-04,7.582400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.517955e+00,3.294720e-04,8.016000e-05,1.208480e-04,8.201600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.158494e+00,2.344800e-04,7.716800e-05,7.772800e-05,4.563200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,8.992813e+00,2.388000e-04,7.854400e-05,7.777600e-05,4.790400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.174040e+00,2.627200e-04,8.084800e-05,9.110400e-05,5.449600e-05,1.054400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,7.989626e+00,2.687840e-04,8.331200e-05,9.097600e-05,5.625600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-13,7.851745e+00,2.735040e-04,8.545600e-05,9.051200e-05,5.864000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,7.690679e+00,2.792320e-04,8.774400e-05,9.166400e-05,6.068800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.104098e+00,3.022880e-04,8.971200e-05,1.044960e-04,6.758400e-05,1.228800e-05,
