phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.048740e+01,2.047680e-04,4.736000e-05,7.808000e-05,4.558400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.029909e+01,2.085120e-04,4.907200e-05,7.808000e-05,4.736000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.250016e+00,2.321600e-04,5.084800e-05,9.144000e-05,5.440000e-05,1.040000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.041275e+00,2.375200e-04,5.228800e-05,9.148800e-05,5.571200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,8.856333e+00,2.424800e-04,5.536000e-05,9.123200e-05,5.731200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.724501e+00,2.461440e-04,5.744000e-05,9.120000e-05,5.840000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,7.952700e+00,2.700320e-04,5.952000e-05,1.047840e-04,6.516800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.540746e+00,2.847840e-04,7.094400e-05,1.042080e-04,6.883200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.255797e+00,2.959680e-04,7.324800e-05,1.069920e-04,7.166400e-05,1.435200e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.097336e+00,3.025760e-04,7.568000e-05,1.070400e-04,7.488000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.961139e+00,3.084960e-04,7.836800e-05,1.077760e-04,7.678400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.486141e+00,3.310880e-04,8.024000e-05,1.211520e-04,8.345600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.162870e+00,2.343680e-04,7.758400e-05,7.772800e-05,4.560000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,8.975373e+00,2.392640e-04,7.958400e-05,7.782400e-05,4.780800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.204018e+00,2.617600e-04,8.091200e-05,9.116800e-05,5.435200e-05,1.043200e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.042287e+00,2.670240e-04,8.291200e-05,9.096000e-05,5.513600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-13,7.865549e+00,2.730240e-04,8.630400e-05,9.073600e-05,5.710400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,7.698619e+00,2.789440e-04,8.857600e-05,9.145600e-05,5.942400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.096961e+00,3.025920e-04,9.048000e-05,1.047360e-04,6.704000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,6.788959e+00,3.163200e-04,1.031200e-04,1.031360e-04,6.928000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-17,6.558403e+00,3.274400e-04,1.050560e-04,1.068480e-04,7.171200e-05,1.436800e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.446577e+00,3.331200e-04,1.068960e-04,1.066880e-04,7.488000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.348994e+00,3.382400e-04,1.090080e-04,1.076000e-04,7.633600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-20,5.951478e+00,3.608320e-04,1.109600e-04,1.209440e-04,8.291200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.866010e+00,2.730080e-04,6.521600e-05,1.165280e-04,5.622400e-05,1.209600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.143040e+00,3.006400e-04,6.878400e-05,1.328320e-04,6.315200e-05,1.214400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.807208e+00,3.154720e-04,7.286400e-05,1.383200e-04,6.684800e-05,1.209600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.244718e+00,3.438880e-04,7.769600e-05,1.546400e-04,7.392000e-05,1.212800e-05,
-1.000000,1024,1024,OS2-f8-fast-13,5.642957e+00,3.805600e-04,1.052960e-04,1.580000e-04,7.635200e-05,1.411200e-05,
-1.000000,1024,1024,OS2-f8-fast-14,5.438981e+00,3.948320e-04,1.128000e-04,1.602400e-04,8.043200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-f8-fast-15,5.016735e+00,4.280640e-04,1.201760e-04,1.771200e-04,8.846400e-05,1.419200e-05,
-1.000000,1024,1024,OS2-f8-fast-16,4.845230e+00,4.432160e-04,1.287040e-04,1.785440e-04,9.099200e-05,1.622400e-05,
-1.000000,1024,1024,OS2-f8-fast-17,4.690140e+00,4.578720e-04,1.364160e-04,1.804640e-04,9.520000e-05,1.622400e-05,
-1.000000,1024,1024,OS2-f8-fast-18,4.359134e+00,4.926400e-04,1.436320e-04,1.980320e-04,1.033120e-04,1.636800e-05,
-1.000000,1024,1024,OS2-f8-fast-19,4.223339e+00,5.084800e-04,1.506240e-04,2.019680e-04,1.062720e-04,1.808000e-05,
-1.000000,1024,1024,OS2-f8-fast-20,4.111811e+00,5.222720e-04,1.591520e-04,2.036960e-04,1.085280e-04,1.820800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.086469e+00,3.030400e-04,9.513600e-05,1.160800e-04,5.617600e-05,1.209600e-05,
-1.000000,1024,1024,OS2-f8-accu-10,6.489905e+00,3.308960e-04,9.902400e-05,1.317280e-04,6.336000e-05,1.212800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.181446e+00,3.474080e-04,1.038240e-04,1.387040e-04,6.689600e-05,1.212800e-05,
-1.000000,1024,1024,OS2-f8-accu-12,5.721618e+00,3.753280e-04,1.087360e-04,1.544160e-04,7.342400e-05,1.216000e-05,
-1.000000,1024,1024,OS2-f8-accu-13,5.246159e+00,4.093440e-04,1.352000e-04,1.573120e-04,7.680000e-05,1.238400e-05,
-1.000000,1024,1024,OS2-f8-accu-14,5.021052e+00,4.276960e-04,1.426720e-04,1.616480e-04,8.099200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-f8-accu-15,4.667306e+00,4.601120e-04,1.516640e-04,1.767360e-04,8.868800e-05,1.420800e-05,
-1.000000,1024,1024,OS2-f8-accu-16,4.538369e+00,4.731840e-04,1.585600e-04,1.781920e-04,9.073600e-05,1.625600e-05,
-1.000000,1024,1024,OS2-f8-accu-17,4.393667e+00,4.887680e-04,1.664000e-04,1.817600e-04,9.500800e-05,1.622400e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.111811e+00,5.222720e-04,1.745440e-04,1.969120e-04,1.028640e-04,1.638400e-05,
-1.000000,1024,1024,OS2-f8-accu-19,3.984968e+00,5.388960e-04,1.820000e-04,2.022240e-04,1.057120e-04,1.649600e-05,
-1.000000,1024,1024,OS2-f8-accu-20,3.873751e+00,5.543680e-04,1.914080e-04,2.025760e-04,1.092160e-04,1.827200e-05,
-1.000000,1024,1024,OS1-6,2.587579e+01,8.299200e-05,,,,,
-1.000000,1024,1024,OS1-7,2.590076e+01,8.291200e-05,,,,,
-1.000000,1024,1024,OS1-8,2.584589e+01,8.308800e-05,,,,,
-1.000000,1024,1024,OS1-9,2.588078e+01,8.297600e-05,,,,,
-1.000000,1024,1024,DSYMM,2.570236e+01,8.355200e-05,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,5.233170e+01,3.282880e-04,9.897600e-05,1.162560e-04,6.353600e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-10,4.976095e+01,3.452480e-04,1.030080e-04,1.222400e-04,6.851200e-05,2.867200e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.570087e+01,3.759200e-04,1.070720e-04,1.395040e-04,7.601600e-05,2.867200e-05,
