phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.881909e+01,1.141120e-04,2.694400e-05,3.980800e-05,1.923200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.586873e+01,1.353280e-04,2.804800e-05,5.225600e-05,2.545600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.543620e+01,1.391200e-04,2.860800e-05,5.307200e-05,2.750400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.345271e+01,1.596320e-04,2.968000e-05,6.505600e-05,3.452800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.301568e+01,1.649920e-04,3.104000e-05,6.553600e-05,3.715200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.121940e+01,1.914080e-04,3.673600e-05,7.817600e-05,4.344000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.102767e+01,1.947360e-04,3.740800e-05,7.808000e-05,4.542400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.080310e+01,1.987840e-04,3.913600e-05,7.820800e-05,4.726400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.651091e+00,2.225120e-04,4.086400e-05,9.136000e-05,5.499200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.523716e+00,2.254880e-04,4.222400e-05,9.118400e-05,5.584000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.496796e+01,1.434720e-04,5.729600e-05,3.948800e-05,1.888000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.302326e+01,1.648960e-04,5.865600e-05,5.174400e-05,2.540800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.271965e+01,1.688320e-04,5.913600e-05,5.219200e-05,2.806400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.124573e+01,1.909600e-04,6.038400e-05,6.524800e-05,3.433600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.098614e+01,1.954720e-04,6.129600e-05,6.553600e-05,3.712000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,9.787627e+00,2.194080e-04,6.523200e-05,7.803200e-05,4.326400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.608944e+00,2.234880e-04,6.640000e-05,7.808000e-05,4.524800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.443972e+00,2.273920e-04,6.792000e-05,7.800000e-05,4.753600e-05,1.024000e-05,
