phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.854604e+01,1.157920e-04,2.758400e-05,3.990400e-05,1.980800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.580148e+01,1.359040e-04,2.851200e-05,5.248000e-05,2.545600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.541138e+01,1.393440e-04,2.929600e-05,5.241600e-05,2.745600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.335633e+01,1.607840e-04,3.043200e-05,6.512000e-05,3.459200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.299804e+01,1.652160e-04,3.115200e-05,6.580800e-05,3.696000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.126838e+01,1.905760e-04,3.627200e-05,7.816000e-05,4.342400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.101952e+01,1.948800e-04,3.736000e-05,7.822400e-05,4.604800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.083100e+01,1.982720e-04,3.910400e-05,7.811200e-05,4.729600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.632390e+00,2.229440e-04,4.160000e-05,9.131200e-05,5.472000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.370129e+00,2.291840e-04,4.580800e-05,9.110400e-05,5.624000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.490811e+01,1.440480e-04,5.737600e-05,3.952000e-05,1.888000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.300938e+01,1.650720e-04,5.851200e-05,5.180800e-05,2.537600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.273655e+01,1.686080e-04,5.900800e-05,5.219200e-05,2.803200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.127028e+01,1.905440e-04,6.056000e-05,6.515200e-05,3.427200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.100055e+01,1.952160e-04,6.142400e-05,6.553600e-05,3.712000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,9.799775e+00,2.191360e-04,6.566400e-05,7.745600e-05,4.369600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.586296e+00,2.240160e-04,6.713600e-05,7.812800e-05,4.548800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.403610e+00,2.283680e-04,6.902400e-05,7.800000e-05,4.753600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.536938e+00,2.515520e-04,7.062400e-05,9.126400e-05,5.435200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.454127e+00,2.540160e-04,7.144000e-05,9.113600e-05,5.548800e-05,1.024000e-05,
