phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.791481e+01,1.198720e-04,3.270400e-05,3.952000e-05,1.923200e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.530244e+01,1.403360e-04,3.347200e-05,5.244800e-05,2.512000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.488331e+01,1.442880e-04,3.432000e-05,5.222400e-05,2.793600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.291176e+01,1.663200e-04,3.579200e-05,6.512000e-05,3.456000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.254958e+01,1.711200e-04,3.710400e-05,6.556800e-05,3.707200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.101952e+01,1.948800e-04,4.054400e-05,7.811200e-05,4.371200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.074946e+01,1.997760e-04,4.211200e-05,7.827200e-05,4.611200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.052275e+01,2.040800e-04,4.446400e-05,7.814400e-05,4.732800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.404928e+00,2.283360e-04,4.683200e-05,9.139200e-05,5.516800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.282643e+00,2.313440e-04,4.856000e-05,9.107200e-05,5.608000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.418342e+01,1.514080e-04,6.571200e-05,3.891200e-05,1.878400e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.234640e+01,1.739360e-04,6.696000e-05,5.224000e-05,2.531200e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.210041e+01,1.774720e-04,6.772800e-05,5.220800e-05,2.790400e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.077362e+01,1.993280e-04,6.908800e-05,6.520000e-05,3.390400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.053597e+01,2.038240e-04,7.027200e-05,6.539200e-05,3.627200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,9.389795e+00,2.287040e-04,7.417600e-05,7.787200e-05,4.411200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.245555e+00,2.322720e-04,7.542400e-05,7.782400e-05,4.577600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.060195e+00,2.370240e-04,7.739200e-05,7.758400e-05,4.782400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.282489e+00,2.592800e-04,7.838400e-05,9.116800e-05,5.449600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.138354e+00,2.638720e-04,8.088000e-05,9.097600e-05,5.521600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.645027e+01,1.305440e-04,3.513600e-05,4.556800e-05,2.315200e-05,1.014400e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.382263e+01,1.553600e-04,3.718400e-05,5.977600e-05,2.945600e-05,1.019200e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.181286e+01,1.817920e-04,4.064000e-05,7.478400e-05,3.600000e-05,1.012800e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.015416e+01,2.114880e-04,4.673600e-05,8.940800e-05,4.435200e-05,1.014400e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.554903e+00,2.247520e-04,5.241600e-05,9.436800e-05,4.620800e-05,1.012800e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.411740e+00,2.552960e-04,5.684800e-05,1.110720e-04,5.435200e-05,1.011200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.986298e+00,2.688960e-04,6.140800e-05,1.172160e-04,5.651200e-05,1.024000e-05,
