phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.787187e+01,1.201600e-04,3.337600e-05,3.950400e-05,1.920000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.535321e+01,1.398720e-04,3.361600e-05,5.195200e-05,2.518400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.483397e+01,1.447680e-04,3.483200e-05,5.219200e-05,2.793600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.290307e+01,1.664320e-04,3.600000e-05,6.505600e-05,3.459200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.251798e+01,1.715520e-04,3.756800e-05,6.553600e-05,3.710400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.096460e+01,1.958560e-04,4.166400e-05,7.811200e-05,4.340800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.070658e+01,2.005760e-04,4.336000e-05,7.811200e-05,4.582400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.043116e+01,2.058720e-04,4.604800e-05,7.811200e-05,4.816000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.383230e+00,2.288640e-04,4.715200e-05,9.136000e-05,5.497600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.210660e+00,2.331520e-04,4.980800e-05,9.124800e-05,5.574400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.419392e+01,1.512960e-04,6.628800e-05,3.884800e-05,1.875200e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.236916e+01,1.736160e-04,6.755200e-05,5.172800e-05,2.528000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.201268e+01,1.787680e-04,6.908800e-05,5.219200e-05,2.772800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.077794e+01,1.992480e-04,6.961600e-05,6.518400e-05,3.404800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.054176e+01,2.037120e-04,7.032000e-05,6.489600e-05,3.657600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,9.365552e+00,2.292960e-04,7.472000e-05,7.798400e-05,4.411200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.209396e+00,2.331840e-04,7.651200e-05,7.774400e-05,4.574400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.022434e+00,2.380160e-04,7.827200e-05,7.769600e-05,4.784000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.219592e+00,2.612640e-04,8.028800e-05,9.110400e-05,5.459200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.127512e+00,2.642240e-04,8.187200e-05,9.086400e-05,5.507200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.636602e+01,1.312160e-04,3.598400e-05,4.472000e-05,2.294400e-05,1.019200e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.376733e+01,1.559840e-04,3.792000e-05,5.977600e-05,2.940800e-05,1.014400e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.178796e+01,1.821760e-04,4.107200e-05,7.481600e-05,3.592000e-05,1.014400e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.013270e+01,2.119360e-04,4.678400e-05,8.966400e-05,4.412800e-05,1.016000e-05,
