phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.293536e+01,3.745280e-04,6.512000e-05,2.137600e-04,5.761600e-05,1.411200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.063142e+01,4.163520e-04,6.838400e-05,2.444000e-04,6.443200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,2.019375e+01,4.253760e-04,7.096000e-05,2.445600e-04,6.808000e-05,1.619200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.810878e+01,4.743520e-04,8.211200e-05,2.746880e-04,7.446400e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.773197e+01,4.844320e-04,8.550400e-05,2.771040e-04,7.846400e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.740037e+01,4.936640e-04,8.902400e-05,2.775360e-04,8.224000e-05,1.635200e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.596073e+01,5.381920e-04,9.252800e-05,3.086880e-04,8.945600e-05,1.827200e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.533172e+01,5.602720e-04,1.103680e-04,3.083680e-04,9.248000e-05,1.830400e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.508912e+01,5.692800e-04,1.152000e-04,3.082880e-04,9.478400e-05,2.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.399158e+01,6.139360e-04,1.193600e-04,3.390400e-04,1.028480e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.373212e+01,6.255360e-04,1.246240e-04,3.421440e-04,1.056480e-04,2.028800e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.369184e+01,6.273760e-04,1.198880e-04,3.425440e-04,1.105440e-04,2.044800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.998031e+01,4.299200e-04,1.216640e-04,2.136480e-04,5.555200e-05,1.412800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.822063e+01,4.714400e-04,1.240640e-04,2.437600e-04,6.387200e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.783447e+01,4.816480e-04,1.281600e-04,2.444960e-04,6.707200e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.642008e+01,5.231360e-04,1.307680e-04,2.750560e-04,7.356800e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.609808e+01,5.336000e-04,1.354400e-04,2.770240e-04,7.686400e-05,1.624000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.582010e+01,5.429760e-04,1.390720e-04,2.764320e-04,8.174400e-05,1.635200e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.463422e+01,5.869760e-04,1.423360e-04,3.078720e-04,8.844800e-05,1.827200e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.399122e+01,6.139520e-04,1.632960e-04,3.089920e-04,9.238400e-05,1.828800e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.378501e+01,6.231360e-04,1.682720e-04,3.092320e-04,9.576000e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.285426e+01,6.682560e-04,1.731520e-04,3.391200e-04,1.027840e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.266952e+01,6.780000e-04,1.768160e-04,3.419360e-04,1.056320e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.250835e+01,6.867360e-04,1.807840e-04,3.423840e-04,1.088800e-04,2.038400e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.007745e+01,4.278400e-04,1.025760e-04,1.940800e-04,9.214400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.908603e+01,4.500640e-04,1.108480e-04,2.013440e-04,9.889600e-05,1.425600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.642711e+01,5.229120e-04,1.481280e-04,2.243840e-04,1.086400e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.546198e+01,5.555520e-04,1.636480e-04,2.320640e-04,1.170080e-04,1.648000e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.316183e+01,6.526400e-04,2.252320e-04,2.549120e-04,1.270880e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.247783e+01,6.884160e-04,2.444480e-04,2.628960e-04,1.350400e-04,1.833600e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.158472e+01,7.414880e-04,2.645120e-04,2.843840e-04,1.443680e-04,1.852800e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.103492e+01,7.784320e-04,2.844160e-04,2.934080e-04,1.503840e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.033915e+01,8.308160e-04,3.035040e-04,3.148160e-04,1.599200e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-18,9.737918e+00,8.821120e-04,3.375520e-04,3.222080e-04,1.681920e-04,2.232000e-05,
-1.000000,1024,1024,OS2-f8-fast-19,8.893008e+00,9.659200e-04,3.954880e-04,3.304160e-04,1.853280e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-fast-20,8.179270e+00,1.050208e-03,4.465920e-04,3.519680e-04,1.951200e-04,2.265600e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.825098e+01,4.706560e-04,1.457440e-04,1.931520e-04,9.273600e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.732289e+01,4.958720e-04,1.552000e-04,2.006400e-04,1.006080e-04,1.417600e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.579636e+01,5.437920e-04,1.660960e-04,2.230400e-04,1.119680e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.502409e+01,5.717440e-04,1.794560e-04,2.315040e-04,1.172160e-04,1.636800e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.298483e+01,6.615360e-04,2.342240e-04,2.533440e-04,1.278560e-04,1.824000e-05,
-1.000000,1024,1024,OS2-f8-accu-14,1.241808e+01,6.917280e-04,2.496800e-04,2.617120e-04,1.344000e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-accu-15,1.152158e+01,7.455520e-04,2.690880e-04,2.843680e-04,1.435840e-04,1.856000e-05,
