phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.182491e+01,3.935840e-04,8.470400e-05,2.130080e-04,5.758400e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.967281e+01,4.366400e-04,8.940800e-05,2.441600e-04,6.420800e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.921582e+01,4.470240e-04,9.264000e-05,2.452000e-04,6.672000e-05,1.628800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.759137e+01,4.883040e-04,9.635200e-05,2.740480e-04,7.489600e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.725330e+01,4.978720e-04,1.001920e-04,2.757760e-04,7.862400e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.690932e+01,5.080000e-04,1.048480e-04,2.761120e-04,8.198400e-05,1.657600e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.555697e+01,5.521600e-04,1.085920e-04,3.064480e-04,8.929600e-05,1.827200e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.490977e+01,5.761280e-04,1.275040e-04,3.078400e-04,9.198400e-05,1.827200e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.464659e+01,5.864800e-04,1.322240e-04,3.083840e-04,9.555200e-05,1.852800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.360131e+01,6.315520e-04,1.371200e-04,3.389440e-04,1.028960e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.335865e+01,6.430240e-04,1.428960e-04,3.413120e-04,1.058080e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.312932e+01,6.542560e-04,1.485920e-04,3.421280e-04,1.091520e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.944410e+01,4.417760e-04,1.338880e-04,2.127520e-04,5.662400e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.779073e+01,4.828320e-04,1.362240e-04,2.434240e-04,6.353600e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.739078e+01,4.939360e-04,1.402080e-04,2.446240e-04,6.681600e-05,1.628800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.601930e+01,5.362240e-04,1.440800e-04,2.743680e-04,7.403200e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.570533e+01,5.469440e-04,1.486240e-04,2.761600e-04,7.780800e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.544952e+01,5.560000e-04,1.525280e-04,2.765760e-04,8.188800e-05,1.660800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.429141e+01,6.010560e-04,1.571520e-04,3.066880e-04,8.876800e-05,1.830400e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.373071e+01,6.256000e-04,1.765440e-04,3.083360e-04,9.161600e-05,1.827200e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.350687e+01,6.359680e-04,1.810560e-04,3.098080e-04,9.456000e-05,1.852800e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.262721e+01,6.802720e-04,1.869280e-04,3.384640e-04,1.018720e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.240918e+01,6.922240e-04,1.933280e-04,3.411680e-04,1.046560e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.221521e+01,7.032160e-04,1.978240e-04,3.429760e-04,1.084160e-04,2.038400e-05,
-1.000000,1024,1024,OS2-f8-fast-9,1.950485e+01,4.404000e-04,1.193280e-04,1.915840e-04,9.105600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.834515e+01,4.682400e-04,1.287040e-04,1.997440e-04,1.004960e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.680400e+01,5.111840e-04,1.388960e-04,2.221280e-04,1.080480e-04,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.589598e+01,5.403840e-04,1.501600e-04,2.305600e-04,1.163680e-04,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.372720e+01,6.257600e-04,2.007360e-04,2.531680e-04,1.263840e-04,1.819200e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.306287e+01,6.575840e-04,2.160000e-04,2.617760e-04,1.328800e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.214310e+01,7.073920e-04,2.338400e-04,2.829280e-04,1.425120e-04,1.843200e-05,
