phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,4.763717e+01,1.803200e-04,4.220800e-05,8.716800e-05,2.073600e-05,1.318400e-05,
-1.000000,1024,1024,OS2-i8-fast-4,3.781580e+01,2.271520e-04,4.889600e-05,1.168320e-04,2.892800e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.130260e+01,2.744160e-04,5.878400e-05,1.460320e-04,3.489600e-05,1.507200e-05,
-1.000000,1024,1024,OS2-i8-fast-6,2.681003e+01,3.204000e-04,6.489600e-05,1.765920e-04,4.313600e-05,1.523200e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.582973e+01,3.325600e-04,6.744000e-05,1.801600e-04,4.625600e-05,1.715200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.272277e+01,3.780320e-04,7.316800e-05,2.108800e-04,5.452800e-05,1.715200e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.204809e+01,3.896000e-04,7.601600e-05,2.147680e-04,5.606400e-05,1.916800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.988558e+01,4.319680e-04,7.918400e-05,2.445760e-04,6.417600e-05,1.931200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.943354e+01,4.420160e-04,8.302400e-05,2.450560e-04,6.742400e-05,2.144000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.767825e+01,4.859040e-04,8.598400e-05,2.746880e-04,7.588800e-05,2.252800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,3.839729e+01,2.237120e-04,8.369600e-05,8.737600e-05,2.252800e-05,1.315200e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.183155e+01,2.698560e-04,8.988800e-05,1.171040e-04,3.091200e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.740676e+01,3.134240e-04,9.553600e-05,1.457440e-04,3.673600e-05,1.504000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.416813e+01,3.554240e-04,9.875200e-05,1.759360e-04,4.436800e-05,1.526400e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.335541e+01,3.677920e-04,1.023360e-04,1.794400e-04,4.643200e-05,1.715200e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.080572e+01,4.128640e-04,1.068000e-04,2.108800e-04,5.428800e-05,1.728000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.031601e+01,4.228160e-04,1.100000e-04,2.136000e-04,5.670400e-05,1.920000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.842195e+01,4.662880e-04,1.140960e-04,2.432960e-04,6.484800e-05,1.936000e-05,
