phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,5.289368e+01,1.624000e-04,2.257600e-05,8.777600e-05,2.054400e-05,1.324800e-05,
-1.000000,1024,1024,OS2-i8-fast-4,4.227330e+01,2.032000e-04,2.587200e-05,1.161440e-04,2.864000e-05,1.339200e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.497986e+01,2.455680e-04,2.806400e-05,1.459840e-04,3.630400e-05,1.526400e-05,
-1.000000,1024,1024,OS2-i8-fast-6,3.012406e+01,2.851520e-04,3.048000e-05,1.753600e-04,4.228800e-05,1.532800e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.893403e+01,2.968800e-04,3.252800e-05,1.782880e-04,4.705600e-05,1.728000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.495913e+01,3.441600e-04,3.817600e-05,2.097440e-04,5.652800e-05,1.731200e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.429390e+01,3.535840e-04,4.035200e-05,2.125920e-04,5.782400e-05,1.932800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.168387e+01,3.961440e-04,4.304000e-05,2.431840e-04,6.548800e-05,1.944000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,2.122858e+01,4.046400e-04,4.465600e-05,2.444000e-04,6.894400e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.871087e+01,4.590880e-04,5.779200e-05,2.751680e-04,7.651200e-05,2.332800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,4.054610e+01,2.118560e-04,7.099200e-05,8.702400e-05,2.236800e-05,1.321600e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.404381e+01,2.523200e-04,7.297600e-05,1.168000e-04,3.008000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.953085e+01,2.908800e-04,7.216000e-05,1.457760e-04,3.708800e-05,1.523200e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.591076e+01,3.315200e-04,7.513600e-05,1.761600e-04,4.344000e-05,1.526400e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.466671e+01,3.482400e-04,8.345600e-05,1.794400e-04,4.654400e-05,1.731200e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.165501e+01,3.966720e-04,9.049600e-05,2.106240e-04,5.502400e-05,1.728000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.108270e+01,4.074400e-04,9.400000e-05,2.129440e-04,5.747200e-05,1.923200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.913364e+01,4.489440e-04,9.576000e-05,2.430400e-04,6.520000e-05,1.942400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.872392e+01,4.587680e-04,9.880000e-05,2.444800e-04,6.803200e-05,2.147200e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.709998e+01,5.023360e-04,1.007840e-04,2.747040e-04,7.593600e-05,2.336000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,5.638216e+01,1.523520e-04,3.187200e-05,6.249600e-05,2.700800e-05,1.331200e-05,
-1.000000,1024,1024,OS2-f8-fast-4,4.516834e+01,1.901760e-04,3.598400e-05,8.329600e-05,3.707200e-05,1.529600e-05,
-1.000000,1024,1024,OS2-f8-fast-5,3.802471e+01,2.259040e-04,3.801600e-05,1.044480e-04,4.846400e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,3.163088e+01,2.715680e-04,4.632000e-05,1.271360e-04,6.086400e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-7,2.697573e+01,3.184320e-04,5.616000e-05,1.512160e-04,7.072000e-05,1.928000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,2.409005e+01,3.565760e-04,6.294400e-05,1.719520e-04,7.953600e-05,1.936000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.150236e+01,3.994880e-04,6.982400e-05,1.940480e-04,9.102400e-05,2.150400e-05,
-1.000000,1024,1024,OS2-f8-fast-10,2.023485e+01,4.245120e-04,7.753600e-05,2.012960e-04,9.814400e-05,2.355200e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.656549e+01,5.185440e-04,1.367360e-04,2.228320e-04,1.083520e-04,2.537600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.565906e+01,5.485600e-04,1.473920e-04,2.319680e-04,1.164480e-04,2.569600e-05,
-1.000000,1024,1024,OS2-f8-accu-3,4.781962e+01,1.796320e-04,5.659200e-05,6.283200e-05,2.875200e-05,1.334400e-05,
-1.000000,1024,1024,OS2-f8-accu-4,3.963317e+01,2.167360e-04,6.126400e-05,8.289600e-05,3.928000e-05,1.523200e-05,
-1.000000,1024,1024,OS2-f8-accu-5,3.342283e+01,2.570080e-04,6.574400e-05,1.048320e-04,5.112000e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,2.859194e+01,3.004320e-04,7.374400e-05,1.278880e-04,6.198400e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-accu-7,2.468145e+01,3.480320e-04,8.382400e-05,1.514400e-04,7.243200e-05,1.926400e-05,
-1.000000,1024,1024,OS2-f8-accu-8,2.202638e+01,3.899840e-04,9.539200e-05,1.720000e-04,8.032000e-05,1.939200e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.973572e+01,4.352480e-04,1.046560e-04,1.937280e-04,9.150400e-05,2.150400e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.846758e+01,4.651360e-04,1.150880e-04,2.010720e-04,1.003200e-04,2.355200e-05,
