phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,4.731391e+01,1.815520e-04,4.347200e-05,8.694400e-05,2.067200e-05,1.304000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,3.757232e+01,2.286240e-04,5.147200e-05,1.168960e-04,2.820800e-05,1.326400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.106892e+01,2.764800e-04,6.092800e-05,1.456320e-04,3.499200e-05,1.523200e-05,
-1.000000,1024,1024,OS2-i8-fast-6,2.698929e+01,3.182720e-04,6.534400e-05,1.752640e-04,4.222400e-05,1.526400e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.581483e+01,3.327520e-04,6.804800e-05,1.801280e-04,4.556800e-05,1.718400e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.281547e+01,3.764960e-04,7.296000e-05,2.109600e-04,5.294400e-05,1.724800e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.220677e+01,3.868160e-04,7.596800e-05,2.131840e-04,5.624000e-05,1.747200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.990254e+01,4.316000e-04,7.963200e-05,2.438400e-04,6.388800e-05,1.932800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.944269e+01,4.418080e-04,8.305600e-05,2.446560e-04,6.737600e-05,2.137600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.772378e+01,4.846560e-04,8.603200e-05,2.750400e-04,7.452800e-05,2.336000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,3.827957e+01,2.244000e-04,8.401600e-05,8.752000e-05,2.240000e-05,1.308800e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.222128e+01,2.665920e-04,8.720000e-05,1.164160e-04,3.064000e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.753749e+01,3.119360e-04,9.537600e-05,1.455840e-04,3.595200e-05,1.523200e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.413228e+01,3.559520e-04,9.987200e-05,1.759520e-04,4.424000e-05,1.520000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.347387e+01,3.659360e-04,1.020000e-04,1.792320e-04,4.585600e-05,1.724800e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.088829e+01,4.112320e-04,1.068160e-04,2.110080e-04,5.307200e-05,1.724800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.039008e+01,4.212800e-04,1.104960e-04,2.133120e-04,5.584000e-05,1.841600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.842385e+01,4.662400e-04,1.139840e-04,2.435360e-04,6.480000e-05,1.929600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.799226e+01,4.774240e-04,1.191040e-04,2.441600e-04,6.731200e-05,2.137600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.645380e+01,5.220640e-04,1.230560e-04,2.754400e-04,7.443200e-05,2.331200e-05,
-1.000000,1024,1024,OS2-f8-fast-3,4.668443e+01,1.840000e-04,6.316800e-05,6.185600e-05,2.691200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-4,3.861547e+01,2.224480e-04,6.739200e-05,8.332800e-05,3.814400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-5,3.281607e+01,2.617600e-04,7.174400e-05,1.059680e-04,4.915200e-05,1.513600e-05,
-1.000000,1024,1024,OS2-f8-fast-6,2.842994e+01,3.021440e-04,7.665600e-05,1.284480e-04,5.966400e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-7,2.506166e+01,3.427520e-04,8.475200e-05,1.505920e-04,6.801600e-05,1.841600e-05,
-1.000000,1024,1024,OS2-f8-fast-8,2.227218e+01,3.856800e-04,9.432000e-05,1.711200e-04,7.808000e-05,1.921600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.009473e+01,4.274720e-04,1.014880e-04,1.923840e-04,9.036800e-05,1.948800e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.893925e+01,4.535520e-04,1.091040e-04,2.001920e-04,9.705600e-05,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.725552e+01,4.978080e-04,1.177280e-04,2.226880e-04,1.076320e-04,2.457600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.640202e+01,5.237120e-04,1.265440e-04,2.309600e-04,1.146080e-04,2.544000e-05,
-1.000000,1024,1024,OS2-f8-accu-3,4.416146e+01,1.945120e-04,7.246400e-05,6.240000e-05,2.899200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-4,3.711004e+01,2.314720e-04,7.643200e-05,8.316800e-05,3.894400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-5,3.158250e+01,2.719840e-04,8.059200e-05,1.052160e-04,4.976000e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-accu-6,2.745300e+01,3.128960e-04,8.608000e-05,1.279040e-04,6.108800e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-accu-7,2.407061e+01,3.568640e-04,9.569600e-05,1.504320e-04,7.105600e-05,1.843200e-05,
-1.000000,1024,1024,OS2-f8-accu-8,2.139780e+01,4.014400e-04,1.074240e-04,1.720800e-04,7.904000e-05,1.926400e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.942721e+01,4.421600e-04,1.142560e-04,1.931840e-04,8.976000e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.836335e+01,4.677760e-04,1.226560e-04,2.005920e-04,9.760000e-05,2.252800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.690932e+01,5.080000e-04,1.300000e-04,2.222400e-04,1.060960e-04,2.457600e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.599735e+01,5.369600e-04,1.393600e-04,2.314400e-04,1.142720e-04,2.537600e-05,
-1.000000,1024,1024,BF16x9,3.799242e+01,2.260960e-04,,,,,
-1.000000,1024,1024,CSYR2K,3.382503e+01,2.539520e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,2.123593e+02,3.236000e-04,1.288800e-04,1.188800e-04,3.379200e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-4,1.761604e+02,3.900960e-04,1.379040e-04,1.588640e-04,4.710400e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-5,1.525418e+02,4.504960e-04,1.471520e-04,1.972320e-04,5.660800e-05,2.923200e-05,
-1.000000,2048,2048,OS2-i8-fast-6,1.337329e+02,5.138560e-04,1.552320e-04,2.363840e-04,6.955200e-05,3.152000e-05,
-1.000000,2048,2048,OS2-i8-fast-7,1.230227e+02,5.585920e-04,1.630080e-04,2.562080e-04,8.056000e-05,3.574400e-05,
-1.000000,2048,2048,OS2-i8-fast-8,1.096858e+02,6.265120e-04,1.801280e-04,2.950080e-04,9.256000e-05,3.571200e-05,
-1.000000,2048,2048,OS2-i8-fast-9,1.022465e+02,6.720960e-04,1.932640e-04,3.132320e-04,1.025280e-04,3.980800e-05,
-1.000000,2048,2048,OS2-i8-fast-10,9.264381e+01,7.417600e-04,2.057760e-04,3.520960e-04,1.159840e-04,4.377600e-05,
-1.000000,2048,2048,OS2-i8-fast-11,8.687056e+01,7.910560e-04,2.185920e-04,3.696320e-04,1.263360e-04,5.120000e-05,
-1.000000,2048,2048,OS2-i8-fast-12,7.991083e+01,8.599520e-04,2.315040e-04,4.089920e-04,1.401120e-04,5.324800e-05,
-1.000000,2048,2048,OS2-i8-accu-3,1.813906e+02,3.788480e-04,1.851840e-04,1.171360e-04,3.350400e-05,2.537600e-05,
-1.000000,2048,2048,OS2-i8-accu-4,1.556260e+02,4.415680e-04,1.928000e-04,1.569760e-04,4.540800e-05,2.665600e-05,
-1.000000,2048,2048,OS2-i8-accu-5,1.363958e+02,5.038240e-04,2.025920e-04,1.952320e-04,5.638400e-05,2.940800e-05,
-1.000000,2048,2048,OS2-i8-accu-6,1.210157e+02,5.678560e-04,2.108160e-04,2.339360e-04,7.064000e-05,3.155200e-05,
-1.000000,2048,2048,OS2-i8-accu-7,1.118365e+02,6.144640e-04,2.200960e-04,2.549280e-04,8.065600e-05,3.686400e-05,
-1.000000,2048,2048,OS2-i8-accu-8,1.009488e+02,6.807360e-04,2.356800e-04,2.932960e-04,9.256000e-05,3.577600e-05,
-1.000000,2048,2048,OS2-i8-accu-9,9.422714e+01,7.292960e-04,2.486720e-04,3.120960e-04,1.041280e-04,4.096000e-05,
-1.000000,2048,2048,OS2-i8-accu-10,8.635530e+01,7.957760e-04,2.626560e-04,3.505760e-04,1.138240e-04,4.380800e-05,
-1.000000,2048,2048,OS2-i8-accu-11,8.086014e+01,8.498560e-04,2.774720e-04,3.680320e-04,1.278080e-04,5.120000e-05,
-1.000000,2048,2048,OS2-i8-accu-12,7.476139e+01,9.191840e-04,2.919840e-04,4.087360e-04,1.381600e-04,5.324800e-05,
-1.000000,2048,2048,OS2-f8-fast-3,1.487847e+02,4.618720e-04,1.503360e-04,1.764160e-04,9.198400e-05,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-4,1.194108e+02,5.754880e-04,1.673440e-04,2.387680e-04,1.220960e-04,2.867200e-05,
-1.000000,2048,2048,OS2-f8-fast-5,1.000575e+02,6.868000e-04,1.837920e-04,2.975520e-04,1.552640e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-fast-6,8.590106e+01,7.999840e-04,2.040320e-04,3.559040e-04,1.866720e-04,3.276800e-05,
-1.000000,2048,2048,OS2-f8-fast-7,7.415600e+01,9.266880e-04,2.313120e-04,4.161280e-04,2.188160e-04,3.891200e-05,
-1.000000,2048,2048,OS2-f8-fast-8,6.466085e+01,1.062768e-03,2.724000e-04,4.765280e-04,2.512480e-04,3.974400e-05,
-1.000000,2048,2048,OS2-f8-fast-9,5.801971e+01,1.184416e-03,2.969600e-04,5.362720e-04,2.832160e-04,4.393600e-05,
-1.000000,2048,2048,OS2-f8-fast-10,5.294911e+01,1.297840e-03,3.204320e-04,5.843520e-04,3.195680e-04,4.915200e-05,
-1.000000,2048,2048,OS2-f8-fast-11,4.807763e+01,1.429344e-03,3.481440e-04,6.447040e-04,3.570880e-04,5.324800e-05,
-1.000000,2048,2048,OS2-f8-fast-12,4.454344e+01,1.542752e-03,3.820960e-04,6.976640e-04,3.816320e-04,5.529600e-05,
-1.000000,2048,2048,OS2-f8-accu-3,1.347398e+02,5.100160e-04,1.961760e-04,1.781280e-04,9.212800e-05,2.662400e-05,
-1.000000,2048,2048,OS2-f8-accu-4,1.110873e+02,6.186080e-04,2.114560e-04,2.377920e-04,1.222400e-04,2.867200e-05,
-1.000000,2048,2048,OS2-f8-accu-5,9.441979e+01,7.278080e-04,2.262400e-04,2.960960e-04,1.554560e-04,3.072000e-05,
