phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,5.264989e+01,1.631520e-04,2.323200e-05,8.793600e-05,2.049600e-05,1.334400e-05,
-1.000000,1024,1024,OS2-i8-fast-4,4.251769e+01,2.020320e-04,2.576000e-05,1.159680e-04,2.790400e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-5,3.489347e+01,2.461760e-04,2.822400e-05,1.462400e-04,3.614400e-05,1.520000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,3.019522e+01,2.844800e-04,2.993600e-05,1.755360e-04,4.278400e-05,1.529600e-05,
-1.000000,1024,1024,OS2-i8-fast-7,2.908136e+01,2.953760e-04,3.225600e-05,1.778080e-04,4.680000e-05,1.728000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,2.512029e+01,3.419520e-04,3.827200e-05,2.085280e-04,5.481600e-05,1.728000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,2.440100e+01,3.520320e-04,4.041600e-05,2.126880e-04,5.732800e-05,1.734400e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.163319e+01,3.970720e-04,4.347200e-05,2.446560e-04,6.457600e-05,1.932800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,2.122355e+01,4.047360e-04,4.465600e-05,2.440640e-04,6.814400e-05,2.134400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.875204e+01,4.580800e-04,5.768000e-05,2.751360e-04,7.537600e-05,2.336000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,4.047884e+01,2.122080e-04,7.166400e-05,8.684800e-05,2.220800e-05,1.334400e-05,
-1.000000,1024,1024,OS2-i8-accu-4,3.350418e+01,2.563840e-04,7.720000e-05,1.170400e-04,2.977600e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-5,2.910816e+01,2.951040e-04,7.665600e-05,1.462080e-04,3.657600e-05,1.523200e-05,
-1.000000,1024,1024,OS2-i8-accu-6,2.564833e+01,3.349120e-04,7.915200e-05,1.756800e-04,4.408000e-05,1.520000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,2.459777e+01,3.492160e-04,8.280000e-05,1.795040e-04,4.753600e-05,1.724800e-05,
-1.000000,1024,1024,OS2-i8-accu-8,2.181870e+01,3.936960e-04,9.003200e-05,2.096480e-04,5.352000e-05,1.728000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.124623e+01,4.043040e-04,9.406400e-05,2.118080e-04,5.680000e-05,1.739200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.922202e+01,4.468800e-04,9.595200e-05,2.426240e-04,6.379200e-05,1.936000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.873241e+01,4.585600e-04,9.844800e-05,2.438400e-04,6.744000e-05,2.140800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.712562e+01,5.015840e-04,1.017920e-04,2.743680e-04,7.475200e-05,2.337600e-05,
-1.000000,1024,1024,OS2-f8-fast-3,5.612869e+01,1.530400e-04,3.185600e-05,6.278400e-05,2.704000e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-4,4.478776e+01,1.917920e-04,3.596800e-05,8.419200e-05,3.788800e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,3.763026e+01,2.282720e-04,3.808000e-05,1.048000e-04,4.972800e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,3.164580e+01,2.714400e-04,4.646400e-05,1.276000e-04,6.060800e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-7,2.710648e+01,3.168960e-04,5.662400e-05,1.506560e-04,7.012800e-05,1.740800e-05,
-1.000000,1024,1024,OS2-f8-fast-8,2.407601e+01,3.567840e-04,6.288000e-05,1.720640e-04,7.998400e-05,1.923200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.151960e+01,3.991680e-04,6.952000e-05,1.939840e-04,9.179200e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,2.037693e+01,4.215520e-04,7.726400e-05,2.009600e-04,9.603200e-05,2.329600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.661213e+01,5.170880e-04,1.363680e-04,2.234560e-04,1.080320e-04,2.355200e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.571314e+01,5.466720e-04,1.473440e-04,2.307200e-04,1.162240e-04,2.540800e-05,
-1.000000,1024,1024,OS2-f8-accu-3,4.783667e+01,1.795680e-04,5.704000e-05,6.246400e-05,2.880000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-4,3.919910e+01,2.191360e-04,6.212800e-05,8.388800e-05,3.932800e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,3.319345e+01,2.587840e-04,6.579200e-05,1.053760e-04,5.168000e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,2.831000e+01,3.034240e-04,7.580800e-05,1.279360e-04,6.198400e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-accu-7,2.479430e+01,3.464480e-04,8.422400e-05,1.507680e-04,7.124800e-05,1.744000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,2.207801e+01,3.890720e-04,9.467200e-05,1.722080e-04,8.016000e-05,1.916800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.973427e+01,4.352800e-04,1.050880e-04,1.935680e-04,9.126400e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.860582e+01,4.616800e-04,1.151200e-04,2.009760e-04,9.795200e-05,2.332800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.695203e+01,5.067200e-04,1.246240e-04,2.239680e-04,1.079360e-04,2.457600e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.605763e+01,5.349440e-04,1.344160e-04,2.317600e-04,1.159200e-04,2.540800e-05,
-1.000000,1024,1024,BF16x9,2.692027e+01,3.190880e-04,,,,,
-1.000000,1024,1024,CSYR2K,2.474744e+01,3.471040e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,2.561407e+02,2.682880e-04,7.395200e-05,1.183840e-04,3.379200e-05,2.460800e-05,
-1.000000,2048,2048,OS2-i8-fast-4,2.100948e+02,3.270880e-04,7.753600e-05,1.576320e-04,4.531200e-05,2.745600e-05,
-1.000000,2048,2048,OS2-i8-fast-5,1.806506e+02,3.804000e-04,7.524800e-05,1.983360e-04,5.660800e-05,2.950400e-05,
