phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.156750e+01,1.856480e-04,2.438400e-05,7.875200e-05,4.526400e-05,1.408000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.134362e+01,1.893120e-04,2.568000e-05,7.827200e-05,4.710400e-05,1.536000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.004323e+01,2.138240e-04,2.744000e-05,9.136000e-05,5.457600e-05,1.536000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.815543e+00,2.187840e-04,2.896000e-05,9.145600e-05,5.652800e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.608256e+00,2.235040e-04,2.966400e-05,9.147200e-05,5.787200e-05,1.740800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,9.418788e+00,2.280000e-04,3.128000e-05,9.137600e-05,6.062400e-05,1.740800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.546178e+00,2.512800e-04,3.302400e-05,1.045600e-04,6.739200e-05,1.800000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,8.240283e+00,2.606080e-04,3.968000e-05,1.048160e-04,6.824000e-05,1.886400e-05,
-1.000000,1024,1024,OS2-i8-fast-17,8.015391e+00,2.679200e-04,4.044800e-05,1.071360e-04,7.078400e-05,1.945600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.837531e+00,2.740000e-04,4.198400e-05,1.077280e-04,7.321600e-05,2.048000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,7.673970e+00,2.798400e-04,4.337600e-05,1.079520e-04,7.644800e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,7.107484e+00,3.021440e-04,4.416000e-05,1.208480e-04,8.331200e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.017186e+01,2.111200e-04,4.891200e-05,7.852800e-05,4.624000e-05,1.395200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.959021e+00,2.156320e-04,4.984000e-05,7.867200e-05,4.833600e-05,1.536000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.986190e+00,2.389760e-04,5.129600e-05,9.134400e-05,5.547200e-05,1.536000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.868622e+00,2.421440e-04,5.211200e-05,9.129600e-05,5.640000e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.693421e+00,2.470240e-04,5.280000e-05,9.123200e-05,5.892800e-05,1.740800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.548900e+00,2.512000e-04,5.360000e-05,9.156800e-05,6.041600e-05,1.843200e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.833415e+00,2.741440e-04,5.526400e-05,1.046080e-04,6.736000e-05,1.843200e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.594507e+00,2.827680e-04,6.233600e-05,1.041440e-04,6.776000e-05,1.945600e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.371360e+00,2.913280e-04,6.324800e-05,1.069760e-04,7.080000e-05,1.945600e-05,
-1.000000,1024,1024,OS2-i8-accu-18,7.206321e+00,2.980000e-04,6.550400e-05,1.068800e-04,7.353600e-05,2.051200e-05,
-1.000000,1024,1024,OS2-i8-accu-19,7.069300e+00,3.037760e-04,6.657600e-05,1.065600e-04,7.779200e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,6.571248e+00,3.268000e-04,6.790400e-05,1.200480e-04,8.406400e-05,2.150400e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.515813e+00,2.521760e-04,3.817600e-05,1.165280e-04,5.665600e-05,1.731200e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.683195e+00,2.795040e-04,4.025600e-05,1.330560e-04,6.419200e-05,1.731200e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.315514e+00,2.935520e-04,4.528000e-05,1.380640e-04,6.592000e-05,1.926400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.649050e+00,3.229760e-04,4.659200e-05,1.553120e-04,7.363200e-05,2.132800e-05,
-1.000000,1024,1024,OS2-f8-fast-13,6.198861e+00,3.464320e-04,6.080000e-05,1.569760e-04,7.974400e-05,2.147200e-05,
-1.000000,1024,1024,OS2-f8-fast-14,5.993468e+00,3.583040e-04,6.451200e-05,1.598720e-04,8.281600e-05,2.342400e-05,
-1.000000,1024,1024,OS2-f8-fast-15,5.533839e+00,3.880640e-04,6.780800e-05,1.760960e-04,8.940800e-05,2.544000e-05,
-1.000000,1024,1024,OS2-f8-fast-16,4.756626e+00,4.514720e-04,1.261760e-04,1.771040e-04,9.193600e-05,2.560000e-05,
-1.000000,1024,1024,OS2-f8-fast-17,4.608018e+00,4.660320e-04,1.300160e-04,1.809600e-04,9.777600e-05,2.558400e-05,
-1.000000,1024,1024,OS2-f8-fast-18,4.349105e+00,4.937760e-04,1.332640e-04,1.974080e-04,1.046400e-04,2.752000e-05,
-1.000000,1024,1024,OS2-f8-fast-19,4.205738e+00,5.106080e-04,1.376480e-04,2.028640e-04,1.084480e-04,2.905600e-05,
-1.000000,1024,1024,OS2-f8-fast-20,4.150978e+00,5.173440e-04,1.412160e-04,2.030080e-04,1.104000e-04,2.956800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.942347e+00,2.703840e-04,5.588800e-05,1.165280e-04,5.694400e-05,1.724800e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.193961e+00,2.985120e-04,5.870400e-05,1.324480e-04,6.484800e-05,1.724800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.930586e+00,3.098560e-04,6.075200e-05,1.374880e-04,6.652800e-05,1.926400e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.285073e+00,3.416800e-04,6.416000e-05,1.553600e-04,7.422400e-05,2.134400e-05,
-1.000000,1024,1024,OS2-f8-accu-13,5.877462e+00,3.653760e-04,8.009600e-05,1.580320e-04,7.867200e-05,2.134400e-05,
-1.000000,1024,1024,OS2-f8-accu-14,5.682136e+00,3.779360e-04,8.332800e-05,1.597440e-04,8.272000e-05,2.342400e-05,
-1.000000,1024,1024,OS2-f8-accu-15,5.278136e+00,4.068640e-04,8.800000e-05,1.752000e-04,8.969600e-05,2.537600e-05,
-1.000000,1024,1024,OS2-f8-accu-16,5.139488e+00,4.178400e-04,9.081600e-05,1.779840e-04,9.334400e-05,2.550400e-05,
-1.000000,1024,1024,OS2-f8-accu-17,4.965510e+00,4.324800e-04,9.451200e-05,1.833760e-04,9.777600e-05,2.739200e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.651938e+00,4.616320e-04,9.918400e-05,1.988480e-04,1.044160e-04,2.755200e-05,
-1.000000,1024,1024,OS2-f8-accu-19,4.556395e+00,4.713120e-04,1.030720e-04,2.005760e-04,1.070400e-04,2.752000e-05,
-1.000000,1024,1024,OS2-f8-accu-20,4.439592e+00,4.837120e-04,1.079680e-04,2.038720e-04,1.093920e-04,2.953600e-05,
-1.000000,1024,1024,OS1-6,9.490718e+00,2.262720e-04,,,,,
-1.000000,1024,1024,OS1-7,9.497434e+00,2.261120e-04,,,,,
-1.000000,1024,1024,OS1-8,9.490718e+00,2.262720e-04,,,,,
-1.000000,1024,1024,OS1-9,9.487363e+00,2.263520e-04,,,,,
-1.000000,1024,1024,DSYR2K,9.497434e+00,2.261120e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,5.651570e+01,3.039840e-04,7.025600e-05,1.172160e-04,6.419200e-05,2.867200e-05,
-1.000000,2048,2048,OS2-i8-fast-10,5.371663e+01,3.198240e-04,7.268800e-05,1.222720e-04,6.883200e-05,3.276800e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.893100e+01,3.511040e-04,7.540800e-05,1.403680e-04,7.708800e-05,3.379200e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.678002e+01,3.672480e-04,7.811200e-05,1.437760e-04,8.180800e-05,3.788800e-05,
-1.000000,2048,2048,OS2-i8-fast-13,4.447425e+01,3.862880e-04,8.147200e-05,1.489280e-04,8.873600e-05,4.096000e-05,
-1.000000,2048,2048,OS2-i8-fast-14,4.277856e+01,4.016000e-04,8.404800e-05,1.551520e-04,9.217600e-05,4.300800e-05,
-1.000000,2048,2048,OS2-i8-fast-15,3.969324e+01,4.328160e-04,8.771200e-05,1.712000e-04,1.006240e-04,4.505600e-05,
-1.000000,2048,2048,OS2-i8-fast-16,3.635489e+01,4.725600e-04,1.136160e-04,1.766080e-04,1.054400e-04,4.812800e-05,
-1.000000,2048,2048,OS2-i8-fast-17,3.466255e+01,4.956320e-04,1.180800e-04,1.837760e-04,1.145920e-04,4.915200e-05,
-1.000000,2048,2048,OS2-i8-fast-18,3.345511e+01,5.135200e-04,1.226080e-04,1.881600e-04,1.207200e-04,5.120000e-05,
-1.000000,2048,2048,OS2-i8-fast-19,3.235722e+01,5.309440e-04,1.281440e-04,1.941600e-04,1.237760e-04,5.324800e-05,
-1.000000,2048,2048,OS2-i8-fast-20,3.071519e+01,5.593280e-04,1.303520e-04,2.101760e-04,1.319680e-04,5.529600e-05,
-1.000000,2048,2048,OS2-i8-accu-9,5.009526e+01,3.429440e-04,1.120320e-04,1.152800e-04,6.361600e-05,2.867200e-05,
-1.000000,2048,2048,OS2-i8-accu-10,4.760338e+01,3.608960e-04,1.165120e-04,1.202240e-04,6.745600e-05,3.276800e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.349774e+01,3.949600e-04,1.213760e-04,1.384640e-04,7.606400e-05,3.379200e-05,
-1.000000,2048,2048,OS2-i8-accu-12,4.172139e+01,4.117760e-04,1.236800e-04,1.429440e-04,8.086400e-05,3.788800e-05,
-1.000000,2048,2048,OS2-i8-accu-13,3.979917e+01,4.316640e-04,1.272640e-04,1.489760e-04,8.769600e-05,4.096000e-05,
-1.000000,2048,2048,OS2-i8-accu-14,3.868503e+01,4.440960e-04,1.298240e-04,1.531840e-04,9.089600e-05,4.300800e-05,
-1.000000,2048,2048,OS2-i8-accu-15,3.587990e+01,4.788160e-04,1.341440e-04,1.714080e-04,9.939200e-05,4.505600e-05,
-1.000000,2048,2048,OS2-i8-accu-16,3.315348e+01,5.181920e-04,1.603680e-04,1.765600e-04,1.047200e-04,4.724800e-05,
-1.000000,2048,2048,OS2-i8-accu-17,3.166820e+01,5.424960e-04,1.651520e-04,1.830400e-04,1.143040e-04,4.915200e-05,
-1.000000,2048,2048,OS2-i8-accu-18,3.069851e+01,5.596320e-04,1.685600e-04,1.878240e-04,1.207520e-04,5.139200e-05,
-1.000000,2048,2048,OS2-i8-accu-19,2.983860e+01,5.757600e-04,1.729920e-04,1.939520e-04,1.239520e-04,5.324800e-05,
-1.000000,2048,2048,OS2-i8-accu-20,2.838034e+01,6.053440e-04,1.760000e-04,2.097600e-04,1.322560e-04,5.529600e-05,
-1.000000,2048,2048,OS2-f8-fast-9,3.317909e+01,5.177920e-04,1.082720e-04,2.389600e-04,1.066240e-04,4.096000e-05,
