phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.084851e+01,1.979520e-04,3.545600e-05,7.881600e-05,4.614400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.062690e+01,2.020800e-04,3.689600e-05,7.884800e-05,4.811200e-05,1.536000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.533186e+00,2.252640e-04,3.908800e-05,9.142400e-05,5.500800e-05,1.544000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.360327e+00,2.294240e-04,4.008000e-05,9.131200e-05,5.672000e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.131079e+00,2.351840e-04,4.161600e-05,9.131200e-05,5.867200e-05,1.691200e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.943675e+00,2.401120e-04,4.355200e-05,9.158400e-05,6.136000e-05,1.740800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.123085e+00,2.643680e-04,4.499200e-05,1.046240e-04,6.832000e-05,1.846400e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.726096e+00,2.779520e-04,5.406400e-05,1.042560e-04,7.137600e-05,1.948800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.537781e+00,2.848960e-04,5.564800e-05,1.073280e-04,7.283200e-05,1.948800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.379466e+00,2.910080e-04,5.788800e-05,1.065600e-04,7.524800e-05,2.051200e-05,
-1.000000,1024,1024,OS2-i8-fast-19,7.244439e+00,2.964320e-04,5.979200e-05,1.074720e-04,7.726400e-05,2.051200e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.726694e+00,3.192480e-04,6.115200e-05,1.209920e-04,8.345600e-05,2.144000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.482001e+00,2.264800e-04,6.524800e-05,7.808000e-05,4.572800e-05,1.436800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.355108e+00,2.295520e-04,6.627200e-05,7.764800e-05,4.780800e-05,1.484800e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.483517e+00,2.531360e-04,6.689600e-05,9.100800e-05,5.523200e-05,1.536000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.313784e+00,2.583040e-04,6.900800e-05,9.113600e-05,5.624000e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.154671e+00,2.633440e-04,7.032000e-05,9.120000e-05,5.854400e-05,1.723200e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.018265e+00,2.678240e-04,7.129600e-05,9.131200e-05,6.102400e-05,1.740800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.365292e+00,2.915680e-04,7.312000e-05,1.046400e-04,6.742400e-05,1.846400e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.030051e+00,3.054720e-04,8.241600e-05,1.043520e-04,7.102400e-05,1.907200e-05,
-1.000000,1024,1024,OS2-i8-accu-17,6.882960e+00,3.120000e-04,8.382400e-05,1.066240e-04,7.227200e-05,1.948800e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.762280e+00,3.175680e-04,8.636800e-05,1.067520e-04,7.347200e-05,2.150400e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.627709e+00,3.240160e-04,8.729600e-05,1.075680e-04,7.694400e-05,2.051200e-05,
-1.000000,1024,1024,OS2-i8-accu-20,6.231382e+00,3.446240e-04,8.921600e-05,1.197920e-04,8.265600e-05,2.107200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.188502e+00,2.622560e-04,4.787200e-05,1.167360e-04,5.854400e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.455298e+00,2.880480e-04,5.016000e-05,1.328160e-04,6.398400e-05,1.731200e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.100716e+00,3.024320e-04,5.332800e-05,1.386880e-04,6.657600e-05,1.932800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.488023e+00,3.309920e-04,5.643200e-05,1.545600e-04,7.452800e-05,2.048000e-05,
