phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.894928e+01,1.133280e-04,2.544000e-05,3.980800e-05,1.937600e-05,1.100800e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.605091e+01,1.337920e-04,2.624000e-05,5.217600e-05,2.537600e-05,1.126400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.553806e+01,1.382080e-04,2.681600e-05,5.276800e-05,2.806400e-05,1.171200e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.339097e+01,1.603680e-04,2.804800e-05,6.507200e-05,3.459200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.296790e+01,1.656000e-04,2.870400e-05,6.585600e-05,3.699200e-05,1.329600e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.138307e+01,1.886560e-04,3.123200e-05,7.864000e-05,4.406400e-05,1.329600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.112732e+01,1.929920e-04,3.281600e-05,7.870400e-05,4.608000e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.088105e+01,1.973600e-04,3.422400e-05,7.870400e-05,4.822400e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.717472e+00,2.209920e-04,3.606400e-05,9.139200e-05,5.456000e-05,1.398400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.533186e+00,2.252640e-04,3.763200e-05,9.158400e-05,5.632000e-05,1.536000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.504852e+01,1.427040e-04,5.689600e-05,3.892800e-05,1.894400e-05,1.126400e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.294788e+01,1.658560e-04,5.875200e-05,5.177600e-05,2.537600e-05,1.129600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.262988e+01,1.700320e-04,5.867200e-05,5.216000e-05,2.806400e-05,1.193600e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.110339e+01,1.934080e-04,6.028800e-05,6.510400e-05,3.427200e-05,1.232000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.088634e+01,1.972640e-04,6.078400e-05,6.556800e-05,3.712000e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-8,9.718880e+00,2.209600e-04,6.342400e-05,7.817600e-05,4.361600e-05,1.304000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.603443e+00,2.236160e-04,6.393600e-05,7.817600e-05,4.515200e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.410203e+00,2.282080e-04,6.520000e-05,7.798400e-05,4.724800e-05,1.342400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.539653e+00,2.514720e-04,6.694400e-05,9.110400e-05,5.454400e-05,1.344000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.401210e+00,2.556160e-04,6.715200e-05,9.153600e-05,5.638400e-05,1.534400e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.744447e+01,1.231040e-04,2.710400e-05,4.510400e-05,2.193600e-05,1.113600e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.454619e+01,1.476320e-04,2.931200e-05,5.960000e-05,2.822400e-05,1.139200e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.222718e+01,1.756320e-04,3.088000e-05,7.526400e-05,3.654400e-05,1.315200e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.068272e+01,2.010240e-04,3.473600e-05,8.971200e-05,4.284800e-05,1.307200e-05,
-1.000000,1024,1024,OS2-f8-fast-7,1.011742e+01,2.122560e-04,3.760000e-05,9.355200e-05,4.632000e-05,1.318400e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.842913e+00,2.428480e-04,4.139200e-05,1.114720e-04,5.364800e-05,1.344000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.339094e+00,2.575200e-04,4.478400e-05,1.158560e-04,5.846400e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.579925e+00,2.833120e-04,4.739200e-05,1.329920e-04,6.409600e-05,1.523200e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.272309e+00,2.952960e-04,4.979200e-05,1.383520e-04,6.638400e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.648062e+00,3.230240e-04,5.305600e-05,1.541280e-04,7.275200e-05,1.728000e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.464300e+01,1.466560e-04,5.072000e-05,4.508800e-05,2.200000e-05,1.113600e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.250049e+01,1.717920e-04,5.198400e-05,5.996800e-05,2.944000e-05,1.140800e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.079007e+01,1.990240e-04,5.448000e-05,7.528000e-05,3.584000e-05,1.315200e-05,
-1.000000,1024,1024,OS2-f8-accu-6,9.552183e+00,2.248160e-04,5.715200e-05,8.996800e-05,4.414400e-05,1.315200e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.139784e+00,2.349600e-04,5.912000e-05,9.398400e-05,4.705600e-05,1.315200e-05,
-1.000000,1024,1024,OS2-f8-accu-8,8.098090e+00,2.651840e-04,6.238400e-05,1.114880e-04,5.454400e-05,1.344000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.700828e+00,2.788640e-04,6.681600e-05,1.157280e-04,5.787200e-05,1.510400e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.053696e+00,3.044480e-04,6.857600e-05,1.319520e-04,6.385600e-05,1.520000e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.755812e+00,3.178720e-04,7.182400e-05,1.370880e-04,6.843200e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.169228e+00,3.480960e-04,7.516800e-05,1.540000e-04,7.563200e-05,1.729600e-05,
-1.000000,1024,1024,BF16x9,2.052887e+01,1.046080e-04,,,,,
-1.000000,1024,1024,SSYR2K,1.992839e+01,1.077600e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.056625e+02,1.625920e-04,5.328000e-05,4.838400e-05,2.476800e-05,1.942400e-05,
-1.000000,2048,2048,OS2-i8-fast-4,8.979276e+01,1.913280e-04,5.550400e-05,6.494400e-05,3.187200e-05,2.051200e-05,
-1.000000,2048,2048,OS2-i8-fast-5,8.224755e+01,2.088800e-04,5.891200e-05,7.161600e-05,3.833600e-05,2.080000e-05,
-1.000000,2048,2048,OS2-i8-fast-6,7.141140e+01,2.405760e-04,6.163200e-05,8.905600e-05,4.657600e-05,2.256000e-05,
-1.000000,2048,2048,OS2-i8-fast-7,6.746728e+01,2.546400e-04,6.388800e-05,9.350400e-05,5.161600e-05,2.460800e-05,
-1.000000,2048,2048,OS2-i8-fast-8,5.917889e+01,2.903040e-04,7.132800e-05,1.106240e-04,5.968000e-05,2.665600e-05,
-1.000000,2048,2048,OS2-i8-fast-9,5.604080e+01,3.065600e-04,7.718400e-05,1.155680e-04,6.339200e-05,2.764800e-05,
-1.000000,2048,2048,OS2-i8-fast-10,5.364418e+01,3.202560e-04,7.971200e-05,1.209280e-04,6.729600e-05,2.867200e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.835586e+01,3.552800e-04,8.528000e-05,1.380320e-04,7.630400e-05,3.075200e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.637593e+01,3.704480e-04,8.832000e-05,1.427200e-04,8.137600e-05,3.280000e-05,
-1.000000,2048,2048,OS2-i8-accu-3,8.043010e+01,2.136000e-04,1.040800e-04,4.870400e-05,2.448000e-05,1.912000e-05,
