phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.083479e+01,1.030720e-04,1.472000e-05,4.012800e-05,2.020800e-05,1.126400e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.721181e+01,1.247680e-04,1.542400e-05,5.318400e-05,2.688000e-05,1.126400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.693385e+01,1.268160e-04,1.542400e-05,5.209600e-05,2.753600e-05,1.152000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.446779e+01,1.484320e-04,1.654400e-05,6.488000e-05,3.398400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.392589e+01,1.542080e-04,1.715200e-05,6.592000e-05,3.680000e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.202022e+01,1.786560e-04,2.121600e-05,7.878400e-05,4.352000e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.186403e+01,1.810080e-04,2.147200e-05,7.868800e-05,4.497600e-05,1.310400e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.153172e+01,1.862240e-04,2.334400e-05,7.881600e-05,4.739200e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.034752e+01,2.075360e-04,2.347200e-05,9.132800e-05,5.428800e-05,1.395200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.006734e+01,2.133120e-04,2.580800e-05,9.136000e-05,5.561600e-05,1.484800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.665646e+01,1.289280e-04,4.208000e-05,3.945600e-05,1.900800e-05,1.126400e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.434870e+01,1.496640e-04,4.264000e-05,5.171200e-05,2.553600e-05,1.126400e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.380415e+01,1.555680e-04,4.358400e-05,5.219200e-05,2.806400e-05,1.190400e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.207537e+01,1.778400e-04,4.467200e-05,6.508800e-05,3.454400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.181182e+01,1.818080e-04,4.499200e-05,6.553600e-05,3.721600e-05,1.283200e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.047185e+01,2.050720e-04,4.755200e-05,7.809600e-05,4.377600e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.032762e+01,2.079360e-04,4.795200e-05,7.819200e-05,4.604800e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.007111e+01,2.132320e-04,4.928000e-05,7.843200e-05,4.788800e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.082881e+00,2.364320e-04,5.128000e-05,9.132800e-05,5.475200e-05,1.392000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.984385e+00,2.390240e-04,5.131200e-05,9.137600e-05,5.590400e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.926755e+01,1.114560e-04,1.705600e-05,4.512000e-05,1.995200e-05,1.112000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.584064e+01,1.355680e-04,1.771200e-05,5.984000e-05,2.700800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.323907e+01,1.622080e-04,2.054400e-05,7.500800e-05,3.353600e-05,1.313600e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.127691e+01,1.904320e-04,2.579200e-05,9.046400e-05,4.011200e-05,1.318400e-05,
-1.000000,1024,1024,OS2-f8-fast-7,1.043684e+01,2.057600e-04,3.131200e-05,9.385600e-05,4.588800e-05,1.315200e-05,
-1.000000,1024,1024,OS2-f8-fast-8,9.054694e+00,2.371680e-04,3.401600e-05,1.111040e-04,5.563200e-05,1.339200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.686669e+00,2.472160e-04,3.619200e-05,1.150080e-04,5.683200e-05,1.508800e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.737676e+00,2.775360e-04,4.008000e-05,1.322720e-04,6.569600e-05,1.510400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.436297e+00,2.887840e-04,4.355200e-05,1.363360e-04,6.676800e-05,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.776277e+00,3.169120e-04,4.468800e-05,1.528800e-04,7.569600e-05,1.715200e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.608939e+01,1.334720e-04,3.651200e-05,4.464000e-05,2.348800e-05,1.110400e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.356831e+01,1.582720e-04,3.859200e-05,5.984000e-05,2.955200e-05,1.129600e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.155257e+01,1.858880e-04,3.972800e-05,7.497600e-05,3.809600e-05,1.276800e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.003497e+01,2.140000e-04,4.468800e-05,8.964800e-05,4.555200e-05,1.318400e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.606881e+00,2.235360e-04,4.774400e-05,9.364800e-05,4.688000e-05,1.318400e-05,
-1.000000,1024,1024,OS2-f8-accu-8,8.519056e+00,2.520800e-04,4.995200e-05,1.101120e-04,5.430400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-9,8.119154e+00,2.644960e-04,5.257600e-05,1.151680e-04,5.777600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.296821e+00,2.943040e-04,5.526400e-05,1.321440e-04,6.684800e-05,1.504000e-05,
-1.000000,1024,1024,OS2-f8-accu-11,7.043332e+00,3.048960e-04,5.830400e-05,1.362720e-04,6.734400e-05,1.712000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.441317e+00,3.333920e-04,6.072000e-05,1.525120e-04,7.651200e-05,1.718400e-05,
-1.000000,1024,1024,BF16x9,1.606628e+01,1.336640e-04,,,,,
-1.000000,1024,1024,SSYR2K,1.561943e+01,1.374880e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.180715e+02,1.455040e-04,3.884800e-05,4.624000e-05,2.460800e-05,1.843200e-05,
-1.000000,2048,2048,OS2-i8-fast-4,9.668994e+01,1.776800e-04,4.246400e-05,6.326400e-05,3.350400e-05,2.048000e-05,
-1.000000,2048,2048,OS2-i8-fast-5,8.791074e+01,1.954240e-04,4.428800e-05,7.161600e-05,3.830400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-6,7.632512e+01,2.250880e-04,4.640000e-05,8.902400e-05,4.652800e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-7,7.212130e+01,2.382080e-04,4.864000e-05,9.315200e-05,5.062400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-8,6.137070e+01,2.799360e-04,6.070400e-05,1.110080e-04,5.971200e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-9,5.828268e+01,2.947680e-04,6.361600e-05,1.164480e-04,6.436800e-05,2.683200e-05,
-1.000000,2048,2048,OS2-i8-fast-10,5.544469e+01,3.098560e-04,6.628800e-05,1.223680e-04,6.844800e-05,2.931200e-05,
-1.000000,2048,2048,OS2-i8-fast-11,5.057187e+01,3.397120e-04,6.819200e-05,1.395040e-04,7.670400e-05,3.072000e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.849782e+01,3.542400e-04,7.094400e-05,1.431040e-04,8.179200e-05,3.276800e-05,
-1.000000,2048,2048,OS2-i8-accu-3,9.238078e+01,1.859680e-04,7.848000e-05,4.680000e-05,2.432000e-05,1.843200e-05,
-1.000000,2048,2048,OS2-i8-accu-4,7.934248e+01,2.165280e-04,8.019200e-05,6.392000e-05,3.276800e-05,2.048000e-05,
-1.000000,2048,2048,OS2-i8-accu-5,7.320801e+01,2.346720e-04,8.337600e-05,7.212800e-05,3.736000e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-accu-6,6.513448e+01,2.637600e-04,8.544000e-05,8.862400e-05,4.542400e-05,2.262400e-05,
-1.000000,2048,2048,OS2-i8-accu-7,6.170930e+01,2.784000e-04,8.883200e-05,9.369600e-05,4.945600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-8,5.405738e+01,3.178080e-04,9.950400e-05,1.108000e-04,5.832000e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-9,5.162717e+01,3.327680e-04,1.020800e-04,1.154880e-04,6.416000e-05,2.692800e-05,
-1.000000,2048,2048,OS2-i8-accu-10,4.919103e+01,3.492480e-04,1.067680e-04,1.221760e-04,6.739200e-05,2.875200e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.523113e+01,3.798240e-04,1.104320e-04,1.376160e-04,7.576000e-05,3.073600e-05,
-1.000000,2048,2048,OS2-i8-accu-12,4.328208e+01,3.969280e-04,1.133920e-04,1.429600e-04,8.083200e-05,3.276800e-05,
-1.000000,2048,2048,OS2-f8-fast-3,8.350119e+01,2.057440e-04,4.824000e-05,8.659200e-05,3.072000e-05,2.252800e-05,
-1.000000,2048,2048,OS2-f8-fast-4,6.758194e+01,2.542080e-04,5.230400e-05,1.164160e-04,4.233600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-5,5.670972e+01,3.029440e-04,5.660800e-05,1.460640e-04,5.363200e-05,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-6,4.760127e+01,3.609120e-04,7.088000e-05,1.762880e-04,6.449600e-05,2.867200e-05,
-1.000000,2048,2048,OS2-f8-fast-7,4.205310e+01,4.085280e-04,8.083200e-05,1.950400e-04,7.980800e-05,3.072000e-05,
-1.000000,2048,2048,OS2-f8-fast-8,3.714213e+01,4.625440e-04,9.216000e-05,2.228320e-04,9.132800e-05,3.276800e-05,
-1.000000,2048,2048,OS2-f8-fast-9,3.411628e+01,5.035680e-04,1.016000e-04,2.384800e-04,1.040480e-04,3.558400e-05,
-1.000000,2048,2048,OS2-f8-fast-10,3.075919e+01,5.585280e-04,1.112640e-04,2.668000e-04,1.174560e-04,3.886400e-05,
-1.000000,2048,2048,OS2-f8-fast-11,2.820515e+01,6.091040e-04,1.261760e-04,2.828640e-04,1.326720e-04,4.171200e-05,
-1.000000,2048,2048,OS2-f8-fast-12,2.594457e+01,6.621760e-04,1.345760e-04,3.133760e-04,1.423680e-04,4.505600e-05,
-1.000000,2048,2048,OS2-f8-accu-3,7.123611e+01,2.411680e-04,8.408000e-05,8.643200e-05,3.068800e-05,2.252800e-05,
-1.000000,2048,2048,OS2-f8-accu-4,5.854644e+01,2.934400e-04,9.048000e-05,1.161600e-04,4.300800e-05,2.457600e-05,
-1.000000,2048,2048,OS2-f8-accu-5,5.016547e+01,3.424640e-04,9.622400e-05,1.458560e-04,5.331200e-05,2.662400e-05,
-1.000000,2048,2048,OS2-f8-accu-6,4.294452e+01,4.000480e-04,1.107200e-04,1.744640e-04,6.462400e-05,2.867200e-05,
