phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.854861e+01,1.157760e-04,2.588800e-05,4.027200e-05,1.948800e-05,1.116800e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.575141e+01,1.363360e-04,2.672000e-05,5.299200e-05,2.624000e-05,1.126400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.540608e+01,1.393920e-04,2.710400e-05,5.280000e-05,2.822400e-05,1.193600e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.329020e+01,1.615840e-04,2.806400e-05,6.572800e-05,3.473600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.296664e+01,1.656160e-04,2.864000e-05,6.592000e-05,3.726400e-05,1.280000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.143154e+01,1.878560e-04,3.088000e-05,7.873600e-05,4.336000e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.112732e+01,1.929920e-04,3.240000e-05,7.883200e-05,4.560000e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.090315e+01,1.969600e-04,3.358400e-05,7.875200e-05,4.835200e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.745696e+00,2.203520e-04,3.556800e-05,9.132800e-05,5.460800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.522365e+00,2.255200e-04,3.728000e-05,9.142400e-05,5.633600e-05,1.536000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.489157e+01,1.442080e-04,5.780800e-05,3.896000e-05,1.888000e-05,1.126400e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.296790e+01,1.656000e-04,5.833600e-05,5.174400e-05,2.537600e-05,1.177600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.265012e+01,1.697600e-04,5.944000e-05,5.216000e-05,2.790400e-05,1.184000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.122409e+01,1.913280e-04,5.929600e-05,6.529600e-05,3.432000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.090846e+01,1.968640e-04,6.112000e-05,6.547200e-05,3.708800e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-8,9.805503e+00,2.190080e-04,6.288000e-05,7.795200e-05,4.356800e-05,1.296000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,9.569209e+00,2.244160e-04,6.464000e-05,7.808000e-05,4.521600e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.390452e+00,2.286880e-04,6.582400e-05,7.801600e-05,4.716800e-05,1.384000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,8.584440e+00,2.501600e-04,6.620800e-05,9.102400e-05,5.446400e-05,1.331200e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.406998e+00,2.554400e-04,6.811200e-05,9.104000e-05,5.584000e-05,1.536000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.737221e+01,1.236160e-04,2.708800e-05,4.595200e-05,2.185600e-05,1.123200e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.463183e+01,1.467680e-04,2.888000e-05,6.022400e-05,2.809600e-05,1.126400e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.224726e+01,1.753440e-04,3.145600e-05,7.542400e-05,3.660800e-05,1.232000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.066066e+01,2.014400e-04,3.481600e-05,8.979200e-05,4.284800e-05,1.328000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,1.013729e+01,2.118400e-04,3.827200e-05,9.321600e-05,4.606400e-05,1.318400e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.917529e+00,2.408160e-04,4.115200e-05,1.100800e-04,5.392000e-05,1.328000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.480301e+00,2.532320e-04,4.486400e-05,1.155840e-04,5.563200e-05,1.353600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.564545e+00,2.838880e-04,4.739200e-05,1.332640e-04,6.396800e-05,1.528000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.288896e+00,2.946240e-04,4.992000e-05,1.380960e-04,6.547200e-05,1.601600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.662583e+00,3.223200e-04,5.280000e-05,1.542240e-04,7.256000e-05,1.734400e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.466700e+01,1.464160e-04,5.075200e-05,4.492800e-05,2.185600e-05,1.126400e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.250864e+01,1.716800e-04,5.251200e-05,5.937600e-05,2.934400e-05,1.129600e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.093691e+01,1.963520e-04,5.356800e-05,7.507200e-05,3.673600e-05,1.148800e-05,
-1.000000,1024,1024,OS2-f8-accu-6,9.564436e+00,2.245280e-04,5.670400e-05,9.020800e-05,4.409600e-05,1.324800e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.199927e+00,2.334240e-04,5.952000e-05,9.331200e-05,4.657600e-05,1.315200e-05,
