phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.155329e+01,3.985440e-04,8.422400e-05,2.145440e-04,5.620800e-05,1.929600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.946948e+01,4.412000e-04,8.824000e-05,2.436320e-04,6.368000e-05,1.945600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.907925e+01,4.502240e-04,9.110400e-05,2.447040e-04,6.737600e-05,2.137600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.741278e+01,4.933120e-04,9.451200e-05,2.743680e-04,7.403200e-05,2.176000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.700950e+01,5.050080e-04,9.849600e-05,2.777760e-04,7.755200e-05,2.339200e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.665336e+01,5.158080e-04,1.021920e-04,2.771520e-04,8.203200e-05,2.550400e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.533610e+01,5.601120e-04,1.061440e-04,3.075680e-04,8.883200e-05,2.748800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.475285e+01,5.822560e-04,1.237440e-04,3.081920e-04,9.174400e-05,2.752000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.447325e+01,5.935040e-04,1.285600e-04,3.085280e-04,9.556800e-05,2.944000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.346385e+01,6.380000e-04,1.333440e-04,3.394400e-04,1.024640e-04,2.960000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.318413e+01,6.515360e-04,1.389280e-04,3.418240e-04,1.060480e-04,3.158400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.297573e+01,6.620000e-04,1.424960e-04,3.415840e-04,1.092000e-04,3.366400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.990180e+01,4.316160e-04,1.171840e-04,2.142080e-04,5.635200e-05,1.923200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.808986e+01,4.748480e-04,1.210560e-04,2.441760e-04,6.321600e-05,1.948800e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.771033e+01,4.850240e-04,1.250400e-04,2.451200e-04,6.691200e-05,2.134400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.624814e+01,5.286720e-04,1.294400e-04,2.748000e-04,7.416000e-05,2.252800e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.590776e+01,5.399840e-04,1.326400e-04,2.770560e-04,7.771200e-05,2.342400e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.555787e+01,5.521280e-04,1.370080e-04,2.768960e-04,8.204800e-05,2.550400e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.436137e+01,5.981280e-04,1.427200e-04,3.075520e-04,8.924800e-05,2.748800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.383617e+01,6.208320e-04,1.607840e-04,3.085760e-04,9.115200e-05,2.755200e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.361028e+01,6.311360e-04,1.655840e-04,3.089120e-04,9.510400e-05,2.944000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.269949e+01,6.764000e-04,1.715040e-04,3.395200e-04,1.024960e-04,2.960000e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.244831e+01,6.900480e-04,1.764480e-04,3.417760e-04,1.065920e-04,3.158400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.222523e+01,7.026400e-04,1.816960e-04,3.423200e-04,1.089920e-04,3.366400e-05,
-1.000000,1024,1024,OS2-f8-fast-9,1.961889e+01,4.378400e-04,1.101760e-04,1.924960e-04,9.040000e-05,2.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.856464e+01,4.627040e-04,1.183520e-04,2.011840e-04,9.742400e-05,2.121600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.697347e+01,5.060800e-04,1.266400e-04,2.224320e-04,1.088800e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.616497e+01,5.313920e-04,1.333280e-04,2.313920e-04,1.163360e-04,2.336000e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.434486e+01,5.988160e-04,1.680640e-04,2.522880e-04,1.238880e-04,2.662400e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.369464e+01,6.272480e-04,1.768640e-04,2.607200e-04,1.320640e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.271543e+01,6.755520e-04,1.865280e-04,2.835040e-04,1.436640e-04,3.139200e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.226601e+01,7.003040e-04,1.964320e-04,2.917920e-04,1.501120e-04,3.145600e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.151737e+01,7.458240e-04,2.063360e-04,3.145440e-04,1.602240e-04,3.276800e-05,
-1.000000,1024,1024,OS2-f8-fast-18,1.111465e+01,7.728480e-04,2.154560e-04,3.218560e-04,1.681760e-04,3.481600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,1.060905e+01,8.096800e-04,2.262400e-04,3.305120e-04,1.826240e-04,3.686400e-05,
-1.000000,1024,1024,OS2-f8-fast-20,1.005320e+01,8.544480e-04,2.358080e-04,3.532000e-04,1.930880e-04,3.771200e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.881909e+01,4.564480e-04,1.274880e-04,1.925760e-04,9.104000e-05,2.065600e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.777777e+01,4.831840e-04,1.369440e-04,2.000960e-04,9.844800e-05,2.128000e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.644271e+01,5.224160e-04,1.433280e-04,2.222400e-04,1.083200e-04,2.137600e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.560218e+01,5.505600e-04,1.519040e-04,2.313280e-04,1.157120e-04,2.329600e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.390749e+01,6.176480e-04,1.863200e-04,2.528320e-04,1.232960e-04,2.732800e-05,
-1.000000,1024,1024,OS2-f8-accu-14,1.330304e+01,6.457120e-04,1.950720e-04,2.608800e-04,1.320320e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-accu-15,1.242814e+01,6.911680e-04,2.045760e-04,2.826720e-04,1.425440e-04,3.145600e-05,
-1.000000,1024,1024,OS2-f8-accu-16,1.198239e+01,7.168800e-04,2.132640e-04,2.918080e-04,1.493920e-04,3.145600e-05,
-1.000000,1024,1024,OS2-f8-accu-17,1.129351e+01,7.606080e-04,2.233280e-04,3.136480e-04,1.590560e-04,3.347200e-05,
-1.000000,1024,1024,OS2-f8-accu-18,1.088877e+01,7.888800e-04,2.336960e-04,3.220800e-04,1.660800e-04,3.481600e-05,
-1.000000,1024,1024,OS2-f8-accu-19,1.035810e+01,8.292960e-04,2.445600e-04,3.307040e-04,1.838240e-04,3.763200e-05,
