phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.392579e+01,3.590240e-04,4.486400e-05,2.133600e-04,5.723200e-05,1.934400e-05,
-1.000000,1024,1024,OS2-i8-fast-10,2.141231e+01,4.011680e-04,4.804800e-05,2.444320e-04,6.414400e-05,1.945600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,2.084450e+01,4.120960e-04,5.016000e-05,2.460800e-04,6.808000e-05,2.137600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.847139e+01,4.650400e-04,6.587200e-05,2.747360e-04,7.433600e-05,2.332800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.810206e+01,4.745280e-04,6.888000e-05,2.759520e-04,7.904000e-05,2.339200e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.771091e+01,4.850080e-04,7.124800e-05,2.772480e-04,8.195200e-05,2.553600e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.627967e+01,5.276480e-04,7.312000e-05,3.085120e-04,8.929600e-05,2.755200e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.566637e+01,5.483040e-04,8.900800e-05,3.088160e-04,9.222400e-05,2.760000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.534926e+01,5.596320e-04,9.307200e-05,3.100960e-04,9.558400e-05,2.953600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.430397e+01,6.005280e-04,9.648000e-05,3.393600e-04,1.024320e-04,2.960000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.400655e+01,6.132800e-04,1.021760e-04,3.410080e-04,1.052960e-04,3.164800e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.407226e+01,6.104160e-04,8.955200e-05,3.425760e-04,1.103520e-04,3.366400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,2.102243e+01,4.086080e-04,9.638400e-05,2.126240e-04,5.643200e-05,1.932800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.901505e+01,4.517440e-04,9.974400e-05,2.432000e-04,6.318400e-05,1.958400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.861808e+01,4.613760e-04,1.015360e-04,2.449920e-04,6.740800e-05,2.136000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.705002e+01,5.038080e-04,1.050880e-04,2.742080e-04,7.489600e-05,2.332800e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.671766e+01,5.138240e-04,1.081280e-04,2.761280e-04,7.814400e-05,2.339200e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.640252e+01,5.236960e-04,1.104640e-04,2.777120e-04,8.144000e-05,2.547200e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.509379e+01,5.691040e-04,1.151040e-04,3.085760e-04,8.792000e-05,2.755200e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.447560e+01,5.934080e-04,1.344320e-04,3.085920e-04,9.196800e-05,2.753600e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.421346e+01,6.043520e-04,1.391040e-04,3.092640e-04,9.512000e-05,2.944000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.326098e+01,6.477600e-04,1.433280e-04,3.393600e-04,1.026240e-04,2.956800e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.303053e+01,6.592160e-04,1.473600e-04,3.407520e-04,1.061760e-04,3.158400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.279513e+01,6.713440e-04,1.512320e-04,3.419040e-04,1.101600e-04,3.369600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,2.110342e+01,4.070400e-04,7.699200e-05,1.945120e-04,9.126400e-05,1.971200e-05,
-1.000000,1024,1024,OS2-f8-fast-10,2.001010e+01,4.292800e-04,8.310400e-05,2.021760e-04,9.852800e-05,2.124800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.634559e+01,5.255200e-04,1.429760e-04,2.241280e-04,1.107840e-04,2.150400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.543753e+01,5.564320e-04,1.565440e-04,2.321760e-04,1.167680e-04,2.457600e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.332186e+01,6.448000e-04,2.060480e-04,2.553120e-04,1.279200e-04,2.739200e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.275349e+01,6.735360e-04,2.205280e-04,2.627520e-04,1.327840e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.183734e+01,7.256640e-04,2.355520e-04,2.853280e-04,1.442080e-04,3.152000e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.138427e+01,7.545440e-04,2.496160e-04,2.932320e-04,1.503040e-04,3.158400e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.069102e+01,8.034720e-04,2.621280e-04,3.156000e-04,1.617920e-04,3.276800e-05,
-1.000000,1024,1024,OS2-f8-fast-18,9.983467e+00,8.604160e-04,3.007840e-04,3.248800e-04,1.683840e-04,3.481600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,8.783739e+00,9.779360e-04,3.914240e-04,3.321600e-04,1.856000e-04,3.686400e-05,
-1.000000,1024,1024,OS2-f8-fast-20,7.967454e+00,1.078128e-03,4.572320e-04,3.531680e-04,1.951840e-04,3.891200e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.911593e+01,4.493600e-04,1.194240e-04,1.939040e-04,9.097600e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.798141e+01,4.777120e-04,1.278240e-04,2.024160e-04,1.005440e-04,2.150400e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.657418e+01,5.182720e-04,1.365440e-04,2.242400e-04,1.099360e-04,2.150400e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.568285e+01,5.477280e-04,1.475680e-04,2.327360e-04,1.168320e-04,2.355200e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.361338e+01,6.309920e-04,1.926240e-04,2.552160e-04,1.277760e-04,2.708800e-05,
-1.000000,1024,1024,OS2-f8-accu-14,1.306223e+01,6.576160e-04,2.041760e-04,2.622560e-04,1.333120e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-accu-15,1.215823e+01,7.065120e-04,2.166240e-04,2.854080e-04,1.436960e-04,3.152000e-05,
-1.000000,1024,1024,OS2-f8-accu-16,1.175647e+01,7.306560e-04,2.276320e-04,2.922720e-04,1.483200e-04,3.158400e-05,
-1.000000,1024,1024,OS2-f8-accu-17,1.106220e+01,7.765120e-04,2.362400e-04,3.152960e-04,1.606240e-04,3.276800e-05,
-1.000000,1024,1024,OS2-f8-accu-18,1.065854e+01,8.059200e-04,2.473440e-04,3.239360e-04,1.672320e-04,3.481600e-05,
-1.000000,1024,1024,OS2-f8-accu-19,1.009421e+01,8.509760e-04,2.675840e-04,3.302240e-04,1.828800e-04,3.686400e-05,
-1.000000,1024,1024,OS2-f8-accu-20,9.531494e+00,9.012160e-04,2.821120e-04,3.523200e-04,1.945600e-04,3.891200e-05,
-1.000000,1024,1024,OS1-6,1.963037e+01,4.375840e-04,,,,,
-1.000000,1024,1024,OS1-7,1.964114e+01,4.373440e-04,,,,,
-1.000000,1024,1024,OS1-8,1.961817e+01,4.378560e-04,,,,,
-1.000000,1024,1024,OS1-9,1.962750e+01,4.376480e-04,,,,,
-1.000000,1024,1024,ZSYR2K,1.963611e+01,4.374560e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,1.113436e+02,6.171840e-04,1.344000e-04,3.116000e-04,1.040800e-04,4.337600e-05,
-1.000000,2048,2048,OS2-i8-fast-10,1.007404e+02,6.821440e-04,1.426400e-04,3.515360e-04,1.164480e-04,4.622400e-05,
-1.000000,2048,2048,OS2-i8-fast-11,9.449873e+01,7.272000e-04,1.509120e-04,3.712480e-04,1.299360e-04,4.992000e-05,
-1.000000,2048,2048,OS2-i8-fast-12,8.262412e+01,8.317120e-04,2.052800e-04,4.072960e-04,1.397280e-04,5.206400e-05,
-1.000000,2048,2048,OS2-i8-fast-13,7.822971e+01,8.784320e-04,2.139360e-04,4.277280e-04,1.529280e-04,5.600000e-05,
-1.000000,2048,2048,OS2-i8-fast-14,7.439749e+01,9.236800e-04,2.234240e-04,4.445760e-04,1.644160e-04,6.235200e-05,
-1.000000,2048,2048,OS2-i8-fast-15,6.968616e+01,9.861280e-04,2.316000e-04,4.821600e-04,1.761440e-04,6.630400e-05,
-1.000000,2048,2048,OS2-i8-fast-16,6.339155e+01,1.084048e-03,2.949440e-04,5.016800e-04,1.891040e-04,6.832000e-05,
-1.000000,2048,2048,OS2-i8-fast-17,6.061116e+01,1.133776e-03,3.121440e-04,5.181120e-04,2.025920e-04,7.036800e-05,
-1.000000,2048,2048,OS2-i8-fast-18,5.718008e+01,1.201808e-03,3.247200e-04,5.580960e-04,2.144320e-04,7.372800e-05,
-1.000000,2048,2048,OS2-i8-fast-19,5.446388e+01,1.261744e-03,3.478400e-04,5.765120e-04,2.278400e-04,7.668800e-05,
-1.000000,2048,2048,OS2-i8-fast-20,5.496784e+01,1.250176e-03,3.034240e-04,5.907360e-04,2.391840e-04,8.268800e-05,
-1.000000,2048,2048,OS2-i8-accu-9,9.771060e+01,7.032960e-04,2.226880e-04,3.110240e-04,1.025920e-04,4.300800e-05,
-1.000000,2048,2048,OS2-i8-accu-10,8.927390e+01,7.697600e-04,2.321920e-04,3.506560e-04,1.156800e-04,4.614400e-05,
-1.000000,2048,2048,OS2-i8-accu-11,8.436061e+01,8.145920e-04,2.415520e-04,3.685120e-04,1.291520e-04,4.988800e-05,
-1.000000,2048,2048,OS2-i8-accu-12,7.845979e+01,8.758560e-04,2.505280e-04,4.069920e-04,1.380640e-04,5.203200e-05,
-1.000000,2048,2048,OS2-i8-accu-13,7.436786e+01,9.240480e-04,2.583680e-04,4.292000e-04,1.528160e-04,5.600000e-05,
-1.000000,2048,2048,OS2-i8-accu-14,7.104756e+01,9.672320e-04,2.659840e-04,4.449440e-04,1.648800e-04,6.236800e-05,
-1.000000,2048,2048,OS2-i8-accu-15,6.642695e+01,1.034512e-03,2.785120e-04,4.828480e-04,1.765440e-04,6.633600e-05,
-1.000000,2048,2048,OS2-i8-accu-16,6.032596e+01,1.139136e-03,3.510080e-04,4.990080e-04,1.894720e-04,6.832000e-05,
-1.000000,2048,2048,OS2-i8-accu-17,5.770169e+01,1.190944e-03,3.696480e-04,5.168160e-04,2.024000e-04,7.036800e-05,
-1.000000,2048,2048,OS2-i8-accu-18,5.444179e+01,1.262256e-03,3.847680e-04,5.557600e-04,2.145600e-04,7.372800e-05,
-1.000000,2048,2048,OS2-i8-accu-19,5.238020e+01,1.311936e-03,3.983680e-04,5.738400e-04,2.281600e-04,7.670400e-05,
-1.000000,2048,2048,OS2-i8-accu-20,5.056710e+01,1.358976e-03,4.138560e-04,5.901600e-04,2.389600e-04,8.267200e-05,
-1.000000,2048,2048,OS2-f8-fast-9,6.002330e+01,1.144880e-03,2.500480e-04,5.399360e-04,2.859040e-04,4.508800e-05,
-1.000000,2048,2048,OS2-f8-fast-10,5.440869e+01,1.263024e-03,2.797280e-04,5.905920e-04,3.205760e-04,4.790400e-05,
-1.000000,2048,2048,OS2-f8-fast-11,4.344099e+01,1.581904e-03,5.008960e-04,6.539520e-04,3.515840e-04,4.812800e-05,
-1.000000,2048,2048,OS2-f8-fast-12,3.986049e+01,1.724000e-03,5.504800e-04,7.061280e-04,3.878080e-04,5.324800e-05,
-1.000000,2048,2048,OS2-f8-fast-13,3.458746e+01,1.986832e-03,7.136000e-04,7.688480e-04,4.160480e-04,6.036800e-05,
-1.000000,2048,2048,OS2-f8-fast-14,3.233286e+01,2.125376e-03,7.633440e-04,8.196960e-04,4.496640e-04,6.352000e-05,
-1.000000,2048,2048,OS2-f8-fast-15,3.023560e+01,2.272800e-03,8.117440e-04,8.768320e-04,4.844800e-04,6.966400e-05,
-1.000000,2048,2048,OS2-f8-fast-16,2.869586e+01,2.394752e-03,8.545440e-04,9.269920e-04,5.129600e-04,6.963200e-05,
-1.000000,2048,2048,OS2-f8-fast-17,2.705798e+01,2.539712e-03,8.960320e-04,9.907520e-04,5.475040e-04,7.376000e-05,
-1.000000,2048,2048,OS2-f8-fast-18,2.482224e+01,2.768464e-03,1.039584e-03,1.041312e-03,5.787520e-04,7.577600e-05,
-1.000000,2048,2048,OS2-f8-fast-19,2.143796e+01,3.205504e-03,1.381040e-03,1.103472e-03,6.078880e-04,7.990400e-05,
-1.000000,2048,2048,OS2-f8-fast-20,1.913245e+01,3.591776e-03,1.686800e-03,1.150480e-03,6.355360e-04,8.396800e-05,
-1.000000,2048,2048,OS2-f8-accu-9,5.550129e+01,1.238160e-03,3.440000e-04,5.383040e-04,2.865440e-04,4.508800e-05,
-1.000000,2048,2048,OS2-f8-accu-10,5.044712e+01,1.362208e-03,3.765760e-04,5.897760e-04,3.225760e-04,4.734400e-05,
-1.000000,2048,2048,OS2-f8-accu-11,4.624211e+01,1.486080e-03,4.089920e-04,6.518400e-04,3.513120e-04,4.806400e-05,
-1.000000,2048,2048,OS2-f8-accu-12,4.246221e+01,1.618368e-03,4.442400e-04,7.055840e-04,3.888480e-04,5.328000e-05,
-1.000000,2048,2048,OS2-f8-accu-13,3.652556e+01,1.881408e-03,6.110400e-04,7.653600e-04,4.158880e-04,6.147200e-05,
-1.000000,2048,2048,OS2-f8-accu-14,3.410274e+01,2.015072e-03,6.565440e-04,8.163840e-04,4.495840e-04,6.350400e-05,
