phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,2.151787e+01,3.992000e-04,8.457600e-05,2.150560e-04,5.643200e-05,1.920000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.945184e+01,4.416000e-04,8.790400e-05,2.433600e-04,6.387200e-05,2.124800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.906637e+01,4.505280e-04,9.155200e-05,2.447200e-04,6.784000e-05,2.144000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.733687e+01,4.954720e-04,9.449600e-05,2.750240e-04,7.537600e-05,2.329600e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.692318e+01,5.075840e-04,9.857600e-05,2.774080e-04,7.867200e-05,2.531200e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.663942e+01,5.162400e-04,1.024000e-04,2.771360e-04,8.219200e-05,2.550400e-05,
-1.000000,1024,1024,OS2-i8-fast-15,1.530637e+01,5.612000e-04,1.062400e-04,3.074080e-04,8.955200e-05,2.776000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,1.465339e+01,5.862080e-04,1.240960e-04,3.095040e-04,9.283200e-05,2.947200e-05,
-1.000000,1024,1024,OS2-i8-fast-17,1.445183e+01,5.943840e-04,1.288320e-04,3.094560e-04,9.438400e-05,2.956800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,1.341439e+01,6.403520e-04,1.339840e-04,3.398560e-04,1.025280e-04,3.152000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,1.315989e+01,6.527360e-04,1.392800e-04,3.413600e-04,1.063360e-04,3.174400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,1.293540e+01,6.640640e-04,1.430880e-04,3.441120e-04,1.091200e-04,3.360000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.990401e+01,4.315680e-04,1.184480e-04,2.140640e-04,5.612800e-05,1.923200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.806734e+01,4.754400e-04,1.212800e-04,2.445280e-04,6.416000e-05,2.118400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.771325e+01,4.849440e-04,1.250720e-04,2.447200e-04,6.779200e-05,2.147200e-05,
-1.000000,1024,1024,OS2-i8-accu-12,1.626438e+01,5.281440e-04,1.280960e-04,2.755840e-04,7.473600e-05,2.329600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,1.583737e+01,5.423840e-04,1.336320e-04,2.769440e-04,7.899200e-05,2.531200e-05,
-1.000000,1024,1024,OS2-i8-accu-14,1.559583e+01,5.507840e-04,1.378880e-04,2.770880e-04,8.152000e-05,2.563200e-05,
-1.000000,1024,1024,OS2-i8-accu-15,1.439178e+01,5.968640e-04,1.418400e-04,3.075680e-04,8.996800e-05,2.777600e-05,
-1.000000,1024,1024,OS2-i8-accu-16,1.386189e+01,6.196800e-04,1.580640e-04,3.090880e-04,9.280000e-05,2.947200e-05,
-1.000000,1024,1024,OS2-i8-accu-17,1.356180e+01,6.333920e-04,1.657600e-04,3.096160e-04,9.649600e-05,2.966400e-05,
-1.000000,1024,1024,OS2-i8-accu-18,1.268629e+01,6.771040e-04,1.709760e-04,3.393280e-04,1.027520e-04,3.155200e-05,
-1.000000,1024,1024,OS2-i8-accu-19,1.245438e+01,6.897120e-04,1.766240e-04,3.418400e-04,1.060800e-04,3.174400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,1.222217e+01,7.028160e-04,1.812160e-04,3.434720e-04,1.089440e-04,3.379200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,1.965624e+01,4.370080e-04,1.100320e-04,1.924800e-04,9.016000e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,1.863100e+01,4.610560e-04,1.185600e-04,2.004480e-04,9.579200e-05,2.131200e-05,
-1.000000,1024,1024,OS2-f8-fast-11,1.700896e+01,5.050240e-04,1.268640e-04,2.229440e-04,1.070880e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,1.622163e+01,5.295360e-04,1.339360e-04,2.303840e-04,1.154400e-04,2.332800e-05,
-1.000000,1024,1024,OS2-f8-fast-13,1.432993e+01,5.994400e-04,1.680480e-04,2.518080e-04,1.248160e-04,2.732800e-05,
-1.000000,1024,1024,OS2-f8-fast-14,1.370128e+01,6.269440e-04,1.769760e-04,2.604640e-04,1.318400e-04,2.937600e-05,
-1.000000,1024,1024,OS2-f8-fast-15,1.270971e+01,6.758560e-04,1.867680e-04,2.842080e-04,1.433440e-04,3.145600e-05,
-1.000000,1024,1024,OS2-f8-fast-16,1.226237e+01,7.005120e-04,1.966880e-04,2.911040e-04,1.497600e-04,3.158400e-05,
-1.000000,1024,1024,OS2-f8-fast-17,1.152034e+01,7.456320e-04,2.063680e-04,3.135200e-04,1.614720e-04,3.276800e-05,
-1.000000,1024,1024,OS2-f8-fast-18,1.112571e+01,7.720800e-04,2.152640e-04,3.204160e-04,1.677440e-04,3.552000e-05,
-1.000000,1024,1024,OS2-f8-fast-19,1.061870e+01,8.089440e-04,2.264480e-04,3.302400e-04,1.822240e-04,3.686400e-05,
-1.000000,1024,1024,OS2-f8-fast-20,1.003797e+01,8.557440e-04,2.359840e-04,3.524480e-04,1.937440e-04,3.961600e-05,
-1.000000,1024,1024,OS2-f8-accu-9,1.875990e+01,4.578880e-04,1.283840e-04,1.924160e-04,9.235200e-05,2.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,1.779014e+01,4.828480e-04,1.369440e-04,2.008160e-04,9.835200e-05,2.249600e-05,
-1.000000,1024,1024,OS2-f8-accu-11,1.641506e+01,5.232960e-04,1.449440e-04,2.225920e-04,1.066720e-04,2.326400e-05,
-1.000000,1024,1024,OS2-f8-accu-12,1.565039e+01,5.488640e-04,1.520960e-04,2.307040e-04,1.158080e-04,2.344000e-05,
-1.000000,1024,1024,OS2-f8-accu-13,1.392047e+01,6.170720e-04,1.858080e-04,2.525600e-04,1.241600e-04,2.662400e-05,
-1.000000,1024,1024,OS2-f8-accu-14,1.327968e+01,6.468480e-04,1.952160e-04,2.608640e-04,1.327840e-04,2.867200e-05,
-1.000000,1024,1024,OS2-f8-accu-15,1.242469e+01,6.913600e-04,2.052640e-04,2.832800e-04,1.416000e-04,3.148800e-05,
-1.000000,1024,1024,OS2-f8-accu-16,1.198078e+01,7.169760e-04,2.136160e-04,2.915840e-04,1.488000e-04,3.276800e-05,
-1.000000,1024,1024,OS2-f8-accu-17,1.129019e+01,7.608320e-04,2.231680e-04,3.132320e-04,1.604640e-04,3.347200e-05,
-1.000000,1024,1024,OS2-f8-accu-18,1.086519e+01,7.905920e-04,2.338240e-04,3.214080e-04,1.678560e-04,3.507200e-05,
-1.000000,1024,1024,OS2-f8-accu-19,1.035511e+01,8.295360e-04,2.440160e-04,3.318080e-04,1.833120e-04,3.686400e-05,
-1.000000,1024,1024,OS2-f8-accu-20,9.816619e+00,8.750400e-04,2.538240e-04,3.525120e-04,1.937920e-04,3.964800e-05,
-1.000000,1024,1024,OS1-6,2.014072e+01,4.264960e-04,,,,,
-1.000000,1024,1024,OS1-7,2.013316e+01,4.266560e-04,,,,,
-1.000000,1024,1024,OS1-8,2.012712e+01,4.267840e-04,,,,,
-1.000000,1024,1024,OS1-9,2.013165e+01,4.266880e-04,,,,,
-1.000000,1024,1024,ZSYR2K,2.012562e+01,4.268160e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,9.679672e+01,7.099360e-04,2.255040e-04,3.137120e-04,1.048160e-04,4.121600e-05,
-1.000000,2048,2048,OS2-i8-fast-10,8.855237e+01,7.760320e-04,2.391200e-04,3.493760e-04,1.161760e-04,4.582400e-05,
-1.000000,2048,2048,OS2-i8-fast-11,8.325516e+01,8.254080e-04,2.528960e-04,3.698240e-04,1.262880e-04,5.003200e-05,
-1.000000,2048,2048,OS2-i8-fast-12,7.683580e+01,8.943680e-04,2.671040e-04,4.089440e-04,1.390240e-04,5.324800e-05,
-1.000000,2048,2048,OS2-i8-fast-13,7.253910e+01,9.473440e-04,2.814240e-04,4.287520e-04,1.521760e-04,5.763200e-05,
-1.000000,2048,2048,OS2-i8-fast-14,6.922900e+01,9.926400e-04,2.948960e-04,4.454400e-04,1.627200e-04,6.144000e-05,
-1.000000,2048,2048,OS2-i8-fast-15,6.463749e+01,1.063152e-03,3.087520e-04,4.846720e-04,1.745440e-04,6.558400e-05,
-1.000000,2048,2048,OS2-i8-fast-16,5.921152e+01,1.160576e-03,3.736800e-04,5.012960e-04,1.865600e-04,6.854400e-05,
-1.000000,2048,2048,OS2-i8-fast-17,5.681474e+01,1.209536e-03,3.899840e-04,5.187200e-04,1.984800e-04,7.046400e-05,
-1.000000,2048,2048,OS2-i8-fast-18,5.351851e+01,1.284032e-03,4.057920e-04,5.569280e-04,2.138720e-04,7.459200e-05,
-1.000000,2048,2048,OS2-i8-fast-19,5.147002e+01,1.335136e-03,4.255680e-04,5.753600e-04,2.248480e-04,7.657600e-05,
-1.000000,2048,2048,OS2-i8-fast-20,4.927795e+01,1.394528e-03,4.493600e-04,5.928960e-04,2.365120e-04,8.192000e-05,
-1.000000,2048,2048,OS2-i8-accu-9,8.852135e+01,7.763040e-04,2.931520e-04,3.111360e-04,1.059200e-04,4.124800e-05,
-1.000000,2048,2048,OS2-i8-accu-10,8.173417e+01,8.407680e-04,3.050400e-04,3.498400e-04,1.144800e-04,4.585600e-05,
-1.000000,2048,2048,OS2-i8-accu-11,7.724067e+01,8.896800e-04,3.189120e-04,3.678720e-04,1.263200e-04,5.004800e-05,
-1.000000,2048,2048,OS2-i8-accu-12,7.156609e+01,9.602240e-04,3.335680e-04,4.065440e-04,1.392640e-04,5.324800e-05,
-1.000000,2048,2048,OS2-i8-accu-13,6.805094e+01,1.009824e-03,3.458240e-04,4.251680e-04,1.532160e-04,5.734400e-05,
-1.000000,2048,2048,OS2-i8-accu-14,6.515127e+01,1.054768e-03,3.581120e-04,4.432800e-04,1.636480e-04,6.144000e-05,
-1.000000,2048,2048,OS2-i8-accu-15,6.101239e+01,1.126320e-03,3.724320e-04,4.832640e-04,1.744480e-04,6.558400e-05,
-1.000000,2048,2048,OS2-i8-accu-16,5.594153e+01,1.228416e-03,4.431200e-04,4.986880e-04,1.863200e-04,6.852800e-05,
-1.000000,2048,2048,OS2-i8-accu-17,5.381962e+01,1.276848e-03,4.609280e-04,5.158720e-04,1.982080e-04,7.048000e-05,
-1.000000,2048,2048,OS2-i8-accu-18,5.076793e+01,1.353600e-03,4.774080e-04,5.556160e-04,2.142400e-04,7.577600e-05,
-1.000000,2048,2048,OS2-i8-accu-19,4.894438e+01,1.404032e-03,4.962880e-04,5.727680e-04,2.250400e-04,7.660800e-05,
-1.000000,2048,2048,OS2-i8-accu-20,4.714770e+01,1.457536e-03,5.153600e-04,5.888800e-04,2.373920e-04,8.192000e-05,
-1.000000,2048,2048,OS2-f8-fast-9,5.629717e+01,1.220656e-03,3.261280e-04,5.389440e-04,2.872480e-04,4.505600e-05,
-1.000000,2048,2048,OS2-f8-fast-10,5.159368e+01,1.331936e-03,3.541280e-04,5.869440e-04,3.190880e-04,4.710400e-05,
-1.000000,2048,2048,OS2-f8-fast-11,4.717982e+01,1.456544e-03,3.813120e-04,6.494720e-04,3.509600e-04,4.921600e-05,
-1.000000,2048,2048,OS2-f8-fast-12,4.388351e+01,1.565952e-03,4.024160e-04,7.010080e-04,3.840640e-04,5.145600e-05,
-1.000000,2048,2048,OS2-f8-fast-13,3.805031e+01,1.806016e-03,5.380320e-04,7.640480e-04,4.164480e-04,6.035200e-05,
-1.000000,2048,2048,OS2-f8-fast-14,3.573333e+01,1.923120e-03,5.694880e-04,8.153440e-04,4.468800e-04,6.348800e-05,
-1.000000,2048,2048,OS2-f8-fast-15,3.341737e+01,2.056400e-03,6.068480e-04,8.723200e-04,4.782240e-04,6.963200e-05,
-1.000000,2048,2048,OS2-f8-fast-16,3.149565e+01,2.181872e-03,6.447520e-04,9.232320e-04,5.126080e-04,7.142400e-05,
-1.000000,2048,2048,OS2-f8-fast-17,2.964889e+01,2.317776e-03,6.826240e-04,9.833440e-04,5.463840e-04,7.372800e-05,
-1.000000,2048,2048,OS2-f8-fast-18,2.811726e+01,2.444032e-03,7.204800e-04,1.036592e-03,5.747680e-04,7.868800e-05,
-1.000000,2048,2048,OS2-f8-fast-19,2.664339e+01,2.579232e-03,7.624320e-04,1.097216e-03,6.043360e-04,8.192000e-05,
-1.000000,2048,2048,OS2-f8-fast-20,2.551152e+01,2.693664e-03,7.987360e-04,1.141888e-03,6.337600e-04,8.484800e-05,
-1.000000,2048,2048,OS2-f8-accu-9,5.315685e+01,1.292768e-03,3.974560e-04,5.378720e-04,2.867520e-04,4.505600e-05,
-1.000000,2048,2048,OS2-f8-accu-10,4.888088e+01,1.405856e-03,4.249280e-04,5.880480e-04,3.205600e-04,4.710400e-05,
-1.000000,2048,2048,OS2-f8-accu-11,4.488512e+01,1.531008e-03,4.523520e-04,6.506400e-04,3.521760e-04,4.921600e-05,
-1.000000,2048,2048,OS2-f8-accu-12,4.192012e+01,1.639296e-03,4.737440e-04,7.014080e-04,3.844640e-04,5.278400e-05,
-1.000000,2048,2048,OS2-f8-accu-13,3.663741e+01,1.875664e-03,6.082080e-04,7.616000e-04,4.164160e-04,6.027200e-05,
-1.000000,2048,2048,OS2-f8-accu-14,3.451547e+01,1.990976e-03,6.399840e-04,8.122880e-04,4.464960e-04,6.348800e-05,
-1.000000,2048,2048,OS2-f8-accu-15,3.230489e+01,2.127216e-03,6.780800e-04,8.705760e-04,4.783680e-04,6.963200e-05,
-1.000000,2048,2048,OS2-f8-accu-16,3.048779e+01,2.254000e-03,7.148000e-04,9.229120e-04,5.139360e-04,7.168000e-05,
-1.000000,2048,2048,OS2-f8-accu-17,2.879089e+01,2.386848e-03,7.533920e-04,9.827200e-04,5.465280e-04,7.372800e-05,
-1.000000,2048,2048,OS2-f8-accu-18,2.735282e+01,2.512336e-03,7.909920e-04,1.035504e-03,5.752000e-04,7.872000e-05,
-1.000000,2048,2048,OS2-f8-accu-19,2.592703e+01,2.650496e-03,8.331040e-04,1.097728e-03,6.041760e-04,8.192000e-05,
-1.000000,2048,2048,OS2-f8-accu-20,2.483386e+01,2.767168e-03,8.696160e-04,1.143264e-03,6.348000e-04,8.595200e-05,
-1.000000,2048,2048,OS1-6,2.326005e+01,2.954400e-03,,,,,
-1.000000,2048,2048,OS1-7,2.326697e+01,2.953520e-03,,,,,
-1.000000,2048,2048,OS1-8,2.325564e+01,2.954960e-03,,,,,
-1.000000,2048,2048,OS1-9,2.325790e+01,2.954672e-03,,,,,
-1.000000,2048,2048,ZSYR2K,2.325664e+01,2.954832e-03,,,,,
