phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.721365e+01,1.578240e-04,2.156800e-05,8.689600e-05,2.057600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.196689e+01,1.955200e-04,2.368000e-05,1.152160e-04,2.713600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.836461e+01,2.338720e-04,2.406400e-05,1.449760e-04,3.464000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.563307e+01,2.747360e-04,2.608000e-05,1.745920e-04,4.252800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.524335e+01,2.817600e-04,2.969600e-05,1.745120e-04,4.587200e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.332120e+01,3.224160e-04,3.368000e-05,2.034240e-04,5.161600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.303148e+01,3.295840e-04,3.796800e-05,2.025120e-04,5.473600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.162310e+01,3.695200e-04,4.121600e-05,2.312480e-04,6.179200e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.129541e+01,3.802400e-04,4.356800e-05,2.348320e-04,6.582400e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.023118e+01,4.197920e-04,4.553600e-05,2.642240e-04,7.305600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.135015e+01,2.011680e-04,6.651200e-05,8.665600e-05,1.984000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.779958e+01,2.412960e-04,6.844800e-05,1.156000e-04,2.729600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.538665e+01,2.791360e-04,6.875200e-05,1.454560e-04,3.462400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.345406e+01,3.192320e-04,7.195200e-05,1.739840e-04,4.182400e-05,1.024000e-05,
