phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.837884e+01,1.513440e-04,1.342400e-05,8.808000e-05,2.147200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.297855e+01,1.869120e-04,1.368000e-05,1.157440e-04,2.780800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.913705e+01,2.244320e-04,1.459200e-05,1.445440e-04,3.478400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.632620e+01,2.630720e-04,1.542400e-05,1.744960e-04,4.187200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.596120e+01,2.690880e-04,1.694400e-05,1.751680e-04,4.489600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.391290e+01,3.087040e-04,1.961600e-05,2.034560e-04,5.211200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.350483e+01,3.180320e-04,2.172800e-05,2.056320e-04,5.641600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.208679e+01,3.553440e-04,2.369600e-05,2.333280e-04,6.348800e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.182796e+01,3.631200e-04,2.540800e-05,2.356640e-04,6.598400e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.059502e+01,4.053760e-04,3.180800e-05,2.639360e-04,7.252800e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.202818e+01,1.949760e-04,6.044800e-05,8.646400e-05,1.984000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.856400e+01,2.313600e-04,5.859200e-05,1.156000e-04,2.710400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.593940e+01,2.694560e-04,5.915200e-05,1.450240e-04,3.454400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.395848e+01,3.076960e-04,6.102400e-05,1.736960e-04,4.134400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.369848e+01,3.135360e-04,6.334400e-05,1.740960e-04,4.395200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.211734e+01,3.544480e-04,6.651200e-05,2.031840e-04,5.083200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.172719e+01,3.662400e-04,7.363200e-05,2.034240e-04,5.518400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.061219e+01,4.047200e-04,7.524800e-05,2.319200e-04,6.188800e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.035151e+01,4.149120e-04,7.945600e-05,2.336640e-04,6.547200e-05,1.006400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,9.420771e+00,4.559040e-04,8.276800e-05,2.628640e-04,7.283200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,2.336863e+01,1.837920e-04,1.734400e-05,1.107040e-04,2.700800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.871674e+01,2.294720e-04,1.947200e-05,1.443840e-04,3.622400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.548339e+01,2.773920e-04,2.150400e-05,1.798080e-04,4.544000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.316764e+01,3.261760e-04,2.561600e-05,2.131520e-04,5.472000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,1.134794e+01,3.784800e-04,3.020800e-05,2.508960e-04,6.443200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,9.979755e+00,4.303680e-04,3.380800e-05,2.889600e-04,7.371200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.912792e+00,4.818880e-04,3.780800e-05,3.268320e-04,8.284800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,8.462123e+00,5.075520e-04,4.192000e-05,3.423200e-04,8.809600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.354396e+00,5.840000e-04,7.057600e-05,3.792320e-04,9.753600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-12,7.060746e+00,6.082880e-04,7.681600e-05,3.912960e-04,1.033760e-04,1.030400e-05,
-1.000000,1024,1024,OS2-f8-accu-3,2.060925e+01,2.084000e-04,4.596800e-05,1.075200e-04,2.700800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.672495e+01,2.568000e-04,5.032000e-05,1.412800e-04,3.625600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.421045e+01,3.022400e-04,5.009600e-05,1.765760e-04,4.550400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.206885e+01,3.558720e-04,5.646400e-05,2.129920e-04,5.483200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,1.056957e+01,4.063520e-04,5.897600e-05,2.505120e-04,6.432000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,9.266620e+00,4.634880e-04,6.598400e-05,2.905600e-04,7.380800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,8.326937e+00,5.157920e-04,7.059200e-05,3.275680e-04,8.280000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.933428e+00,5.413760e-04,7.601600e-05,3.414400e-04,8.852800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,7.263847e+00,5.912800e-04,7.859200e-05,3.789600e-04,9.740800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.971987e+00,6.160320e-04,8.356800e-05,3.912960e-04,1.034240e-04,1.030400e-05,
-1.000000,1024,1024,BF16x9,2.765665e+01,1.552960e-04,,,,,
-1.000000,1024,1024,CSYRK,2.764241e+01,1.553760e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.498802e+02,2.292480e-04,3.998400e-05,1.167680e-04,3.209600e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-4,1.215465e+02,2.826880e-04,4.200000e-05,1.549760e-04,4.336000e-05,2.265600e-05,
-1.000000,2048,2048,OS2-i8-fast-5,1.042771e+02,3.295040e-04,4.006400e-05,1.928800e-04,5.356800e-05,2.259200e-05,
-1.000000,2048,2048,OS2-i8-fast-6,8.955685e+01,3.836640e-04,4.342400e-05,2.315680e-04,6.440000e-05,2.275200e-05,
-1.000000,2048,2048,OS2-i8-fast-7,8.352393e+01,4.113760e-04,4.641600e-05,2.477440e-04,7.014400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-8,7.243511e+01,4.743520e-04,5.840000e-05,2.867360e-04,8.144000e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-9,6.842389e+01,5.021600e-04,6.256000e-05,3.028320e-04,8.843200e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-10,6.179453e+01,5.560320e-04,6.667200e-05,3.406080e-04,9.942400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-11,5.852730e+01,5.870720e-04,7.067200e-05,3.577120e-04,1.073920e-04,2.480000e-05,
-1.000000,2048,2048,OS2-i8-fast-12,5.229602e+01,6.570240e-04,9.184000e-05,3.942880e-04,1.172480e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-3,1.210259e+02,2.839040e-04,9.577600e-05,1.156480e-04,3.198400e-05,2.252800e-05,
