phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.739137e+01,1.568000e-04,2.124800e-05,8.739200e-05,2.091200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.212623e+01,1.941120e-04,2.188800e-05,1.156800e-04,2.718400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.837718e+01,2.337120e-04,2.358400e-05,1.448960e-04,3.460800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.568514e+01,2.738240e-04,2.568000e-05,1.743520e-04,4.249600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.537079e+01,2.794240e-04,2.814400e-05,1.739520e-04,4.518400e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.341037e+01,3.202720e-04,3.376000e-05,2.029280e-04,5.073600e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.303338e+01,3.295360e-04,3.844800e-05,2.022240e-04,5.441600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.163368e+01,3.691840e-04,4.193600e-05,2.301280e-04,6.201600e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.127691e+01,3.808640e-04,4.408000e-05,2.355040e-04,6.596800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.021677e+01,4.203840e-04,4.609600e-05,2.647520e-04,7.304000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.119506e+01,2.026400e-04,6.806400e-05,8.604800e-05,1.987200e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.772319e+01,2.423360e-04,7.004800e-05,1.158240e-04,2.732800e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.512909e+01,2.838880e-04,7.380800e-05,1.450720e-04,3.489600e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.325607e+01,3.240000e-04,7.784000e-05,1.736960e-04,4.120000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.303654e+01,3.294560e-04,7.988800e-05,1.737120e-04,4.342400e-05,1.016000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.155903e+01,3.715680e-04,8.561600e-05,2.009760e-04,5.177600e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.139563e+01,3.768960e-04,8.694400e-05,2.018240e-04,5.396800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.031611e+01,4.163360e-04,8.872000e-05,2.309120e-04,6.200000e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.004022e+01,4.277760e-04,9.054400e-05,2.358080e-04,6.644800e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,9.207500e+00,4.664640e-04,9.052800e-05,2.646080e-04,7.436800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-3,2.219392e+01,1.935200e-04,3.318400e-05,1.055040e-04,2.697600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.765907e+01,2.432160e-04,3.580800e-05,1.416960e-04,3.625600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.474029e+01,2.913760e-04,3.785600e-05,1.776320e-04,4.544000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.260675e+01,3.406880e-04,4.110400e-05,2.136000e-04,5.459200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,1.091024e+01,3.936640e-04,4.521600e-05,2.521760e-04,6.422400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,9.622032e+00,4.463680e-04,4.998400e-05,2.892800e-04,7.376000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.629145e+00,4.977280e-04,5.384000e-05,3.267360e-04,8.286400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,8.254727e+00,5.203040e-04,5.766400e-05,3.408160e-04,8.708800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.483773e+00,5.739040e-04,6.217600e-05,3.780800e-04,9.665600e-05,1.052800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,7.181067e+00,5.980960e-04,6.636800e-05,3.905600e-04,1.027520e-04,1.128000e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.993579e+01,2.154400e-04,5.380800e-05,1.055520e-04,2.704000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.619032e+01,2.652800e-04,5.766400e-05,1.416320e-04,3.652800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.376451e+01,3.120320e-04,5.804800e-05,1.778400e-04,4.545600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.186245e+01,3.620640e-04,6.204800e-05,2.133920e-04,5.488000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,1.037993e+01,4.137760e-04,6.552000e-05,2.512480e-04,6.427200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,9.139473e+00,4.699360e-04,7.206400e-05,2.904960e-04,7.385600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,8.292467e+00,5.179360e-04,7.424000e-05,3.261440e-04,8.260800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.893071e+00,5.441440e-04,8.046400e-05,3.407520e-04,8.788800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,7.216007e+00,5.952000e-04,8.345600e-05,3.783040e-04,9.681600e-05,1.049600e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.917905e+00,6.208480e-04,8.934400e-05,3.906880e-04,1.025600e-04,1.216000e-05,
-1.000000,1024,1024,BF16x9,3.691864e+01,1.163360e-04,,,,,
-1.000000,1024,1024,CSYRK,3.724649e+01,1.153120e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.342597e+02,2.559200e-04,6.715200e-05,1.160960e-04,3.174400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-4,1.111937e+02,3.090080e-04,7.116800e-05,1.539840e-04,4.198400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-5,9.434926e+01,3.641760e-04,7.608000e-05,1.927040e-04,5.260800e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-6,8.208094e+01,4.186080e-04,8.065600e-05,2.313920e-04,6.288000e-05,2.249600e-05,
-1.000000,2048,2048,OS2-i8-fast-7,7.671776e+01,4.478720e-04,8.512000e-05,2.481600e-04,6.963200e-05,2.265600e-05,
-1.000000,2048,2048,OS2-i8-fast-8,6.764367e+01,5.079520e-04,9.432000e-05,2.862560e-04,7.982400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-9,6.392652e+01,5.374880e-04,1.007680e-04,3.022560e-04,8.611200e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-10,5.804951e+01,5.919040e-04,1.068960e-04,3.392320e-04,9.635200e-05,2.454400e-05,
-1.000000,2048,2048,OS2-i8-fast-11,5.497206e+01,6.250400e-04,1.135520e-04,3.560320e-04,1.034080e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-12,5.040095e+01,6.817280e-04,1.199680e-04,3.946080e-04,1.140160e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-3,1.127170e+02,3.048320e-04,1.173920e-04,1.160640e-04,3.075200e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-accu-4,9.488705e+01,3.621120e-04,1.249120e-04,1.539680e-04,4.099200e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-accu-5,8.307802e+01,4.135840e-04,1.263840e-04,1.919680e-04,5.212800e-05,2.249600e-05,
-1.000000,2048,2048,OS2-i8-accu-6,7.272703e+01,4.724480e-04,1.347840e-04,2.307840e-04,6.278400e-05,2.249600e-05,
-1.000000,2048,2048,OS2-i8-accu-7,6.873487e+01,4.998880e-04,1.378240e-04,2.471520e-04,6.870400e-05,2.276800e-05,
-1.000000,2048,2048,OS2-i8-accu-8,6.148140e+01,5.588640e-04,1.456160e-04,2.852800e-04,7.904000e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-9,5.824474e+01,5.899200e-04,1.536800e-04,3.017440e-04,8.537600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-10,5.325572e+01,6.451840e-04,1.603200e-04,3.392160e-04,9.560000e-05,2.454400e-05,
-1.000000,2048,2048,OS2-i8-accu-11,5.079916e+01,6.763840e-04,1.656000e-04,3.557120e-04,1.024000e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-12,4.691390e+01,7.324000e-04,1.722560e-04,3.937280e-04,1.128480e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-3,7.799105e+01,4.405600e-04,7.820800e-05,2.665440e-04,5.542400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-f8-fast-4,6.156600e+01,5.580960e-04,8.649600e-05,3.556320e-04,7.454400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-f8-fast-5,5.092565e+01,6.747040e-04,9.468800e-05,4.446240e-04,9.268800e-05,2.249600e-05,
-1.000000,2048,2048,OS2-f8-fast-6,4.319068e+01,7.955360e-04,1.051520e-04,5.329760e-04,1.125120e-04,2.278400e-05,
