phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.833989e+01,1.515520e-04,1.344000e-05,8.816000e-05,2.144000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.293536e+01,1.872640e-04,1.420800e-05,1.161280e-04,2.756800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.910029e+01,2.248640e-04,1.512000e-05,1.449920e-04,3.462400e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.625798e+01,2.641760e-04,1.564800e-05,1.744000e-04,4.222400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.591672e+01,2.698400e-04,1.750400e-05,1.746720e-04,4.568000e-05,1.016000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.384116e+01,3.103040e-04,2.089600e-05,2.032160e-04,5.320000e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.353342e+01,3.173600e-04,2.320000e-05,2.034720e-04,5.699200e-05,9.984000e-06,
-1.000000,1024,1024,OS2-i8-fast-10,1.206668e+01,3.559360e-04,2.380800e-05,2.325440e-04,6.433600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.181858e+01,3.634080e-04,2.560000e-05,2.346560e-04,6.755200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.056916e+01,4.063680e-04,3.185600e-05,2.634240e-04,7.424000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.189880e+01,1.961280e-04,6.139200e-05,8.617600e-05,1.984000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.846821e+01,2.325600e-04,5.987200e-05,1.164800e-04,2.720000e-05,1.016000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.580985e+01,2.716640e-04,6.158400e-05,1.456160e-04,3.459200e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.377864e+01,3.117120e-04,6.422400e-05,1.736960e-04,4.259200e-05,1.019200e-05,
