phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,5.945151e+00,1.806080e-04,1.968000e-05,7.833600e-05,4.747200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.870264e+00,1.829120e-04,1.995200e-05,7.872000e-05,4.944000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.226954e+00,2.054240e-04,2.088000e-05,9.168000e-05,5.636800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.120860e+00,2.096800e-04,2.174400e-05,9.139200e-05,5.929600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,5.089789e+00,2.109600e-04,2.216000e-05,9.153600e-05,6.014400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,4.960005e+00,2.164800e-04,2.316800e-05,9.171200e-05,6.360000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.509701e+00,2.380960e-04,2.379200e-05,1.047680e-04,7.059200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,4.388782e+00,2.446560e-04,2.835200e-05,1.041280e-04,7.296000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,4.249548e+00,2.526720e-04,2.960000e-05,1.064640e-04,7.563200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,4.206661e+00,2.552480e-04,3.030400e-05,1.063360e-04,7.745600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,4.120142e+00,2.606080e-04,3.158400e-05,1.064800e-04,7.936000e-05,1.046400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.784192e+00,2.837440e-04,3.260800e-05,1.198400e-04,8.659200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.220855e+00,2.056640e-04,4.755200e-05,7.808000e-05,4.620800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.115395e+00,2.099040e-04,4.827200e-05,7.812800e-05,4.912000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.603434e+00,2.332480e-04,4.969600e-05,9.137600e-05,5.646400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.522161e+00,2.374400e-04,5.025600e-05,9.113600e-05,5.868800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,4.468562e+00,2.402880e-04,4.982400e-05,9.104000e-05,6.168000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,4.400581e+00,2.440000e-04,5.044800e-05,9.094400e-05,6.412800e-05,1.024000e-05,
