phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,6.197143e+00,1.732640e-04,1.406400e-05,7.854400e-05,4.736000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,6.073200e+00,1.768000e-04,1.531200e-05,7.841600e-05,4.942400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.412442e+00,1.983840e-04,1.545600e-05,9.158400e-05,5.619200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.333296e+00,2.013280e-04,1.531200e-05,9.161600e-05,5.881600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,5.253140e+00,2.044000e-04,1.579200e-05,9.158400e-05,6.064000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,5.129863e+00,2.093120e-04,1.708800e-05,9.208000e-05,6.344000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.647106e+00,2.310560e-04,1.734400e-05,1.046720e-04,7.076800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,4.518811e+00,2.376160e-04,2.121600e-05,1.042560e-04,7.344000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,4.392229e+00,2.444640e-04,2.152000e-05,1.063360e-04,7.654400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,4.349810e+00,2.468480e-04,2.152000e-05,1.065440e-04,7.816000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,4.280994e+00,2.508160e-04,2.294400e-05,1.066080e-04,8.012800e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.922660e+00,2.737280e-04,2.371200e-05,1.196160e-04,8.750400e-05,1.038400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.443613e+00,1.972480e-04,3.920000e-05,7.824000e-05,4.652800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.284579e+00,2.031840e-04,4.230400e-05,7.811200e-05,4.908800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.837024e+00,2.219840e-04,3.963200e-05,9.126400e-05,5.649600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.737988e+00,2.266240e-04,4.038400e-05,9.132800e-05,5.910400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,4.628517e+00,2.319840e-04,4.315200e-05,9.118400e-05,6.166400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,4.534383e+00,2.368000e-04,4.400000e-05,9.102400e-05,6.432000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,4.200342e+00,2.556320e-04,4.172800e-05,1.045280e-04,7.075200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,4.108287e+00,2.613600e-04,4.497600e-05,1.042240e-04,7.377600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,3.967886e+00,2.706080e-04,4.913600e-05,1.063040e-04,7.534400e-05,1.024000e-05,
