phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,6.012800e+00,1.785760e-04,1.942400e-05,7.852800e-05,4.720000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.916324e+00,1.814880e-04,1.958400e-05,7.867200e-05,4.940800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.276684e+00,2.034880e-04,2.136000e-05,9.145600e-05,5.585600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.179752e+00,2.072960e-04,2.163200e-05,9.147200e-05,5.891200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,5.102172e+00,2.104480e-04,2.219200e-05,9.153600e-05,6.040000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,4.985059e+00,2.153920e-04,2.304000e-05,9.168000e-05,6.300800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.529180e+00,2.370720e-04,2.393600e-05,1.045440e-04,7.064000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,4.382477e+00,2.450080e-04,2.835200e-05,1.042400e-04,7.313600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,4.295792e+00,2.499520e-04,2.936000e-05,1.060640e-04,7.486400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,4.232396e+00,2.536960e-04,3.008000e-05,1.065440e-04,7.640000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,4.148669e+00,2.588160e-04,3.171200e-05,1.075680e-04,7.846400e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.830633e+00,2.803040e-04,3.209600e-05,1.197440e-04,8.544000e-05,1.044800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.173762e+00,2.075360e-04,4.985600e-05,7.809600e-05,4.625600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.084390e+00,2.111840e-04,5.067200e-05,7.809600e-05,4.881600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.626921e+00,2.320640e-04,4.960000e-05,9.128000e-05,5.643200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.543593e+00,2.363200e-04,5.083200e-05,9.113600e-05,5.876800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,4.471539e+00,2.401280e-04,5.232000e-05,9.097600e-05,6.102400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,4.401159e+00,2.439680e-04,5.280000e-05,9.113600e-05,6.307200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,4.051489e+00,2.650240e-04,5.238400e-05,1.045280e-04,7.024000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,3.940857e+00,2.724640e-04,5.697600e-05,1.042880e-04,7.219200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,3.845340e+00,2.792320e-04,5.904000e-05,1.066560e-04,7.324800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,3.797039e+00,2.827840e-04,6.020800e-05,1.063040e-04,7.539200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-19,3.758337e+00,2.856960e-04,5.996800e-05,1.062080e-04,7.828800e-05,1.030400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,3.483641e+00,3.082240e-04,6.065600e-05,1.199840e-04,8.475200e-05,1.040000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,4.723648e+00,2.273120e-04,2.608000e-05,1.142400e-04,5.443200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,4.257096e+00,2.522240e-04,2.772800e-05,1.288480e-04,6.147200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,4.084532e+00,2.628800e-04,2.976000e-05,1.356160e-04,6.228800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-12,3.719179e+00,2.887040e-04,3.134400e-05,1.518080e-04,6.963200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-13,3.423223e+00,3.136640e-04,3.972800e-05,1.631360e-04,7.396800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-14,3.318771e+00,3.235360e-04,4.198400e-05,1.674080e-04,7.678400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-15,3.072610e+00,3.494560e-04,4.412800e-05,1.826880e-04,8.400000e-05,1.040000e-05,
-1.000000,1024,1024,OS2-f8-fast-16,3.040866e+00,3.531040e-04,4.604800e-05,1.800960e-04,8.606400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-17,2.957380e+00,3.630720e-04,4.825600e-05,1.838720e-04,8.854400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-18,2.760886e+00,3.889120e-04,5.019200e-05,1.995840e-04,9.612800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-19,2.651895e+00,4.048960e-04,5.169600e-05,2.126400e-04,9.680000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-20,2.581110e+00,4.160000e-04,5.425600e-05,2.157440e-04,1.010560e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,4.332679e+00,2.478240e-04,4.753600e-05,1.141760e-04,5.299200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,3.932314e+00,2.730560e-04,4.908800e-05,1.293440e-04,6.049600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-11,3.793819e+00,2.830240e-04,5.011200e-05,1.353120e-04,6.281600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,3.451037e+00,3.111360e-04,5.302400e-05,1.516160e-04,7.033600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-13,3.210490e+00,3.344480e-04,6.102400e-05,1.631040e-04,7.387200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-14,3.132561e+00,3.427680e-04,6.268800e-05,1.667360e-04,7.598400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-15,2.899247e+00,3.703520e-04,6.494400e-05,1.832160e-04,8.329600e-05,1.036800e-05,
-1.000000,1024,1024,OS2-f8-accu-16,2.878356e+00,3.730400e-04,6.646400e-05,1.802720e-04,8.547200e-05,1.227200e-05,
-1.000000,1024,1024,OS2-f8-accu-17,2.810019e+00,3.821120e-04,6.878400e-05,1.830880e-04,8.851200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-18,2.619394e+00,4.099200e-04,7.124800e-05,1.993760e-04,9.572800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-19,2.512876e+00,4.272960e-04,7.326400e-05,2.130080e-04,9.745600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-20,2.446728e+00,4.388480e-04,7.512000e-05,2.162720e-04,1.020320e-04,1.228800e-05,
-1.000000,1024,1024,OS1-6,1.369848e+01,7.838400e-05,,,,,
-1.000000,1024,1024,OS1-7,1.366779e+01,7.856000e-05,,,,,
-1.000000,1024,1024,OS1-8,1.365667e+01,7.862400e-05,,,,,
-1.000000,1024,1024,OS1-9,1.365667e+01,7.862400e-05,,,,,
-1.000000,1024,1024,DSYRK,1.367058e+01,7.854400e-05,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,2.994428e+01,2.868640e-04,4.689600e-05,1.145280e-04,8.027200e-05,2.252800e-05,
