phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,6.173768e+00,1.739200e-04,1.393600e-05,7.857600e-05,4.724800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,6.055664e+00,1.773120e-04,1.520000e-05,7.880000e-05,4.888000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.416810e+00,1.982240e-04,1.536000e-05,9.137600e-05,5.579200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.315554e+00,2.020000e-04,1.534400e-05,9.168000e-05,5.875200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,5.251085e+00,2.044800e-04,1.585600e-05,9.145600e-05,6.044800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,5.130647e+00,2.092800e-04,1.692800e-05,9.190400e-05,6.300800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.664549e+00,2.301920e-04,1.740800e-05,1.045760e-04,7.036800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,4.549137e+00,2.360320e-04,2.003200e-05,1.042880e-04,7.297600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,4.438711e+00,2.419040e-04,2.160000e-05,1.066080e-04,7.440000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,4.384481e+00,2.448960e-04,2.153600e-05,1.064960e-04,7.665600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,4.297167e+00,2.498720e-04,2.332800e-05,1.064640e-04,7.870400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.955491e+00,2.714560e-04,2.352000e-05,1.197280e-04,8.563200e-05,1.036800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.431278e+00,1.976960e-04,4.036800e-05,7.804800e-05,4.635200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.309666e+00,2.022240e-04,4.131200e-05,7.809600e-05,4.923200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.804816e+00,2.234720e-04,4.126400e-05,9.104000e-05,5.616000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.705761e+00,2.281760e-04,4.259200e-05,9.129600e-05,5.886400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,4.656134e+00,2.306080e-04,4.228800e-05,9.129600e-05,6.150400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,4.583626e+00,2.342560e-04,4.273600e-05,9.107200e-05,6.364800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,4.192732e+00,2.560960e-04,4.323200e-05,1.042400e-04,7.056000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,4.077088e+00,2.633600e-04,4.678400e-05,1.043040e-04,7.312000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,4.002676e+00,2.682560e-04,4.747200e-05,1.062880e-04,7.465600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,3.946884e+00,2.720480e-04,4.859200e-05,1.069280e-04,7.611200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-19,3.893303e+00,2.757920e-04,4.902400e-05,1.065600e-04,7.883200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-20,3.613054e+00,2.971840e-04,4.985600e-05,1.196800e-04,8.465600e-05,1.043200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,4.856978e+00,2.210720e-04,2.144000e-05,1.122080e-04,5.395200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,4.375333e+00,2.454080e-04,2.300800e-05,1.262400e-04,6.166400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,4.192994e+00,2.560800e-04,2.496000e-05,1.336800e-04,6.262400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-12,3.800910e+00,2.824960e-04,2.555200e-05,1.498880e-04,7.009600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-13,3.492343e+00,3.074560e-04,3.356800e-05,1.631520e-04,7.320000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-14,3.388481e+00,3.168800e-04,3.531200e-05,1.667680e-04,7.670400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-15,3.139890e+00,3.419680e-04,3.715200e-05,1.824640e-04,8.326400e-05,1.033600e-05,
-1.000000,1024,1024,OS2-f8-fast-16,2.900625e+00,3.701760e-04,6.604800e-05,1.789760e-04,8.496000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-17,2.831239e+00,3.792480e-04,6.800000e-05,1.828480e-04,8.664000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-18,2.643538e+00,4.061760e-04,6.860800e-05,1.988800e-04,9.497600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-19,2.519291e+00,4.262080e-04,7.123200e-05,2.123200e-04,9.827200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-20,2.473330e+00,4.341280e-04,7.288000e-05,2.146720e-04,1.015360e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,4.493396e+00,2.389600e-04,3.998400e-05,1.108320e-04,5.467200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,4.057859e+00,2.646080e-04,4.209600e-05,1.268640e-04,6.121600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-11,3.930011e+00,2.732160e-04,4.206400e-05,1.330240e-04,6.265600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,3.572281e+00,3.005760e-04,4.406400e-05,1.496800e-04,6.987200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-13,3.287716e+00,3.265920e-04,5.292800e-05,1.625920e-04,7.331200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-14,3.204052e+00,3.351200e-04,5.508800e-05,1.649440e-04,7.683200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-15,2.974420e+00,3.609920e-04,5.694400e-05,1.813760e-04,8.302400e-05,1.035200e-05,
-1.000000,1024,1024,OS2-f8-accu-16,2.944663e+00,3.646400e-04,5.873600e-05,1.788320e-04,8.580800e-05,1.212800e-05,
-1.000000,1024,1024,OS2-f8-accu-17,2.862884e+00,3.750560e-04,6.051200e-05,1.838080e-04,8.836800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-18,2.679638e+00,4.007040e-04,6.251200e-05,1.990560e-04,9.593600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-19,2.569055e+00,4.179520e-04,6.388800e-05,2.126080e-04,9.742400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-20,2.501449e+00,4.292480e-04,6.601600e-05,2.158400e-04,1.022880e-04,1.228800e-05,
