phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.085904e+01,9.888000e-05,8.544000e-06,4.246400e-05,2.024000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,8.980177e+00,1.195680e-04,9.248000e-06,5.388800e-05,2.699200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,8.723367e+00,1.230880e-04,1.030400e-05,5.379200e-05,2.905600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,7.427655e+00,1.445600e-04,1.081600e-05,6.624000e-05,3.611200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,7.316710e+00,1.467520e-04,1.108800e-05,6.601600e-05,3.788800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,6.376745e+00,1.683840e-04,1.292800e-05,7.859200e-05,4.441600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,6.218966e+00,1.726560e-04,1.328000e-05,7.836800e-05,4.732800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,6.125307e+00,1.752960e-04,1.331200e-05,7.870400e-05,4.939200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.469345e+00,1.963200e-04,1.350400e-05,9.155200e-05,5.622400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.352011e+00,2.006240e-04,1.457600e-05,9.156800e-05,5.875200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,8.743826e+00,1.228000e-04,3.545600e-05,3.984000e-05,1.980800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,7.468989e+00,1.437600e-04,3.680000e-05,5.222400e-05,2.598400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,7.239359e+00,1.483200e-04,3.857600e-05,5.219200e-05,2.808000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,6.335209e+00,1.694880e-04,3.864000e-05,6.502400e-05,3.468800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,6.252573e+00,1.717280e-04,3.699200e-05,6.555200e-05,3.734400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,5.536122e+00,1.939520e-04,3.817600e-05,7.844800e-05,4.428800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.388539e+00,1.992640e-04,4.097600e-05,7.811200e-05,4.652800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.330331e+00,2.014400e-04,3.907200e-05,7.875200e-05,4.956800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.792805e+00,2.240320e-04,4.160000e-05,9.088000e-05,5.651200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.686701e+00,2.291040e-04,4.256000e-05,9.132800e-05,5.899200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,9.949424e+00,1.079200e-04,1.120000e-05,4.716800e-05,2.185600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,8.252442e+00,1.301120e-04,1.123200e-05,6.136000e-05,2.870400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,7.028578e+00,1.527680e-04,1.200000e-05,7.441600e-05,3.584000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,6.100251e+00,1.760160e-04,1.489600e-05,8.766400e-05,4.225600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-7,5.768340e+00,1.861440e-04,1.531200e-05,9.384000e-05,4.550400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,5.052998e+00,2.124960e-04,1.734400e-05,1.088800e-04,5.292800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,4.846105e+00,2.215680e-04,1.936000e-05,1.136320e-04,5.464000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,4.317349e+00,2.487040e-04,2.147200e-05,1.299040e-04,6.204800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,4.185671e+00,2.565280e-04,2.342400e-05,1.347360e-04,6.302400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-12,3.790819e+00,2.832480e-04,2.448000e-05,1.515360e-04,7.084800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-3,8.551079e+00,1.255680e-04,3.222400e-05,4.438400e-05,2.153600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,7.256582e+00,1.479680e-04,3.156800e-05,5.875200e-05,2.864000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,6.284778e+00,1.708480e-04,3.198400e-05,7.308800e-05,3.550400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,5.440083e+00,1.973760e-04,3.600000e-05,8.721600e-05,4.268800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-7,5.144413e+00,2.087200e-04,3.748800e-05,9.428800e-05,4.529600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,4.648716e+00,2.309760e-04,3.720000e-05,1.079040e-04,5.248000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,4.462916e+00,2.405920e-04,3.790400e-05,1.136640e-04,5.449600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,4.013688e+00,2.675200e-04,4.225600e-05,1.298400e-04,6.104000e-05,1.024000e-05,
