phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.280093e+01,3.355200e-04,4.404800e-05,2.022240e-04,5.547200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.139999e+01,3.767520e-04,4.611200e-05,2.326880e-04,6.259200e-05,1.030400e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.106677e+01,3.880960e-04,4.841600e-05,2.352320e-04,6.678400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.003347e+01,4.280640e-04,5.043200e-05,2.653120e-04,7.353600e-05,1.227200e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.825962e+00,4.371040e-04,5.251200e-05,2.677280e-04,7.676800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,9.638616e+00,4.456000e-04,5.433600e-05,2.702720e-04,8.097600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.809250e+00,4.875520e-04,5.712000e-05,2.998560e-04,8.854400e-05,1.329600e-05,
-1.000000,1024,1024,OS2-i8-fast-16,8.585539e+00,5.002560e-04,6.492800e-05,3.001600e-04,9.062400e-05,1.424000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,8.461856e+00,5.075680e-04,6.715200e-05,3.016320e-04,9.398400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.858181e+00,5.465600e-04,7.016000e-05,3.302080e-04,1.003200e-04,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,7.726318e+00,5.558880e-04,7.289600e-05,3.329280e-04,1.028000e-04,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,7.616055e+00,5.639360e-04,7.700800e-05,3.336000e-04,1.048960e-04,1.619200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.132926e+01,3.791040e-04,8.670400e-05,2.023040e-04,5.600000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.030462e+01,4.168000e-04,8.598400e-05,2.327840e-04,6.208000e-05,1.036800e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.943527e+00,4.319360e-04,9.212800e-05,2.350400e-04,6.676800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,9.076738e+00,4.731840e-04,9.472000e-05,2.649280e-04,7.379200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.917233e+00,4.816480e-04,9.633600e-05,2.684000e-04,7.681600e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.768675e+00,4.898080e-04,9.811200e-05,2.704480e-04,8.035200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,8.101755e+00,5.301280e-04,9.934400e-05,2.995040e-04,8.835200e-05,1.404800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.851286e+00,5.470400e-04,1.113760e-04,2.999840e-04,9.120000e-05,1.424000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.732995e+00,5.554080e-04,1.133120e-04,3.018240e-04,9.444800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-18,7.233507e+00,5.937600e-04,1.156320e-04,3.305760e-04,1.001760e-04,1.427200e-05,
-1.000000,1024,1024,OS2-i8-accu-19,7.135256e+00,6.019360e-04,1.186720e-04,3.329280e-04,1.027520e-04,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-20,7.106731e+00,6.043520e-04,1.182720e-04,3.329920e-04,1.046080e-04,1.449600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.552986e+00,5.021600e-04,5.798400e-05,3.273600e-04,8.257600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,8.176529e+00,5.252800e-04,6.224000e-05,3.406400e-04,8.732800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.400829e+00,5.803360e-04,6.646400e-05,3.783520e-04,9.742400e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,7.109743e+00,6.040960e-04,7.046400e-05,3.905760e-04,1.036640e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-13,6.430978e+00,6.678560e-04,8.800000e-05,4.286080e-04,1.114720e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-14,6.217526e+00,6.907840e-04,9.254400e-05,4.401920e-04,1.168480e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-15,5.753627e+00,7.464800e-04,9.718400e-05,4.787200e-04,1.275680e-04,1.248000e-05,
-1.000000,1024,1024,OS2-f8-fast-16,5.563314e+00,7.720160e-04,1.029440e-04,4.903360e-04,1.336000e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-17,5.211934e+00,8.240640e-04,1.073280e-04,5.277600e-04,1.424000e-04,1.427200e-05,
-1.000000,1024,1024,OS2-f8-fast-18,5.073148e+00,8.466080e-04,1.128000e-04,5.384960e-04,1.479840e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,4.801550e+00,8.944960e-04,1.179840e-04,5.713120e-04,1.562560e-04,1.619200e-05,
-1.000000,1024,1024,OS2-f8-fast-20,4.535149e+00,9.470400e-04,1.233280e-04,6.077280e-04,1.646080e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-accu-9,8.231439e+00,5.217760e-04,7.723200e-05,3.274080e-04,8.211200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.877552e+00,5.452160e-04,8.078400e-05,3.414720e-04,8.750400e-05,1.030400e-05,
-1.000000,1024,1024,OS2-f8-accu-11,7.167836e+00,5.992000e-04,8.448000e-05,3.788640e-04,9.750400e-05,1.219200e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.905625e+00,6.219520e-04,8.800000e-05,3.911680e-04,1.039040e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-13,6.247625e+00,6.874560e-04,1.062400e-04,4.292320e-04,1.121440e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-14,6.052114e+00,7.096640e-04,1.096640e-04,4.412800e-04,1.169920e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-15,5.631710e+00,7.626400e-04,1.143840e-04,4.785120e-04,1.266080e-04,1.244800e-05,
-1.000000,1024,1024,OS2-f8-accu-16,5.439863e+00,7.895360e-04,1.198720e-04,4.909600e-04,1.337760e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-17,5.099845e+00,8.421760e-04,1.249760e-04,5.281440e-04,1.430240e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.965877e+00,8.648960e-04,1.307040e-04,5.391680e-04,1.480800e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-19,4.705431e+00,9.127680e-04,1.362240e-04,5.716000e-04,1.560320e-04,1.616000e-05,
-1.000000,1024,1024,OS2-f8-accu-20,4.452330e+00,9.646560e-04,1.409440e-04,6.076960e-04,1.642240e-04,1.632000e-05,
-1.000000,1024,1024,OS1-6,2.449676e+01,1.753280e-04,,,,,
-1.000000,1024,1024,OS1-7,2.450794e+01,1.752480e-04,,,,,
-1.000000,1024,1024,OS1-8,2.444767e+01,1.756800e-04,,,,,
-1.000000,1024,1024,OS1-9,2.453258e+01,1.750720e-04,,,,,
-1.000000,1024,1024,ZSYRK,2.453706e+01,1.750400e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,6.168448e+01,5.570240e-04,1.160800e-04,3.023360e-04,8.784000e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-10,5.595319e+01,6.140800e-04,1.228640e-04,3.409920e-04,9.836800e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-11,5.283122e+01,6.503680e-04,1.299840e-04,3.580480e-04,1.073920e-04,2.873600e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.853399e+01,7.079520e-04,1.366400e-04,3.964480e-04,1.176160e-04,3.072000e-05,
-1.000000,2048,2048,OS2-i8-fast-13,4.650649e+01,7.388160e-04,1.436480e-04,4.118080e-04,1.249280e-04,3.072000e-05,
-1.000000,2048,2048,OS2-i8-fast-14,4.435575e+01,7.746400e-04,1.500800e-04,4.302400e-04,1.333280e-04,3.276800e-05,
-1.000000,2048,2048,OS2-i8-fast-15,4.136299e+01,8.306880e-04,1.567840e-04,4.676640e-04,1.433920e-04,3.276800e-05,
-1.000000,2048,2048,OS2-i8-fast-16,3.865161e+01,8.889600e-04,1.883520e-04,4.837920e-04,1.511040e-04,3.481600e-05,
-1.000000,2048,2048,OS2-i8-fast-17,3.722260e+01,9.230880e-04,1.962080e-04,5.001600e-04,1.591200e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-fast-18,3.506153e+01,9.799840e-04,2.037440e-04,5.378080e-04,1.696480e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-fast-19,3.371193e+01,1.019216e-03,2.141760e-04,5.568960e-04,1.768640e-04,3.891200e-05,
-1.000000,2048,2048,OS2-i8-fast-20,3.255193e+01,1.055536e-03,2.268800e-04,5.722560e-04,1.839200e-04,3.891200e-05,
-1.000000,2048,2048,OS2-i8-accu-9,5.563429e+01,6.176000e-04,1.765760e-04,3.024160e-04,8.739200e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-10,5.100063e+01,6.737120e-04,1.835520e-04,3.403200e-04,9.748800e-05,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.856033e+01,7.075680e-04,1.884160e-04,3.574400e-04,1.066400e-04,2.867200e-05,
-1.000000,2048,2048,OS2-i8-accu-12,4.490201e+01,7.652160e-04,1.961920e-04,3.946240e-04,1.168000e-04,3.072000e-05,
-1.000000,2048,2048,OS2-i8-accu-13,4.308928e+01,7.974080e-04,2.026720e-04,4.118560e-04,1.240320e-04,3.072000e-05,
-1.000000,2048,2048,OS2-i8-accu-14,4.134388e+01,8.310720e-04,2.088960e-04,4.285120e-04,1.321280e-04,3.276800e-05,
-1.000000,2048,2048,OS2-i8-accu-15,3.859673e+01,8.902240e-04,2.162080e-04,4.678720e-04,1.429760e-04,3.276800e-05,
-1.000000,2048,2048,OS2-i8-accu-16,3.623222e+01,9.483200e-04,2.492640e-04,4.829120e-04,1.504960e-04,3.481600e-05,
-1.000000,2048,2048,OS2-i8-accu-17,3.492752e+01,9.837440e-04,2.570080e-04,4.996800e-04,1.588480e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-accu-18,3.292374e+01,1.043616e-03,2.665440e-04,5.379520e-04,1.697120e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-accu-19,3.175013e+01,1.082192e-03,2.770240e-04,5.557120e-04,1.763520e-04,3.891200e-05,
-1.000000,2048,2048,OS2-i8-accu-20,3.079139e+01,1.115888e-03,2.878400e-04,5.714080e-04,1.832800e-04,3.891200e-05,
-1.000000,2048,2048,OS2-f8-fast-9,2.876004e+01,1.194704e-03,1.655200e-04,8.071200e-04,1.704160e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-10,2.688320e+01,1.278112e-03,1.792960e-04,8.574400e-04,1.889760e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-11,2.438937e+01,1.408800e-03,1.931200e-04,9.495200e-04,2.076480e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-fast-12,2.310588e+01,1.487056e-03,2.033280e-04,9.980640e-04,2.280800e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-fast-13,2.060925e+01,1.667200e-03,2.710560e-04,1.089808e-03,2.458400e-04,3.097600e-05,
-1.000000,2048,2048,OS2-f8-fast-14,1.957347e+01,1.755424e-03,2.868640e-04,1.140160e-03,2.657440e-04,3.276800e-05,
-1.000000,2048,2048,OS2-f8-fast-15,1.821708e+01,1.886128e-03,3.050560e-04,1.232432e-03,2.853600e-04,3.286400e-05,
-1.000000,2048,2048,OS2-f8-fast-16,1.744659e+01,1.969424e-03,3.243360e-04,1.275504e-03,3.026560e-04,3.481600e-05,
-1.000000,2048,2048,OS2-f8-fast-17,1.637251e+01,2.098624e-03,3.431360e-04,1.365904e-03,3.217280e-04,3.686400e-05,
-1.000000,2048,2048,OS2-f8-fast-18,1.570900e+01,2.187264e-03,3.620320e-04,1.411136e-03,3.418080e-04,3.891200e-05,
-1.000000,2048,2048,OS2-f8-fast-19,1.480166e+01,2.321344e-03,3.826400e-04,1.503504e-03,3.603040e-04,3.894400e-05,
-1.000000,2048,2048,OS2-f8-fast-20,1.404897e+01,2.445712e-03,4.006880e-04,1.586144e-03,3.820320e-04,4.096000e-05,
-1.000000,2048,2048,OS2-f8-accu-9,2.745967e+01,1.251280e-03,2.194080e-04,8.071680e-04,1.731840e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-accu-10,2.580273e+01,1.331632e-03,2.312000e-04,8.579040e-04,1.895520e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-accu-11,2.345746e+01,1.464768e-03,2.464320e-04,9.501920e-04,2.104480e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-accu-12,2.229669e+01,1.541024e-03,2.557920e-04,9.991840e-04,2.280480e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-accu-13,1.994727e+01,1.722528e-03,3.254400e-04,1.090496e-03,2.475200e-04,3.097600e-05,
