phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.275591e+01,3.367040e-04,4.403200e-05,2.035680e-04,5.499200e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.144372e+01,3.753120e-04,4.624000e-05,2.322880e-04,6.134400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.104627e+01,3.888160e-04,4.860800e-05,2.365600e-04,6.556800e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.005339e+01,4.272160e-04,5.064000e-05,2.651360e-04,7.280000e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.863511e+00,4.354400e-04,5.251200e-05,2.671360e-04,7.619200e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-fast-14,9.695011e+00,4.430080e-04,5.440000e-05,2.688000e-04,7.958400e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.897725e+00,4.827040e-04,5.668800e-05,2.983200e-04,8.656000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-16,8.616957e+00,4.984320e-04,6.456000e-05,2.993120e-04,8.972800e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-17,8.451200e+00,5.082080e-04,6.678400e-05,3.019040e-04,9.419200e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.865088e+00,5.460800e-04,7.020800e-05,3.292480e-04,1.003520e-04,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,7.748173e+00,5.543200e-04,7.324800e-05,3.317440e-04,1.025760e-04,1.411200e-05,
-1.000000,1024,1024,OS2-i8-fast-20,7.657988e+00,5.608480e-04,7.635200e-05,3.317440e-04,1.053120e-04,1.420800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.127833e+01,3.808160e-04,8.809600e-05,2.039040e-04,5.481600e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.018614e+01,4.216480e-04,9.171200e-05,2.324960e-04,6.208000e-05,1.033600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.948318e+00,4.317280e-04,9.276800e-05,2.352640e-04,6.571200e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,9.138850e+00,4.699680e-04,9.448000e-05,2.640000e-04,7.254400e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.967877e+00,4.789280e-04,9.643200e-05,2.671040e-04,7.641600e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.790211e+00,4.886080e-04,9.905600e-05,2.690720e-04,7.996800e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,8.133175e+00,5.280800e-04,1.011040e-04,2.984000e-04,8.672000e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.935069e+00,5.412640e-04,1.077280e-04,2.992160e-04,9.032000e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.780512e+00,5.520160e-04,1.117120e-04,3.010880e-04,9.425600e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-accu-18,7.261489e+00,5.914720e-04,1.154080e-04,3.294560e-04,1.003520e-04,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-19,7.172241e+00,5.988320e-04,1.181120e-04,3.310400e-04,1.023200e-04,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,7.073025e+00,6.072320e-04,1.220800e-04,3.313280e-04,1.055840e-04,1.420800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.566633e+00,5.013600e-04,5.817600e-05,3.265280e-04,8.260800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,8.162358e+00,5.261920e-04,6.236800e-05,3.409440e-04,8.756800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,7.398381e+00,5.805280e-04,6.656000e-05,3.781120e-04,9.728000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,7.123894e+00,6.028960e-04,7.048000e-05,3.906880e-04,1.031200e-04,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-13,6.414382e+00,6.695840e-04,8.744000e-05,4.286240e-04,1.125760e-04,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-14,6.204162e+00,6.922720e-04,9.262400e-05,4.407200e-04,1.174400e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-15,5.750545e+00,7.468800e-04,9.702400e-05,4.788640e-04,1.277120e-04,1.408000e-05,
-1.000000,1024,1024,OS2-f8-fast-16,5.561239e+00,7.723040e-04,1.027520e-04,4.907360e-04,1.334880e-04,1.420800e-05,
-1.000000,1024,1024,OS2-f8-fast-17,5.211428e+00,8.241440e-04,1.074400e-04,5.277760e-04,1.427040e-04,1.425600e-05,
-1.000000,1024,1024,OS2-f8-fast-18,5.067401e+00,8.475680e-04,1.128960e-04,5.394880e-04,1.479840e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-19,4.808517e+00,8.932000e-04,1.181280e-04,5.712000e-04,1.555840e-04,1.427200e-05,
-1.000000,1024,1024,OS2-f8-fast-20,4.534842e+00,9.471040e-04,1.231040e-04,6.081920e-04,1.644960e-04,1.632000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,8.245852e+00,5.208640e-04,7.609600e-05,3.272640e-04,8.304000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.864858e+00,5.460960e-04,8.147200e-05,3.412960e-04,8.806400e-05,1.011200e-05,
-1.000000,1024,1024,OS2-f8-accu-11,7.169367e+00,5.990720e-04,8.480000e-05,3.782400e-04,9.777600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.894451e+00,6.229600e-04,8.902400e-05,3.906560e-04,1.038080e-04,1.219200e-05,
-1.000000,1024,1024,OS2-f8-accu-13,6.234276e+00,6.889280e-04,1.067840e-04,4.288640e-04,1.130560e-04,1.222400e-05,
-1.000000,1024,1024,OS2-f8-accu-14,6.041489e+00,7.109120e-04,1.107200e-04,4.416160e-04,1.176320e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-15,5.618155e+00,7.644800e-04,1.144480e-04,4.784320e-04,1.274080e-04,1.414400e-05,
-1.000000,1024,1024,OS2-f8-accu-16,5.436668e+00,7.900000e-04,1.211360e-04,4.905920e-04,1.332000e-04,1.424000e-05,
-1.000000,1024,1024,OS2-f8-accu-17,5.091044e+00,8.436320e-04,1.262240e-04,5.283200e-04,1.430240e-04,1.424000e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.963857e+00,8.652480e-04,1.310400e-04,5.395360e-04,1.480800e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-19,4.710716e+00,9.117440e-04,1.376480e-04,5.708320e-04,1.551360e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-20,4.446578e+00,9.659040e-04,1.417120e-04,6.087200e-04,1.646720e-04,1.628800e-05,
-1.000000,1024,1024,OS1-6,2.448558e+01,1.754080e-04,,,,,
