phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.341037e+01,3.202720e-04,2.544000e-05,2.038400e-04,5.614400e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.198212e+01,3.584480e-04,2.572800e-05,2.331200e-04,6.366400e-05,1.035200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.170929e+01,3.668000e-04,2.771200e-05,2.348800e-04,6.668800e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,1.044171e+01,4.113280e-04,3.571200e-05,2.648960e-04,7.259200e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,1.023235e+01,4.197440e-04,3.604800e-05,2.677920e-04,7.587200e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,1.001102e+01,4.290240e-04,3.795200e-05,2.711200e-04,7.998400e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,9.190162e+00,4.673440e-04,3.856000e-05,2.992640e-04,8.675200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,8.939207e+00,4.804640e-04,4.686400e-05,2.994560e-04,8.974400e-05,1.412800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,8.792514e+00,4.884800e-04,4.833600e-05,3.006240e-04,9.364800e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,8.129727e+00,5.283040e-04,5.033600e-05,3.300960e-04,1.006080e-04,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,8.009413e+00,5.362400e-04,5.300800e-05,3.316960e-04,1.036000e-04,1.411200e-05,
-1.000000,1024,1024,OS2-i8-fast-20,8.020660e+00,5.354880e-04,4.793600e-05,3.321280e-04,1.068800e-04,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.164731e+01,3.687520e-04,7.732800e-05,2.024480e-04,5.444800e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,1.045513e+01,4.108000e-04,7.998400e-05,2.321760e-04,6.150400e-05,1.046400e-05,
-1.000000,1024,1024,OS2-i8-accu-11,1.027661e+01,4.179360e-04,8.089600e-05,2.338880e-04,6.508800e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,9.395382e+00,4.571360e-04,8.190400e-05,2.629280e-04,7.252800e-05,1.208000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,9.219834e+00,4.658400e-04,8.329600e-05,2.658240e-04,7.624000e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-accu-14,9.040970e+00,4.750560e-04,8.438400e-05,2.684960e-04,8.009600e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-accu-15,8.340390e+00,5.149600e-04,8.753600e-05,2.983680e-04,8.662400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,8.076405e+00,5.317920e-04,9.587200e-05,2.997760e-04,9.022400e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.963081e+00,5.393600e-04,9.838400e-05,3.003200e-04,9.427200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-18,7.438358e+00,5.774080e-04,1.007200e-04,3.290080e-04,1.009120e-04,1.414400e-05,
-1.000000,1024,1024,OS2-i8-accu-19,7.363070e+00,5.833120e-04,1.017920e-04,3.309920e-04,1.026560e-04,1.411200e-05,
-1.000000,1024,1024,OS2-i8-accu-20,7.265616e+00,5.911360e-04,1.038560e-04,3.315200e-04,1.069760e-04,1.417600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,8.802606e+00,4.879200e-04,4.153600e-05,3.277600e-04,8.320000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-10,8.420712e+00,5.100480e-04,4.411200e-05,3.424160e-04,8.772800e-05,1.024000e-05,
