phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.468145e+01,1.740160e-04,3.990400e-05,8.616000e-05,1.977600e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.961387e+01,2.189760e-04,4.580800e-05,1.159200e-04,2.774400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.614261e+01,2.660640e-04,5.577600e-05,1.448480e-04,3.515200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.378784e+01,3.115040e-04,6.356800e-05,1.751200e-04,4.158400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.332980e+01,3.222080e-04,6.736000e-05,1.778560e-04,4.476800e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.163418e+01,3.691680e-04,7.384000e-05,2.099680e-04,5.275200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.138693e+01,3.771840e-04,7.628800e-05,2.115360e-04,5.539200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.025267e+01,4.189120e-04,7.942400e-05,2.413280e-04,6.244800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.001887e+01,4.286880e-04,8.248000e-05,2.425760e-04,6.779200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.138539e+00,4.699840e-04,8.600000e-05,2.730560e-04,7.368000e-05,1.030400e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.941246e+01,2.212480e-04,8.609600e-05,8.660800e-05,2.014400e-05,1.016000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.641004e+01,2.617280e-04,8.843200e-05,1.160480e-04,2.785600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.393818e+01,3.081440e-04,9.796800e-05,1.444800e-04,3.544000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.240345e+01,3.462720e-04,9.769600e-05,1.747360e-04,4.284800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.210750e+01,3.547360e-04,1.001600e-04,1.773120e-04,4.468800e-05,9.952000e-06,
-1.000000,1024,1024,OS2-i8-accu-8,1.076541e+01,3.989600e-04,1.050880e-04,2.080320e-04,5.265600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.040609e+01,4.127360e-04,1.120160e-04,2.112480e-04,5.553600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.500795e+00,4.520640e-04,1.128640e-04,2.414880e-04,6.209600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.201503e+00,4.667680e-04,1.205280e-04,2.429920e-04,6.625600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.484322e+00,5.062240e-04,1.213600e-04,2.737120e-04,7.292800e-05,1.030400e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.894259e+01,2.267360e-04,6.332800e-05,1.089280e-04,2.665600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.537960e+01,2.792640e-04,6.740800e-05,1.472800e-04,3.550400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.295663e+01,3.314880e-04,7.123200e-05,1.857120e-04,4.504000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.112732e+01,3.859840e-04,7.676800e-05,2.232320e-04,5.460800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.676488e+00,4.438560e-04,8.518400e-05,2.623840e-04,6.369600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.571010e+00,5.011040e-04,9.473600e-05,2.998240e-04,7.283200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.709232e+00,5.571200e-04,1.019200e-04,3.382080e-04,8.270400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.313520e+00,5.872640e-04,1.095680e-04,3.534880e-04,8.928000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.665726e+00,6.443360e-04,1.176320e-04,3.911520e-04,9.809600e-05,1.040000e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.380686e+00,6.731200e-04,1.270080e-04,4.047200e-04,1.034400e-04,1.195200e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.789093e+01,2.400640e-04,7.467200e-05,1.095680e-04,2.710400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.477355e+01,2.907200e-04,7.659200e-05,1.474880e-04,3.641600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.251856e+01,3.430880e-04,8.129600e-05,1.863680e-04,4.531200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.083231e+01,3.964960e-04,8.619200e-05,2.239840e-04,5.476800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.438327e+00,4.550560e-04,9.657600e-05,2.626080e-04,6.358400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,8.305809e+00,5.171040e-04,1.086560e-04,3.007520e-04,7.395200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.522572e+00,5.709440e-04,1.149120e-04,3.383680e-04,8.281600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,7.156561e+00,6.001440e-04,1.226560e-04,3.532800e-04,8.835200e-05,1.027200e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.548644e+00,6.558560e-04,1.302560e-04,3.901920e-04,9.768000e-05,1.040000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.248643e+00,6.873440e-04,1.393600e-04,4.046560e-04,1.046400e-04,1.198400e-05,
-1.000000,1024,1024,BF16x9,4.114584e+01,1.043840e-04,,,,,
-1.000000,1024,1024,CSYRKX,4.168252e+01,1.030400e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.077243e+02,3.189600e-04,1.276960e-04,1.184800e-04,3.174400e-05,2.259200e-05,
-1.000000,2048,2048,OS2-i8-fast-4,9.069915e+01,3.788320e-04,1.359200e-04,1.589280e-04,4.198400e-05,2.268800e-05,
-1.000000,2048,2048,OS2-i8-fast-5,7.831529e+01,4.387360e-04,1.452160e-04,1.976320e-04,5.225600e-05,2.272000e-05,
-1.000000,2048,2048,OS2-i8-fast-6,6.882299e+01,4.992480e-04,1.549120e-04,2.373280e-04,6.273600e-05,2.288000e-05,
-1.000000,2048,2048,OS2-i8-fast-7,6.410973e+01,5.359520e-04,1.632000e-04,2.564480e-04,6.963200e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-8,5.672170e+01,6.057600e-04,1.824640e-04,2.944160e-04,8.033600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-9,5.359063e+01,6.411520e-04,1.946560e-04,3.107200e-04,8.699200e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-10,4.877208e+01,7.044960e-04,2.068320e-04,3.498240e-04,9.796800e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.599155e+01,7.470880e-04,2.195680e-04,3.688160e-04,1.068480e-04,2.492800e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.234165e+01,8.114880e-04,2.331040e-04,4.077600e-04,1.165600e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-3,9.334451e+01,3.680960e-04,1.783360e-04,1.173440e-04,3.150400e-05,2.265600e-05,
-1.000000,2048,2048,OS2-i8-accu-4,8.020181e+01,4.284160e-04,1.880480e-04,1.570720e-04,4.164800e-05,2.272000e-05,
-1.000000,2048,2048,OS2-i8-accu-5,7.052260e+01,4.872160e-04,1.964800e-04,1.953280e-04,5.203200e-05,2.278400e-05,
-1.000000,2048,2048,OS2-i8-accu-6,6.290965e+01,5.461760e-04,2.046560e-04,2.337280e-04,6.244800e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-7,5.890133e+01,5.833440e-04,2.136160e-04,2.534560e-04,7.004800e-05,2.288000e-05,
-1.000000,2048,2048,OS2-i8-accu-8,5.275206e+01,6.513440e-04,2.312800e-04,2.922240e-04,8.025600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-9,4.967577e+01,6.916800e-04,2.442560e-04,3.110080e-04,8.806400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-10,4.553516e+01,7.545760e-04,2.576320e-04,3.488960e-04,9.784000e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.301419e+01,7.988000e-04,2.719200e-04,3.686080e-04,1.064000e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-12,3.977263e+01,8.639040e-04,2.856000e-04,4.073120e-04,1.169440e-04,2.662400e-05,
