phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,5.525637e+00,1.943200e-04,3.502400e-05,7.868800e-05,4.702400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.416810e+00,1.982240e-04,3.680000e-05,7.878400e-05,4.894400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,4.867900e+00,2.205760e-04,3.769600e-05,9.136000e-05,5.627200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,4.748381e+00,2.261280e-04,3.945600e-05,9.145600e-05,5.934400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,4.656780e+00,2.305760e-04,4.136000e-05,9.144000e-05,6.152000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,4.582687e+00,2.343040e-04,4.275200e-05,9.123200e-05,6.316800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.175254e+00,2.571680e-04,4.433600e-05,1.044160e-04,7.006400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,3.992674e+00,2.689280e-04,5.324800e-05,1.044480e-04,7.228800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,3.896242e+00,2.755840e-04,5.492800e-05,1.067360e-04,7.443200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,3.823867e+00,2.808000e-04,5.720000e-05,1.062240e-04,7.649600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,3.722273e+00,2.884640e-04,5.942400e-05,1.061760e-04,7.915200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.453346e+00,3.109280e-04,6.120000e-05,1.190080e-04,8.675200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,4.789043e+00,2.242080e-04,6.574400e-05,7.811200e-05,4.723200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,4.697855e+00,2.285600e-04,6.737600e-05,7.763200e-05,4.961600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.277447e+00,2.510240e-04,6.896000e-05,9.104000e-05,5.601600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.195091e+00,2.559520e-04,7.000000e-05,9.124800e-05,5.889600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,4.131556e+00,2.598880e-04,7.100800e-05,9.126400e-05,6.086400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,4.065972e+00,2.640800e-04,7.252800e-05,9.108800e-05,6.304000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,3.763818e+00,2.852800e-04,7.340800e-05,1.038720e-04,6.968000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,3.594861e+00,2.986880e-04,8.275200e-05,1.047200e-04,7.219200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,3.510979e+00,3.058240e-04,8.438400e-05,1.062400e-04,7.494400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,3.447137e+00,3.114880e-04,8.614400e-05,1.069760e-04,7.694400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-19,3.370103e+00,3.186080e-04,8.832000e-05,1.064160e-04,8.001600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-20,3.161635e+00,3.396160e-04,8.956800e-05,1.200000e-04,8.540800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,4.279356e+00,2.509120e-04,4.822400e-05,1.173760e-04,5.206400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,3.848868e+00,2.789760e-04,5.043200e-05,1.340800e-04,6.006400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,3.715678e+00,2.889760e-04,5.340800e-05,1.377120e-04,6.254400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-12,3.392592e+00,3.164960e-04,5.683200e-05,1.542400e-04,6.945600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-13,3.076554e+00,3.490080e-04,7.278400e-05,1.662880e-04,7.284800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-14,2.984606e+00,3.597600e-04,7.732800e-05,1.705280e-04,7.414400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-15,2.743729e+00,3.913440e-04,8.163200e-05,1.865280e-04,8.353600e-05,1.040000e-05,
-1.000000,1024,1024,OS2-f8-fast-16,2.731889e+00,3.930400e-04,8.515200e-05,1.817600e-04,8.478400e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-fast-17,2.643851e+00,4.061280e-04,8.972800e-05,1.857760e-04,8.864000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-18,2.478354e+00,4.332480e-04,9.324800e-05,2.015680e-04,9.512000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-19,2.354201e+00,4.560960e-04,9.675200e-05,2.162240e-04,9.952000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-20,2.301086e+00,4.666240e-04,1.017120e-04,2.198080e-04,1.005280e-04,1.227200e-05,
-1.000000,1024,1024,OS2-f8-accu-9,3.882491e+00,2.765600e-04,7.315200e-05,1.168960e-04,5.302400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,3.506943e+00,3.061760e-04,7.737600e-05,1.335680e-04,6.075200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-11,3.424271e+00,3.135680e-04,7.830400e-05,1.373600e-04,6.264000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,3.129786e+00,3.430720e-04,8.288000e-05,1.544480e-04,6.982400e-05,1.022400e-05,
-1.000000,1024,1024,OS2-f8-accu-13,2.849875e+00,3.767680e-04,9.926400e-05,1.660640e-04,7.452800e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-accu-14,2.763615e+00,3.885280e-04,1.040960e-04,1.704160e-04,7.584000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-15,2.573587e+00,4.172160e-04,1.081760e-04,1.857600e-04,8.230400e-05,1.049600e-05,
-1.000000,1024,1024,OS2-f8-accu-16,2.574772e+00,4.170240e-04,1.103360e-04,1.811680e-04,8.444800e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-accu-17,2.477530e+00,4.333920e-04,1.169600e-04,1.859040e-04,8.865600e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-accu-18,2.331221e+00,4.605920e-04,1.204800e-04,2.022240e-04,9.460800e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-accu-19,2.227976e+00,4.819360e-04,1.225120e-04,2.159200e-04,9.912000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-20,2.163685e+00,4.962560e-04,1.271680e-04,2.209760e-04,1.025440e-04,1.228800e-05,
-1.000000,1024,1024,OS1-6,1.619032e+01,6.632000e-05,,,,,
-1.000000,1024,1024,OS1-7,1.616302e+01,6.643200e-05,,,,,
-1.000000,1024,1024,OS1-8,1.617081e+01,6.640000e-05,,,,,
-1.000000,1024,1024,OS1-9,1.620987e+01,6.624000e-05,,,,,
-1.000000,1024,1024,DSYRKX,1.617081e+01,6.640000e-05,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,2.623874e+01,3.273760e-04,8.790400e-05,1.159520e-04,7.779200e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-10,2.495681e+01,3.441920e-04,9.240000e-05,1.211040e-04,8.368000e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-11,2.275745e+01,3.774560e-04,9.648000e-05,1.378720e-04,9.433600e-05,2.281600e-05,
-1.000000,2048,2048,OS2-i8-fast-12,2.176121e+01,3.947360e-04,1.005120e-04,1.438080e-04,9.932800e-05,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-13,2.086718e+01,4.116480e-04,1.050560e-04,1.494080e-04,1.054080e-04,2.457600e-05,
-1.000000,2048,2048,OS2-i8-fast-14,2.010301e+01,4.272960e-04,1.090080e-04,1.550880e-04,1.114560e-04,2.454400e-05,
-1.000000,2048,2048,OS2-i8-fast-15,1.867312e+01,4.600160e-04,1.132960e-04,1.712960e-04,1.219840e-04,2.473600e-05,
-1.000000,2048,2048,OS2-i8-fast-16,1.679664e+01,5.114080e-04,1.488640e-04,1.784000e-04,1.280800e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-17,1.619618e+01,5.303680e-04,1.553600e-04,1.845760e-04,1.340480e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-fast-18,1.564127e+01,5.491840e-04,1.628160e-04,1.890080e-04,1.390240e-04,2.672000e-05,
-1.000000,2048,2048,OS2-i8-fast-19,1.508615e+01,5.693920e-04,1.702880e-04,1.941120e-04,1.452320e-04,2.867200e-05,
-1.000000,2048,2048,OS2-i8-fast-20,1.422325e+01,6.039360e-04,1.765920e-04,2.109600e-04,1.553760e-04,2.867200e-05,
-1.000000,2048,2048,OS2-i8-accu-9,2.262796e+01,3.796160e-04,1.401760e-04,1.150400e-04,7.820800e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-accu-10,2.170228e+01,3.958080e-04,1.451520e-04,1.199360e-04,8.398400e-05,2.249600e-05,
-1.000000,2048,2048,OS2-i8-accu-11,2.000786e+01,4.293280e-04,1.492960e-04,1.367360e-04,9.465600e-05,2.270400e-05,
-1.000000,2048,2048,OS2-i8-accu-12,1.902179e+01,4.515840e-04,1.584480e-04,1.422880e-04,1.001760e-04,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-13,1.834578e+01,4.682240e-04,1.618560e-04,1.488480e-04,1.055040e-04,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-14,1.777601e+01,4.832320e-04,1.664800e-04,1.536160e-04,1.110080e-04,2.457600e-05,
-1.000000,2048,2048,OS2-i8-accu-15,1.668285e+01,5.148960e-04,1.691520e-04,1.705760e-04,1.221440e-04,2.464000e-05,
-1.000000,2048,2048,OS2-i8-accu-16,1.520020e+01,5.651200e-04,2.040000e-04,1.774880e-04,1.280160e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-17,1.470074e+01,5.843200e-04,2.103040e-04,1.833600e-04,1.331520e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-18,1.420895e+01,6.045440e-04,2.185920e-04,1.888800e-04,1.391680e-04,2.662400e-05,
-1.000000,2048,2048,OS2-i8-accu-19,1.376557e+01,6.240160e-04,2.248000e-04,1.932480e-04,1.454880e-04,2.867200e-05,
-1.000000,2048,2048,OS2-i8-accu-20,1.310016e+01,6.557120e-04,2.295040e-04,2.102880e-04,1.556480e-04,2.867200e-05,
-1.000000,2048,2048,OS2-f8-fast-9,1.588375e+01,5.408000e-04,1.360160e-04,2.717120e-04,8.614400e-05,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-10,1.441148e+01,5.960480e-04,1.443520e-04,3.056800e-04,9.721600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-11,1.355700e+01,6.336160e-04,1.559680e-04,3.234240e-04,1.040640e-04,2.467200e-05,
-1.000000,2048,2048,OS2-f8-fast-12,1.240976e+01,6.921920e-04,1.668800e-04,3.579840e-04,1.149120e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-13,1.091201e+01,7.872000e-04,2.234720e-04,3.886560e-04,1.218880e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-14,1.038636e+01,8.270400e-04,2.382080e-04,4.039680e-04,1.288320e-04,2.867200e-05,
-1.000000,2048,2048,OS2-f8-fast-15,9.657515e+00,8.894560e-04,2.541760e-04,4.378880e-04,1.392160e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-fast-16,9.395711e+00,9.142400e-04,2.680320e-04,4.387520e-04,1.478880e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-fast-17,8.964882e+00,9.581760e-04,2.867200e-04,4.551840e-04,1.535360e-04,3.276800e-05,
-1.000000,2048,2048,OS2-f8-fast-18,8.442959e+00,1.017408e-03,2.996960e-04,4.896480e-04,1.642720e-04,3.276800e-05,
-1.000000,2048,2048,OS2-f8-fast-19,7.942465e+00,1.081520e-03,3.129280e-04,5.261440e-04,1.748160e-04,3.481600e-05,
-1.000000,2048,2048,OS2-f8-fast-20,7.638050e+00,1.124624e-03,3.304480e-04,5.426080e-04,1.832800e-04,3.494400e-05,
-1.000000,2048,2048,OS2-f8-accu-9,1.429940e+01,6.007200e-04,1.963680e-04,2.696000e-04,8.704000e-05,2.457600e-05,
-1.000000,2048,2048,OS2-f8-accu-10,1.313574e+01,6.539360e-04,2.035520e-04,3.042720e-04,9.777600e-05,2.457600e-05,
-1.000000,2048,2048,OS2-f8-accu-11,1.245091e+01,6.899040e-04,2.146720e-04,3.211680e-04,1.033920e-04,2.460800e-05,
-1.000000,2048,2048,OS2-f8-accu-12,1.149912e+01,7.470080e-04,2.247680e-04,3.550880e-04,1.136800e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-accu-13,1.016589e+01,8.449760e-04,2.832480e-04,3.864640e-04,1.211360e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-accu-14,9.695711e+00,8.859520e-04,2.973280e-04,4.024160e-04,1.292800e-04,2.867200e-05,
-1.000000,2048,2048,OS2-f8-accu-15,9.043559e+00,9.498400e-04,3.136800e-04,4.367360e-04,1.401600e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-accu-16,8.843932e+00,9.712800e-04,3.261120e-04,4.366400e-04,1.478080e-04,3.072000e-05,
-1.000000,2048,2048,OS2-f8-accu-17,8.465592e+00,1.014688e-03,3.447200e-04,4.529440e-04,1.535040e-04,3.276800e-05,
-1.000000,2048,2048,OS2-f8-accu-18,7.992243e+00,1.074784e-03,3.571840e-04,4.881920e-04,1.650240e-04,3.276800e-05,
-1.000000,2048,2048,OS2-f8-accu-19,7.556560e+00,1.136752e-03,3.700160e-04,5.242720e-04,1.750720e-04,3.481600e-05,
-1.000000,2048,2048,OS2-f8-accu-20,7.277632e+00,1.180320e-03,3.878080e-04,5.405440e-04,1.834240e-04,3.491200e-05,
-1.000000,2048,2048,OS1-6,2.533605e+01,3.390400e-04,,,,,
-1.000000,2048,2048,OS1-7,2.530977e+01,3.393920e-04,,,,,
-1.000000,2048,2048,OS1-8,2.530023e+01,3.395200e-04,,,,,
-1.000000,2048,2048,OS1-9,2.536478e+01,3.386560e-04,,,,,
-1.000000,2048,2048,DSYRKX,2.534083e+01,3.389760e-04,,,,,
-1.000000,4096,4096,OS2-i8-fast-9,7.040353e+01,9.760800e-04,2.928160e-04,3.906080e-04,1.935360e-04,7.577600e-05,
-1.000000,4096,4096,OS2-i8-fast-10,6.539928e+01,1.050768e-03,3.110400e-04,4.254720e-04,2.120000e-04,7.782400e-05,
-1.000000,4096,4096,OS2-i8-fast-11,6.051636e+01,1.135552e-03,3.235360e-04,4.729280e-04,2.353920e-04,7.782400e-05,
-1.000000,4096,4096,OS2-i8-fast-12,5.656781e+01,1.214816e-03,3.461440e-04,5.086080e-04,2.537920e-04,7.987200e-05,
-1.000000,4096,4096,OS2-i8-fast-13,5.344459e+01,1.285808e-03,3.612960e-04,5.425600e-04,2.730400e-04,8.192000e-05,
-1.000000,4096,4096,OS2-i8-fast-14,4.996995e+01,1.375216e-03,3.761920e-04,5.907200e-04,2.965440e-04,8.396800e-05,
-1.000000,4096,4096,OS2-i8-fast-15,4.786332e+01,1.435744e-03,3.893440e-04,6.172000e-04,3.148000e-04,8.601600e-05,
-1.000000,4096,4096,OS2-i8-fast-16,4.235835e+01,1.622336e-03,5.159040e-04,6.556800e-04,3.333280e-04,8.806400e-05,
-1.000000,4096,4096,OS2-i8-fast-17,4.041143e+01,1.700496e-03,5.408000e-04,6.857600e-04,3.528800e-04,9.011200e-05,
-1.000000,4096,4096,OS2-i8-fast-18,3.818529e+01,1.799632e-03,5.674880e-04,7.319520e-04,3.758080e-04,9.216000e-05,
-1.000000,4096,4096,OS2-i8-fast-19,3.662492e+01,1.876304e-03,5.949280e-04,7.573920e-04,3.936320e-04,9.830400e-05,
-1.000000,4096,4096,OS2-i8-fast-20,3.518043e+01,1.953344e-03,6.197440e-04,7.901600e-04,4.123680e-04,9.830400e-05,
-1.000000,4096,4096,OS2-i8-accu-9,5.989857e+01,1.147264e-03,4.653120e-04,3.892640e-04,1.943040e-04,7.577600e-05,
-1.000000,4096,4096,OS2-i8-accu-10,5.628684e+01,1.220880e-03,4.833600e-04,4.240960e-04,2.119680e-04,7.782400e-05,
-1.000000,4096,4096,OS2-i8-accu-11,5.265376e+01,1.305120e-03,4.951040e-04,4.716480e-04,2.353280e-04,7.780800e-05,
-1.000000,4096,4096,OS2-i8-accu-12,4.962813e+01,1.384688e-03,5.178400e-04,5.069120e-04,2.538400e-04,7.987200e-05,
-1.000000,4096,4096,OS2-i8-accu-13,4.718448e+01,1.456400e-03,5.321280e-04,5.419840e-04,2.732160e-04,8.192000e-05,
-1.000000,4096,4096,OS2-i8-accu-14,4.450098e+01,1.544224e-03,5.471840e-04,5.882080e-04,2.965760e-04,8.396800e-05,
-1.000000,4096,4096,OS2-i8-accu-15,4.280627e+01,1.605360e-03,5.601280e-04,6.150240e-04,3.150560e-04,8.601600e-05,
-1.000000,4096,4096,OS2-i8-accu-16,3.842855e+01,1.788240e-03,6.855040e-04,6.518880e-04,3.330400e-04,8.806400e-05,
-1.000000,4096,4096,OS2-i8-accu-17,3.685117e+01,1.864784e-03,7.096480e-04,6.823520e-04,3.530240e-04,9.020800e-05,
-1.000000,4096,4096,OS2-i8-accu-18,3.493690e+01,1.966960e-03,7.390240e-04,7.287680e-04,3.759840e-04,9.216000e-05,
-1.000000,4096,4096,OS2-i8-accu-19,3.361957e+01,2.044032e-03,7.632800e-04,7.556160e-04,3.944960e-04,9.830400e-05,
-1.000000,4096,4096,OS2-i8-accu-20,3.249086e+01,2.115040e-03,7.850720e-04,7.875840e-04,4.118240e-04,9.830400e-05,
-1.000000,4096,4096,OS2-f8-fast-9,3.590509e+01,1.913920e-03,4.954080e-04,1.079024e-03,2.393760e-04,7.590400e-05,
-1.000000,4096,4096,OS2-f8-fast-10,3.331085e+01,2.062976e-03,5.276960e-04,1.168752e-03,2.637280e-04,7.782400e-05,
-1.000000,4096,4096,OS2-f8-fast-11,3.037588e+01,2.262304e-03,5.728800e-04,1.292592e-03,2.907840e-04,7.987200e-05,
-1.000000,4096,4096,OS2-f8-fast-12,2.835130e+01,2.423856e-03,6.140320e-04,1.385904e-03,3.152800e-04,8.192000e-05,
-1.000000,4096,4096,OS2-f8-fast-13,2.451913e+01,2.802688e-03,8.398720e-04,1.509072e-03,3.420480e-04,8.396800e-05,
