phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,5.898125e+00,1.820480e-04,2.363200e-05,7.836800e-05,4.648000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.758935e+00,1.864480e-04,2.540800e-05,7.873600e-05,4.859200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.169378e+00,2.077120e-04,2.580800e-05,9.136000e-05,5.556800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.011864e+00,2.142400e-04,2.841600e-05,9.136000e-05,5.912000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,4.899888e+00,2.191360e-04,2.980800e-05,9.131200e-05,6.156800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,4.806192e+00,2.234080e-04,3.153600e-05,9.136000e-05,6.300800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.350374e+00,2.468160e-04,3.352000e-05,1.046400e-04,7.008000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,4.186977e+00,2.564480e-04,3.964800e-05,1.049280e-04,7.232000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,4.079814e+00,2.631840e-04,4.134400e-05,1.072160e-04,7.505600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,4.017052e+00,2.672960e-04,4.211200e-05,1.072160e-04,7.721600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,3.922660e+00,2.737280e-04,4.307200e-05,1.071360e-04,8.016000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.644646e+00,2.946080e-04,4.372800e-05,1.202560e-04,8.649600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.166592e+00,2.078240e-04,5.016000e-05,7.843200e-05,4.582400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.039338e+00,2.130720e-04,5.112000e-05,7.886400e-05,4.915200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.583313e+00,2.342720e-04,5.166400e-05,9.137600e-05,5.625600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.499723e+00,2.386240e-04,5.248000e-05,9.139200e-05,5.891200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,4.410704e+00,2.434400e-04,5.345600e-05,9.152000e-05,6.118400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,4.356304e+00,2.464800e-04,5.446400e-05,9.112000e-05,6.305600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,3.987455e+00,2.692800e-04,5.598400e-05,1.044160e-04,7.008000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,3.855945e+00,2.784640e-04,6.265600e-05,1.047200e-04,7.238400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,3.758968e+00,2.856480e-04,6.352000e-05,1.067840e-04,7.512000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,3.677601e+00,2.919680e-04,6.598400e-05,1.076160e-04,7.707200e-05,1.024000e-05,
