phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,9.501467e+00,1.130080e-04,2.569600e-05,3.982400e-05,1.990400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,8.010129e+00,1.340480e-04,2.638400e-05,5.211200e-05,2.614400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,7.822458e+00,1.372640e-04,2.716800e-05,5.241600e-05,2.851200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,6.794458e+00,1.580320e-04,2.796800e-05,6.484800e-05,3.508800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,6.560006e+00,1.636800e-04,2.852800e-05,6.582400e-05,3.788800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,5.752024e+00,1.866720e-04,3.105600e-05,7.884800e-05,4.422400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,5.602209e+00,1.916640e-04,3.268800e-05,7.857600e-05,4.702400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.498473e+00,1.952800e-04,3.374400e-05,7.878400e-05,4.907200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,4.932299e+00,2.176960e-04,3.529600e-05,9.139200e-05,5.633600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,4.803097e+00,2.235520e-04,3.667200e-05,9.139200e-05,5.947200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,7.488993e+00,1.433760e-04,5.649600e-05,3.945600e-05,1.926400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,6.466455e+00,1.660480e-04,5.963200e-05,5.171200e-05,2.547200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,6.371296e+00,1.685280e-04,5.806400e-05,5.219200e-05,2.812800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,5.613456e+00,1.912800e-04,6.115200e-05,6.473600e-05,3.500800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,5.534295e+00,1.940160e-04,6.017600e-05,6.553600e-05,3.724800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,4.902035e+00,2.190400e-04,6.424000e-05,7.806400e-05,4.417600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,4.831104e+00,2.222560e-04,6.366400e-05,7.809600e-05,4.710400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,4.749053e+00,2.260960e-04,6.412800e-05,7.809600e-05,4.934400e-05,1.024000e-05,
